attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,poor,good,poor,0,10688544,0,,poor,1,STAT100,"OMG WTF&#63;&#63; I can't listen to this guy! I space out every time because you can't understand a damn thing he says. No need to go to lecture, just read the book cause he only goes over the stuff in lecture that everyone already knows. Tests don't apply to work and he actually grades the hw every week like we are in Junior High. GET ANOTHER TEACHER!!!",11/02/2005,4,4.0,,1,Low,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,10617456,0,,poor,1,STATS100,"worst. class. ever. if you see MONRAD on your schedule, get out. he seems like he would be a nice person in real life, cool accent, but horrible teacher. horrible.",10/20/2005,5,5.0,,1,Meh,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,10617411,0,,poor,1,THEDEVIL,No Comments,10/20/2005,5,5.0,,1,Meh,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,poor,0,4026931,0,,poor,1,STAT100,"He was absolutely terrible!  His practice exams did not demonstrate the material that was going to be on the exam, as he left out many chapters.  He goes off on tangents about diseases and such during class, and by the end of the semester, the lecture attendance had gone from 200ish down to 15.  TAKE IT WITH ANYONE ELSE!!!!!",06/23/2005,3,3.0,,1,Meh,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,3775620,0,,good,5,STAT100,"Very straightforward, concentrates on the essentials of the material without going into unnecessary details.  While the homework is difficult, it's unnecessary and doesn't really prepare you for the exams.  What does it matter anyways when the final grade is determined by the midterms!",05/03/2005,1,1.0,,4,Sorta interested,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,3729907,0,,poor,1,STAT100,"terrible, don't take it with him.",04/27/2005,4,4.0,,1,Sorta interested,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,2971724,0,,poor,1,STAT100,this was the worst class i've ever taken!  the guy would do the same easy example in class three times and never address the tricky stuff that would be in the homework on on tests.  everyone who takes this class with another professor says its easy.  get out now!!!,12/10/2004,4,4.0,,1,Sorta interested,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,2698256,0,,poor,1,STAT100,"I took this class in the Spring of 2002, It was seriously the worst class I have ever taken.  The homework is impossible, the book is so hard.  The tests didn't make any sense, and the stats tutors didn't even know how to do some of the homework problems.  Drop the class before it's too late.",11/10/2004,5,5.0,,1,Meh,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,2696799,0,,poor,1,STAT100,nice guy. you feel bad for him after a while. the hw is ridiculous and tedious. the test is based off all the previous exams and the hw is irrelevant. if you can get another professor......do it.,11/10/2004,4,4.0,,1,Sorta interested,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,poor,0,2682151,0,,poor,2,STATS100,"Nice enough guy, but the lectures focus on the ridiculously easy, common sense stuff and barely address the more difficult things you'll be tested on.  The only class I've ever walked out of (several times!).",11/09/2004,3,3.0,,1,Meh,1.5,1.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,poor,0,2677586,0,,poor,1,STAT100,Don't take this guy cause the other teachers give out better grades. Everyone fails the homework and he collects it every week. The tests are easy though.,11/08/2004,3,3.0,,1,Really into it,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
