attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,poor,good,0,12379941,0,,good,5,ENVIHIST,No Comments,11/08/2006,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,11831821,0,,good,5,HIST200,"Prof. Crummey is probably my favorite professor on this campus so far. He is an older Canadian Gentleman, so his accent is great. He is friendly, helpful, funny, and most importantly, he really cares about his students and wants them to do well. Very approachable in or out of class.",05/05/2006,2,2.0,,5,Really into it,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,10116977,0,,good,5,HIST216,Crummey is one of the most friendly and easy-going profs at U of I.  Took Hist of Africa with him.  Readings were interesting and not difficult.  Go to class/keep up with the readings.  He'll tell you what he plans to ask on his exams.  Very approachable.,08/12/2005,1,1.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,10022945,0,,good,4,HIST200,"One of the best professors I've ever had. Really interesting material, really interested in the subject personally. Has great presentations and brings a lot of information together.",07/13/2005,2,2.0,,5,It's my life,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,10013342,0,,good,5,HIST298,"Best prof I had.  I had him for Hist 298 and Hist 161 and got A's in both.  He is easy-going, his classes are easy, and he makes environmental history interesting.",07/11/2005,1,1.0,,5,Really into it,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,3808325,0,,average,2,HIST101,"Good person, but doesn't always seem to really know what he is talking about and jumps around from topic to topic with little in common.  He also assumes his students are less intelligent then they are, which leads to some awkwardness.",05/07/2005,2,2.0,,4,Really into it,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,3680885,0,,good,5,HIST101,"Crummey is the MAN!!  Best teacher at UofI hands down... Easy, Fun, and Interesting",04/21/2005,1,1.0,,5,Meh,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,2010098,0,,good,4,HIST160,"crowley's a cool guy. i got the only A+ when i had him (engineer owning the history majors, like wut), he was amiable and could appreciate other people's opinions who did not agree with his.",04/22/2004,1,1.0,,4,N/A,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,1560344,0,,good,5,HIST160,"People, Land & Crops. Crummey somehow made a class based on those three things interesting. Great course. Very easy to get an A if you show up. If you dont show up youre screwed.",12/29/2003,1,1.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,964574,0,,good,5,HIST160,"I really screwed up my grade in his class, but he was an excellent professor. Warm and open in his lectures. A good person.",05/16/2003,1,1.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,954470,0,,good,5,HIST386,No Comments,05/13/2003,2,2.0,,4,N/A,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
