attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Not Mandatory,good,good,good,1,24065394,0,,good,5,PSYC333,"You have to pay attention in lecture. He doesn't put them on compass but he's great at explaining things if you don't understand. The exams are challenging (2) but the papers help boost your grade. He does pop quizzes on lecture material.  I had Pete Ondish as a TA. Really nice. Only critique is being in class for 2 hours, 3 times a week is a pain.",12/13/2014,4,4.0,,4,Really into it,4.5,4.5,1,Yes,N/A,1112,Yes,,B,,people,person
N/A,poor,average,poor,0,21160846,1,,poor,1,PSYC333,"The class wasn't very enjoyable and I'm not certain that I learned too much. The lectures can be entertaining at times but are overall boring and confusing. His tests are confusing. I got an A but like I said, didn't learn much.",12/23/2012,3,3.0,,2,Really into it,1.5,1.5,1,No,N/A,1112,N/A,,N/A,,person,people
N/A,average,average,average,0,16753543,2,,average,2,PSYC333,"Lectures are boring and pointless. He often goes on random tangents. That said, the class is relatively easy if you put the work into the papers. If Kay Wallheimer is still a TA, I'd strongly recommend going for her, she rocks. No exams (and pop quizzes only if nobody participates). It's mostly essays and group projects.",01/25/2010,2,2.0,,3,Really into it,2.5,2.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,16699822,1,,poor,2,PSYC333,Lab sections gave easy and fair assignments. Lectures with Cohen were sometimes pointless and boring. Participate in class and you won't have any major tests or assignments. Just papers.,01/09/2010,2,2.0,,2,Sorta interested,2,2.0,1,No,N/A,1112,N/A,,N/A,,person,people
N/A,poor,average,average,0,14812979,0,,average,1,PSY250,Total space cadet.,09/12/2008,2,2.0,,4,Really into it,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,1,13735228,0,,good,5,PSYC250,"Best of the three lecturers, by far.  Really great teaching style, very interesting to listen to.",12/02/2007,2,2.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,good,poor,good,1,13192995,0,,good,4,PSYCH250,Just go to lecture.  I didnt read the book at all and did well.  Just go to class and you'll do very well.  The other teacher's in this 3-teacher course are not nearly as good as Dov.  He will help boost the grade.,05/21/2007,1,1.0,,5,Sorta interested,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,person
N/A,good,average,good,2,12733851,0,,good,4,PSYC250,He was really fun to listen to talk because he was so laid back. His teaching style is awesome and i really wish he taught the whole semester. The tests are easy if you go to lecture.,01/07/2007,2,2.0,,4,Really into it,4,4.0,3,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,1,12367713,0,,good,5,PSYCH250,His unit was great.  Just go to the lectures and read the stuff and you will get an A.  Reading is not that much.,11/06/2006,2,2.0,,4,It's my life,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,good,average,good,1,10702954,0,,good,5,PSYCH250,"This is the best teacher I have had in college so far. Teachers should take notes from him because he makes you want to go to class and learn the material. Tests are not difficult if you go to lecture. The only complaint I have is that he does not teach the entire semster, which he should because he kicks that much butt.",11/04/2005,2,2.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,person
N/A,good,average,average,0,10672946,1,,good,4,PSYC250,Overall interesting topics...but vague in lecture.  No concrete notes.  Lots of out of class reading that he does not even mention in class.,11/01/2005,3,3.0,,3,Really into it,3.5,3.5,1,N/A,N/A,1112,N/A,,N/A,,person,people
N/A,good,average,good,1,10612717,1,,good,5,PSYCH250,"This guy is such a great teacher.  His lectures are very laid back and he is so interesting that he just teaches as if he's having a conversation with everyone. A teacher that makes you want to come to class even when that's the last thing you want to do. there are two books to read, but they arey short and easy.",10/20/2005,2,2.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,person,person
