attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,good,average,good,0,22807972,0,,good,4,ENGL301,"Great professor, yes she can be tough she gives a lot of work but it's worth it. She is very passionate about her field. If you read your be fine. If I could i would take another class with her!!",01/30/2014,2,2.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,21714882,0,,poor,2,ENGL210,Courtemanche seems like she'd be a better professor in a small discussion class rather than a big lecture class. I felt like a lot of her lecture content was useless -- her lectures didn't help me understand the texts better or added anything substantial to my learning.,05/09/2013,3,3.0,,2,Meh,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,19743205,0,,average,3,ENGL247,"She was nice and I enjoyed the readings she chose. However, she was a bit disorganized at times and easily got off track. Overall a good teacher though, and not too difficult of a grader esp. by the end of the semester",01/18/2012,2,2.0,,3,Really into it,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,18582001,0,,good,5,ENGL247,"She likes English and she likes to teach it, you can really tell. Her lectures are clear, the text analysis is really good. She maintains an great balance in focusing on the major theme and smaller details of a novel. A fair grader, not too hard though.",05/11/2011,2,2.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,18540263,0,,good,5,ENGL435,"Best professor I've ever had. Really well versed on her subject matter.You'll feel so much smarter after a semester. You have to be willing to do the work for the paper though, but if you push yourself you'll be proud of your work in the long run. As far as lectures go, show up and listen. That's all you really need to do. She knows how to teach.",05/06/2011,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,poor,1,18018894,0,,poor,2,ENGL435,"One of the worst teachers I have had. If you like your English classes like High School then take this. If you like to think critically, or think at all, don't take this class.",12/21/2010,3,3.0,,1,Meh,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,good,average,good,0,17336135,0,,good,5,ENGL300,"Her class is always entertaining. It's fun listening to her because she is so intelligent. Her grading is a little difficult, however, and her class can be a little disorderly.",06/15/2010,3,3.0,,4,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,average,0,17188471,0,,good,4,ENGL435,"Way too interested in micromanaging students. Very smart, though. Tough grader. Classroom atmosphere more akin to high school than university. Often frustrates students by commandeering discussions.",05/12/2010,5,5.0,,3,Low,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,17008813,0,,good,4,ENGL300,"I love her, but she's hard.  If you write a paper, you have to be prepared- you can't just wing it.  The class takes a lot of work, but it's worth it because she's so funny and so intelligent.",04/16/2010,4,4.0,,4,Meh,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,12879754,0,,good,4,ENGL300,"She's a very good teacher, and does love her subject. However, the reading can get to be a lot, and you do need to stay up on it. She also seems like she's not very open to ideas that aren't her own, so it might be hard for more conservative minded students. However, if you can back up a conservative point, she will listen to your argument.",02/22/2007,4,4.0,,4,Sorta interested,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,12240814,0,,good,5,ENGL537,"Very enthusiastic, knows her stuff, great readings.",09/19/2006,4,4.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,12184503,0,,good,5,ENGL208,"One of my very favorite professors at this university: she's smart, funny, and genuinely excited about the subject matter! She IS a tough grader, and her classes do involve a lot of reading, but I feel that she influenced my college experience for the better, which makes it all worth it. Take her class!",08/23/2006,4,4.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,11399456,0,,good,5,ENGL208,"I loved her class and all of the readings she gave us.  She was a hard grader, but if you go to office hours it will really help your grade on papers.  She obviously loves her subject matter and that really comes across when she's teaching.  She began my interest in Victorian Lit (even if Bleak House was 800 pages!)",01/21/2006,3,3.0,,4,Low,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,10697596,0,,good,5,ENGL300,"Enthuastic, hilarious",11/03/2005,2,2.0,,5,Meh,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,10662833,0,,average,3,ENGL208,"The professor is very knowledgable on the subject, I'll give her credit for that. She is very harder grader, though. Had a hard time keeping up with the reading. She gives a lot of homework. If you're a slack-off, then this isn't the class for you.",10/29/2005,4,4.0,,3,Really into it,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,3924048,0,,good,5,ENG247,Very knowledgable on the subject matter. Many of the students in my class did not like her because she can be a hard grader on papers. Be sure to go to office hours for papers. She's also a bit condescending. But she really is enlightening and excited about British Literature. And I read about 1/2 of each book and didn't miss a class at got a B+.,05/25/2005,3,3.0,,3,It's my life,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,3742611,0,,good,5,ENGL208X,"Very amiable, interesting prof.  LOTS OF READING.  As long as you turn in assignments and come to class, you should at least get a B+.  Ask for her help with papers.",04/29/2005,3,3.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
