attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,average,good,poor,0,26583074,0,,poor,2,FIN300,"This class is meant to make you fail. With the class average being a D-, not including the 16 people out of 50 who dropped, it proves it. Weekly ""homework"", which should really be considered exams. The way those are graded is absolutely ridiculous. Exams are hard, & you have no idea how to prepare in advance for them. Stay clear, very very clear.",05/15/2016,5,5.0,,1,N/A,1.5,1.5,1,Yes,N/A,1112,Yes,,C,,people,people
Mandatory,good,good,good,1,25764184,0,,good,5,FIN300,"Best professor for FIN 300. The class is difficult with anyone, but she makes the material interesting and understandable. Grading is very fair, and the exams are exactly like the graded homework each week.",12/18/2015,4,4.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,Yes,,A,,people,person
Mandatory,good,poor,good,0,24435598,0,,good,5,FIN418,Best class and best professor ever.,03/05/2015,1,1.0,,5,It's my life,5,5.0,1,No,N/A,1112,Yes,,A+,,people,people
Mandatory,good,average,good,1,22516842,0,,good,5,FIN300,"I have taken her Fin 300 and Fin 418 modeling class and feel she is a phenomenal professor. Fin 300 is difficult no matter who you take it with. However, I have never found a more helpful and knowledgable teacher, who is really interesting in helping students if they ask. I highly recommend her for any finance course.",12/11/2013,3,3.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,B+,,people,person
N/A,good,average,good,0,21742354,0,,good,5,FIN300,"She is very helpful and explain the concept clearly. I you really want to learn something, take this class with her and you will have a lot of fun. And if you learn as the step she taught you, you will be fine and it is an easy B.",05/12/2013,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,16745845,0,,average,3,FIN300,"She is good at explaining concepts but her exams are very hard and averages are alwasys below C. Also, during class, if one person can answer a question she asks to all her students, she assumes everybody knows and moves on. Many people end up retaking the class because low grades.",01/21/2010,5,5.0,,3,Sorta interested,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,1,15626272,0,,good,4,FIN300,"I don't know why anyone would give this class above a 2 for ease.  She shows all her students grades, and the average grade for my class was a C. That was not including the scores for 10 of the original 40 kids in my class that failed or dropped out. Bottom line: do not take unless your prepared for a real challenge. Hardest FIN 300 professor",04/08/2009,5,5.0,,4,Really into it,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,good,good,good,0,14929437,0,,good,4,FIN300,Best teacher at UIUC period.,11/02/2008,5,5.0,,5,It's my life,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14587377,0,,good,4,FIN300,Great use of book with excellent teaching skills.,06/16/2008,3,3.0,,5,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14542154,0,,good,5,FIN300,"A lot of people say otherwise, but she is a nice teacher.  She puts students on the spot during class, but doesn't want to see kids fail.  The class itself is hard and there's Oltheten does nothing to skip over hard material.  You will definitely learn the most from this professor versus other Fin300 professors.",05/31/2008,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,14100395,0,,average,2,FIN300,"Probably one of the hardest classes I've taken at U of I, but not because of the material covered, but because of how she taught the class, which was in a very fast-paced manner. She teaches at her own level & you either keep up or be left behind. Seems like she enjoys students struggling, w/ alot of pop quizzes & tests are extremely time-crunched.",02/17/2008,5,5.0,,3,Sorta interested,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,13946205,0,,good,5,FIN490,"Took her financial modeling class. Excellent class for learning about practical models used in banking and corporate finance.  She is an wonderful teacher and helps you to understand the fundamentals of finance in case you have forgotten. No exams or quizzes, grade is based on models finished in class and a final group presentation.",01/04/2008,1,1.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,average,0,13897530,0,,poor,1,FIN300,"All tests fill in the blank, no curve-you are pretty much on your own. She is nice as a person. The single hardest class I have taken at U of I. Just get through it, it gets easier on the other side. (she will try to scare you and tell you it doesn't, but it does)",12/22/2007,5,5.0,,3,Really into it,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,12635837,1,,average,3,FIN300,"Horrible teacher.  Yeah, she knows what she is doing and teaches it but not to a class.  She doesn't care if the class understands her material; she won't slow down if everyone is confused.  Also, very unfair grading on projects and group work.  If you have no choice take it with her, but the other FIN professors are much better!!!",12/18/2006,5,5.0,,2,It's my life,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,person,people
