attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Not Mandatory,good,average,average,0,26294891,0,,good,4,MATH225,"Math 225 is not a difficult class conceptually, and Kerman does a serviceable job at lectures. You don't really need to go to class to be honest but that's just because the material isn't hard to pick up on your own.",04/14/2016,2,2.0,,3,N/A,3.5,3.5,1,No,N/A,1112,Yes,,B+,,people,people
Not Mandatory,good,average,good,0,25422511,0,,good,4,MATH225,Very clear in his speaking and notation. Conveys points well.,11/16/2015,3,3.0,,4,Sorta interested,4,4.0,1,No,N/A,1112,Yes,,N/A,,people,people
Not Mandatory,average,good,average,0,22573558,0,,poor,2,MATH221,"He wrote his notes on the board. He did not look at the class at all, just talked to the board. I never knew what were good problems to look at that would help study for the exams. He made the second test ridiculous compared to the first and third one. Not much of a curve on any of them. He definately is the hardest teacher for calc 1.",12/16/2013,5,5.0,,2,It's my life,2,2.0,1,No,N/A,1112,N/A,,B-,,people,people
N/A,average,good,average,2,21287128,0,,average,2,MATH225,"He only copies his notes onto the board and speaks it out loud as he writes. It's kind of hard to figure out if you should even take notes or just watch because he just writes and writes the entire class without much interaction. It's almost as if he's writing the book on the board, and math books are not easy to understand. Do the online homework!",01/23/2013,4,4.0,,3,Low,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,1,21280331,0,,good,3,MATH225,"Sometimes seems nervous in class.  Has trouble understanding students' questions, and therefore answering them.  Test questions more difficult than information covered in class.  But, if you do all homework and pay attention, you can do well in the class.",01/21/2013,2,2.0,,4,Really into it,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,person
N/A,good,average,average,1,21214871,0,,good,4,MATH225,"I slacked more than I should have, but even so, I had no idea what would appear on the first test (and bombed it).  The rest of the tests were reasonable.  Class was really boring though; I had trouble staying awake often (my eye lids were literally significantly heavier once he started talking).",01/06/2013,3,3.0,,3,Meh,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,average,average,good,0,21010176,0,,good,3,MATH225,"I don't see why other reviews complain a lot. He is willing to understand student's situation and his grades are fair. Exams are not by the book but if you do what you are supposed to, you will do fine.",12/10/2012,2,2.0,,5,Really into it,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,1,17628944,0,,good,4,MATH231,"I had him as well for Calc 231 but I dont see the problem. I liked him a lot. He was the right level excited. He was very competent, hence the PhD in Mathematics, he was nice to answer any questions, neat and organized and fair. He wasn't amazing neither was he awful. Tests were fair. Just do the suggested problems and you'll be good.",10/03/2010,4,4.0,,5,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,average,good,average,0,17489915,0,,average,3,MATH231,"Calc 231 was definitely a challenging course.  Had an A in Calc 221 and I super-aced my first exam in Calc 231, but things kinda went downhill from there. The homework was always much easier than the exams (except for the first one). Kerman isn't the best lecturer; he just copies his notes on the board and repeats it. My T.A did a better job.",08/07/2010,4,4.0,,2,Sorta interested,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,17195020,1,,poor,1,MATH231,Ely was the worst professor I have ever had in my life. His incompetence and lack of grasp on general social skills made him impossible to follow and his lectures overall useless. His test are utterly impassible and he puts up incorrect answers to practice problems. He can't figure out his own problems. Did he attend an accredited university&#63;,05/13/2010,5,5.0,,1,It's my life,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,average,good,poor,0,17195013,1,,poor,2,MATH231,"This was the worst experience of my life. I never felt so lost in a class until I had this &quot;professor.&quot; Half the time he didn't know if he was right or wrong while doing examples on the board. Not to mention, the practice problems he gave us before exams had wrong solutions. Exam averages are in the D range, and he didn't curve it.",05/13/2010,5,5.0,,1,Meh,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,good,average,average,0,17047141,0,,average,4,MATH231,"He's a lot easier than other Calc 2 teachers I've heard of, I strongly recommend him. His tests are definitely ace-able, as long as you know the information.",04/23/2010,3,3.0,,2,Really into it,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
