attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,good,average,good,1,25370900,0,,good,5,ECE391,"Best discussion TA. Basically did my MP for me. Got me my summer internship, too.  Badger is bae.",11/09/2015,3,3.0,,4,It's my life,4.5,4.5,1,Yes,N/A,1112,Yes,,A,,people,person
Not Mandatory,good,average,good,0,24154102,0,,good,4,ECE391,"Funny dude, nice guy. Definitely recommend, though I believe he might not be teaching anymore next term.",12/20/2014,3,3.0,,4,It's my life,4,4.0,1,No,N/A,1112,Yes,,A+,,people,people
N/A,good,good,good,1,23842515,0,,good,4,ECE391,"Badger is super hot, cool and the guy to go to for any help. He helps with a smile and is very generous with helping students on their homeworkproject. He can be a bit more nicer, like the other TA's but he's hotter than the rest. ",11/18/2014,4,4.0,,5,Really into it,4.5,4.5,1,No,N/A,1112,Yes,,N/A,,people,person
N/A,good,poor,good,0,23822664,0,,good,5,ECE391,Great guy. Nothing like having your questions answered at 1 AM. PLS,11/16/2014,1,1.0,,5,Sorta interested,5,5.0,1,Yes,Yes,1112,Yes,,N/A,,people,people
Not Mandatory,good,average,good,1,23746277,0,,good,4,ECE391,Beard? Yes. Luscious locks? Yes. Badger's discussion section trumps all.  Thank you Based Badger.,11/05/2014,3,3.0,,4,It's my life,4,4.0,1,Yes,Yes,1112,Yes,,N/A,,people,person
Mandatory,average,average,average,0,23745985,1,,poor,2,ECE391,I like Matt Tischer better as a TA. But Eric is better for discussions.  He tries to be hilarious but isn't.  ummm ... where is puskar ?,11/05/2014,2,2.0,,2,It's my life,2,2.0,1,Yes,N/A,1112,Yes,,A,,person,people
N/A,good,poor,good,0,23736459,0,,good,4,391,Badger is a super-nice guy! Course is not the same without him,11/03/2014,1,1.0,,5,Really into it,4.5,4.5,1,No,N/A,1112,Yes,,N/A,,people,people
Not Mandatory,good,poor,good,2,23735285,1,,good,5,ECE391,God of synchronization.,11/03/2014,1,1.0,,5,It's my life,5,5.0,1,Yes,Yes,1112,Yes,,B,,person,people
Not Mandatory,good,poor,good,5,23735274,2,,good,5,ECE391,His teaching was amazing... when I could focus. Most of the time I was daydreaming about his luscious hair and his bulging muscles. Have you ever seen him catch a frisbee? YES PLEASE.,11/03/2014,1,1.0,,5,It's my life,5,5.0,1,Yes,Yes,1112,Yes,,B+,,people,people
N/A,good,poor,good,2,23679258,1,,good,5,ECE391,"Hnnnnnng he made my class bearable, both his amazing instruction and his sexy bod pullin me through. Thank you Eric Badger.",10/21/2014,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,Yes,,N/A,,person,people
