attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,average,poor,average,0,22652095,0,,good,3,JOURN199,"He's good at what he does but he's stuck in a specific design mode. Learn to do things his way to get the grade. Talks a lot and tends to rub people the wrong way. Crits are meh, somethings are interesting and helpful but mostly it's his design aesthetic you're trying to meet. I probably wouldn't take another class with him.",12/24/2013,1,1.0,,4,It's my life,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,21263833,0,,average,3,JOUR199,"Had him for a discovery course, and he wasn't as organized as I would've liked. We had to put together a website and cover the 2012 election with another class. His instruction was scattered, and though it was an easy class, I'm not sure if I got much out of it. He shared what journalism was like and taught HTML to us. He's pretty hilarious, though",01/15/2013,2,2.0,,3,Really into it,3,3.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,good,0,19375032,0,,good,3,JOUR425,"Despite the difficulty, Meyer really knows his stuff. The material in 425 is extremely useful. Plus, Meyer is freaking hilarious. Some people get upset by his funny, blunt critiques, but if you chill out and laugh along it's actually a fun class!",12/04/2011,4,4.0,,5,Low,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,17659788,0,,good,5,JOUR425,"Lots of work, but you really learn a lot -- more than you do in almost any other class. Professor is very approachable and helpful in one-on-one situations, but students who aren't willing to work will really hate his class.",10/15/2010,4,4.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,16151153,0,,average,2,JOUR425,"Sorry, I'm the below commenter, I just screwed up the whole number rating part... this is more like it. You learn a lot of extremely valuable things, you don't realize how much fun it can be because you are working at such a fast pace. Just tough it out and do the best you can.",08/25/2009,5,5.0,,4,Really into it,3,3.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,14636186,0,,poor,1,JOURN425,"Pompous, arrogant, impressed with his own ideas and has an inability to explain concepts clearly. I went in for help time and again and the only &quot;help&quot; he offered was telling me my project looked equivalent to a person &quot;with his coat on backwards.&quot; VERY unconstructive. Critical but offers no real suggestions to improve. Drove me away from journalis",07/05/2008,5,5.0,,1,It's my life,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,14559256,0,,average,3,JOUR360,"He's a mixed bag. On the one hand, he's a bit abrasive and can definitely rub people the wrong way. On the other hand, he definitely is skilled at his field and knows what he's talking about. Also, he will answer any questions that students have.",06/05/2008,4,4.0,,3,Low,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,13608855,0,,poor,1,JOURN360,Loves to hear himself talk.,11/06/2007,5,5.0,,1,It's my life,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,average,0,13491626,0,,average,4,JOUR360,He was kind of scary.  I was afraid he would yell at us all of the time.,09/25/2007,5,5.0,,2,Low,3,3.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,10442528,0,,good,4,JOUN360,"He may have a unique teaching style, but he's by far one of my favorite profs from U of I",09/23/2005,4,4.0,,4,It's my life,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,3325651,0,,poor,1,JOURN360,Worst. Teacher. Ever.,02/05/2005,5,5.0,,1,Sorta interested,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,2441350,0,,poor,2,JOURN360,Ridiculous teaching style - abrasive and unclear.,09/02/2004,4,4.0,,2,N/A,2,2.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,1414571,0,,good,5,JOURN360,"I worked myself silly, but I actually kind of liked it.",12/01/2003,4,4.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,1271122,0,,good,5,JOURN360,Class was a lot of work but really fun. Meyer is funny,11/05/2003,3,3.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
