attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,poor,good,0,17712817,0,,good,5,ATMS120,AWESOME PROFESSOR!!!  Very Interesting and has a great teaching style.  One of the best professors at U of I!,10/31/2010,1,1.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,17661954,0,,good,5,ATMS120,BEST BEST PROFESSOR EVER!!! His class is interesting! He put a lot of effort on preparing his course and make it attractive. He is EXTREMELY HELPFUL and KIND. He is always willing to help!! LIKE HIM!!!,10/16/2010,2,2.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,17580148,0,,good,5,ATMS120,"seriously best professor of my life! his stories are always funny and interesting. You will learn so much, and actually retain it because he teaches in such an entertaining way. I always looked forward to his class. He really knows how to motivate and keep a college students attention.",09/08/2010,1,1.0,,5,Low,5,5.0,1,No,N/A,12091,N/A,,N/A,,people,people
N/A,good,poor,good,0,17462905,0,,good,5,ATMS201,"I am an atmospheric sciences major, and took atms 120 and 201 with him. Not only is he an amazing teacher, but he is a great guy, and super helpful to his students. It seems like he's always busy, but he will make the time to help you out with anything. He's definitely one of the best teachers I have ever had.",07/29/2010,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,17373161,0,,good,5,ATMS120,BEST PROFESSOR EVER!!!!!!!!!! class with interesting topics. you actually learn a lot of information. TAKE THIS CLASS DEFINITELY,06/28/2010,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,17369128,0,,good,5,ATMS120,BY FAR the BEST teacher I've EVERRRRRR had. I would do anything to take another class with him. I'll miss  esoddy16 =(,06/25/2010,1,1.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,17306547,0,,average,4,ATMOS120,"BEST PROFESSOR EVER!! get a buddy and do all the online hw's and quizzes together. also, DO NOT BUY THE TEXTBOOK! its a waste of $$ just get the workbook copies from a friend. do all the extra credits :) easy A no question.",06/05/2010,2,2.0,,2,Meh,3,3.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,17279117,0,,good,4,ATMS120,"Gotta love this guy. Somebody give him a raise please. As the James Bond of meteorology, Eric teaches with tons of YouTube videos and loves storm pictures and the Office. The power points were great, especial the snow storms section. Brings in candy sometimes. Super nice, loves cars too. I will never storm chase with a sun roof. That's a promise.",05/28/2010,1,1.0,,4,Meh,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,17222558,0,,good,4,ATMS201,"Great professor. Very easy class. He is a lot of fun, and really enjoys both teaching and weather. He loves to bring up funny stories in class, and still manages to teach something. My advice, take any class of his and don't look back, you'll enjoy it!",05/17/2010,1,1.0,,5,Really into it,4.5,4.5,1,No,N/A,12091,N/A,,N/A,,people,people
N/A,good,average,good,0,17166288,0,,good,5,ATMS120,"Snodgrass is a great professor, he loves his work, the topics he teaches are so interesting, he reiterates what he says with fun//interesting videos & slides.. plus he's so hot & has mad swag.",05/10/2010,2,2.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,17121631,0,,good,5,ATMS120,Snoddy is the BEST!  He cares so much about the material and he really wants his students to do well.  You will actually look forward to coming to class with him!  He is one of the most enthusiastic teachers I've ever seen and he is so nice.,05/04/2010,1,1.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,17053874,0,,good,5,ATMS120,"I took this class trying to fill up hours and boost my GPA, which it did, but I also learned a whole lot too.  Just go to class and take notes and you'll do fine on the homework and exams and get an easy A. I actually looked forward to going to class and can genuinely say that I learned something new every time I went. Snodgrass is the greatest.",04/24/2010,1,1.0,,5,Low,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,17038397,0,,good,4,ATMS120,He is what all professors should be. Really down to earth and funny. Very passionate about the material. If you go to the lectures (which you wont mind going to) and look over the material before a test you will get an A. Gives around 10% of extra credit. I would take any class he teaches,04/22/2010,2,2.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,16959417,1,,good,4,ATMS201,He is a nice guy and teaches the material well.  He is just kinda annoying to listen to .  Maybe its just the way he talks.,04/07/2010,1,1.0,,4,Really into it,4,4.0,1,No,N/A,1112,N/A,,N/A,,person,people
N/A,good,poor,good,0,16527268,0,,good,5,ATMS201,"Great teacher! His atmos 201 class is a step above atms 100 or atms 120, however its still very straight forward and relatively easy. He's very enthusiastic about teaching and probably one of the greatest teachers on campus. I would highly recommend any class taught by him",12/11/2009,1,1.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,16392919,0,,good,4,ATMS120,Snodgrass is great. He is so nice and good to look at ;) He makes the boring stuff okay and the fun stuff even better. Shows interesting clips and offer tons of extra credit! Tests are fine if you do the homework and review lecture. TAKE THIS CLASS!,11/18/2009,2,2.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,16373485,0,,good,5,ATMS120,"He is THE coolest teacher I have ever had. I had no interest in weather prior to this class, but now I love it! Best class of the semester.",11/16/2009,2,2.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,16338596,0,,good,5,ATMS120,"I LOVE this class, he's so cool, down to earth, funny, and young. He's always talking about the Office, showing videos, making jokes, I never miss this class and if you study and go to lectures, you should be good. I got an A on both exams so far. TAKE THIS CLASS!!! I always tell everyone! He's what a college professor should be!!! Great elective!!",11/09/2009,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,16313176,0,,good,5,ATMOSC,"This is my favorite class to go to because he is so passionate in teacher.  Not only that, but he is good at it.  He is very animated and easy to follow, if you don't understand something, he will explain it to you till you get it.  You watch plenty of videos to keep you entertained in class and you actually learn something, HE IS THE BEST!",11/04/2009,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,16308557,0,,good,5,ATMS120,snodgrass is hands down the best professor iv had at this university. he is very passionate about his field and he enjoys teaching. he responds to emails and compass freaky fast. atms 120 my fav class this semester. he has made me very interested with his energetic and fun teaching style. great job eric. take this class for nat. science requirement,11/03/2009,2,2.0,,5,Low,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
