attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,0,24597646,0,,good,4,NW210,Shes always willing to help and gives good feedback. She doesn't give study guides but she will basically tell you whats on the tests if you ask ,04/14/2015,3,3.0,,4,Sorta interested,4,4.0,3,No,Yes,1112,Yes,,N/A,,people,people
Mandatory,good,average,good,0,23743220,0,,good,5,NW210,She's awesome! She understands completely! I would take another one of her classes if i could!,11/04/2014,3,3.0,,5,It's my life,5,5.0,3,Yes,Yes,1112,Yes,,N/A,,people,people
N/A,good,average,good,0,17444371,0,,good,5,CHEM102,LOVE HER!!,07/23/2010,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,17323063,0,,good,5,CHEM102,Great professor!!!She is very helpful. But to do well you should study regularly and especially do a lot of the suggested problems because she puts them in quizzes and sometimes in exams as well.,06/10/2010,4,4.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,17166146,0,,good,5,CHEM102,"She's terrific if you put in the effort. She's very on top of responding to email and providing you with every possible resource she can. The class is obviously difficult...but if you really want to learn chem and you put in the effort, you will learn it.",05/10/2010,5,5.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,17165142,0,,good,4,CHEM102,"Whitteck truly cares about her students and offers numerous resources for her students to succeed. However, in order to do well, you have to take the initiative and devote much time and effort to this course. Overall, wonderful teacher.",05/10/2010,4,4.0,,5,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,17096128,0,,average,3,CHEM102,"Exams are impossible! Quizzes can go either way, do the suggested problems because a lot of the quiz questions came straight from that. Definitely print out the lecture slides, she teaches straight from the power point which is annoying at times.  She does post &quot;video lessons&quot; on compass which can be a really helpful review.",04/30/2010,5,5.0,,2,Sorta interested,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,16952617,0,,average,3,CHEM102,"Not a great lecturer; you'll probably want to print out the notes from the web and study on your own. Quizzes and exams were definitely harder than one would expect, but if you study on your own and manage to find a good TA, you should be able to pass.",04/05/2010,4,4.0,,3,Low,3,3.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,average,0,16527601,0,,good,4,CHEM102,"Lectures are just ok and the exams are hard, but curved a little. Ultimately i would say take another professor if you can. Labs are a pain in the arse, you pretty much get a crappy grade for alot of work.",12/11/2009,4,4.0,,3,Sorta interested,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,average,0,16308479,0,,good,5,CHEM102,No emotion,11/03/2009,4,4.0,,2,Really into it,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,average,0,16235896,0,,poor,3,CHEM102,"Teaches from power point so notes are impossible in class. I learn better when I take notes, this teacher made it very hard to take notes so I just wrote what I could then read the chapter to make sure I understood the rest of the material.",10/13/2009,1,1.0,,1,Sorta interested,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,15992487,0,,good,4,CHEM102,"Great teacher. Sometimes confusing, but willing to take questions in or out of class, and to explain as many times as necessary. We took Hummel's exams, which was fine becasue the material was still pertinent to what we covered in class.",06/25/2009,1,1.0,,4,Really into it,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,15773558,0,,good,3,CHEM102,"Try to get Hummel instead, she's only going to be here for one more year.  Hummel's exams are easier.  Good use of powerpoints, although can be really boring during lecutre. Never anything interesting during lecture, disappointment after gretchen",05/05/2009,4,4.0,,4,Sorta interested,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,15749486,0,,good,5,CHEM102,"Really a solid teacher, and she is willing to work with students until material is understood. The content is difficult (I mean c'mon, it's chemistry), but she made it relatively enjoyable. I still use the excellent lecture notes as my chemistry reference. For more ratings, her name was Erin Elliott before she got married...",05/02/2009,3,3.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
