attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Not Mandatory,good,good,good,0,25982041,0,,good,5,MATH424,"One of the best teachers I've ever had. Explanations are amazingly clear and he really takes the time to make sure you see how the ideas connect. He didn't like some of the proofs as they were given in the book, so he did them differently. Was able to answer virtually any question asked in class.",01/22/2016,4,4.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,Yes,,A-,,people,people
N/A,good,good,good,0,25612915,0,,good,5,MATH427,"good professor, very nice, post class notes on line for student to review.  lecture is very clear. study hard and you will be fine. ",12/09/2015,4,4.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
N/A,good,good,good,3,24617616,0,,good,5,MATH347H,"lerman is a very good professor. this guy knows a lot and he can definitely answer all of the questions you might have, the hard part is the lecture content is so abstract and very hard to grasp. so make sure you keep up the pace within lecture. also, he never curves. so prepare to study hard before exams. ",04/17/2015,5,5.0,,4,Sorta interested,4.5,4.5,1,No,N/A,1112,Yes,,N/A,,people,people
Not Mandatory,good,average,good,2,23318064,0,,good,4,MATH417,"Dr. Lerman is awesome! His exams are hit and miss, but beyond that, he is an amazing professor. He single-handedly restored my faith in the math department at UIUC; I was regularly enjoying and understanding math for the first time since calculus. If the choice is between him and anyone else, take Lerman's class.",05/27/2014,3,3.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,21249060,0,,good,4,MATH416,"Lerman's 416 class was fun. He has a great sense of humor and he knows his content well. He is willing to help students, and you can tell he wants to help you succeed. Even though he speaks clearly, he couldn't explain content well enough for me to understand it. His homework is decent but the exams are hard. Overall, I recommend him.",01/12/2013,4,4.0,,5,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,20073901,0,,good,5,MATH416,"Tthe best math professor I had in college. His office hour is useful and quite helpful for the exam. The class is interesting and although there are a bunch of proofs , they are not hard to follow if you listen attentively. Exam are somewhat hard but I would say not beyond the materials covered in class. Overall, he is very nice!",04/18/2012,4,4.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,poor,1,18018998,1,,poor,2,MATH417,"He is very hard to follow sometimes. He never curves, and to be honest, his exams are HARD! not recommend at all!",12/21/2010,5,5.0,,1,Low,1.5,1.5,1,No,N/A,1112,N/A,,N/A,,person,person
N/A,good,good,good,1,17938746,0,,good,4,MATH417,"Professor Lerman is a good professor, but the MOST difficult part of this class is that there's no curve. One test was 3 A's, 1 B, 7 C's, 8 D's, 3 F's and there was still no curve (even though there's a mix of grads and undergrads). Otherwise, Lerman has a pretty interesting sense of humor. Encourages questions and doesn't make you feel stupid.",12/14/2010,4,4.0,,4,Really into it,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,good,poor,good,0,16337455,0,,good,4,MATH241H,"It's very easy to feel overwhelmed, especially in the beginning when he does a ton of proofs. But this class is very do-able with a little work. His tests are extremely fair and straightforward and he gives practice problems almost identical to test questions. He's very smart, and pretty funny. I would take a class with him again.",11/09/2009,1,1.0,,4,Really into it,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14478448,0,,good,4,MATH347,"He knows his stuff.  You learn a lot.  Disagree with his grading methods, but whatever.",05/15/2008,2,2.0,,4,It's my life,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,14246012,1,,average,4,MATH347,"His exams are easy.  However, he is arrogant and will give you a lot of discouraging statements. He is not available to help and sticks very strictly to office hours. Just leaves the second his office hours are over. Will even hint that you are stupid.",04/05/2008,2,2.0,,1,It's my life,2.5,2.5,1,No,N/A,1112,N/A,,N/A,,person,people
N/A,good,good,good,0,13880349,0,,good,5,MATH241H,"He is a very good professor, doesn't grade on a curve but his tests are very straightforward, knows alot about the subject and was quite qualified to teach an honors section of 241, highly recommended",12/20/2007,4,4.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,12102006,0,,good,5,MATH380,"HWs are very straight foward. exams are cake. a lot of topics, so you can get lost. but if u apply yourself, it's your chance to learn vector calculus, because he not just know, but also knows how to teach.",07/24/2006,1,1.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,11330705,0,,good,5,MATH380,"Easiest tests ever. I was done with my final in 20 minutes, and I got a 99% on it. Add to that, he does a good job of explaining stuff. Weird sense of humour and possibly obsessed with differential forms.",01/09/2006,1,1.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
