attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,average,average,poor,0,14864240,0,,poor,2,IB150,"Very arrogant. Genius in the field, but not a good professor for a survey course.",10/12/2008,3,3.0,,1,Sorta interested,1.5,1.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,13646176,0,,good,4,IB150,"Friendly guy... makes lectures entertaining, but tests are extremely hard!!  Study as much as you possibly can and more if you want to do remotely well.",11/13/2007,5,5.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12875273,0,,good,4,IB150,"Overall good as a professor. Good at presentations and very approachable if you have questions. It was sometimes confusing as to what was important to study towards the end of the class, as he relied heavily on graphs and data for the last few lectures. However, if you go to class and pay attention, you should do just fine.",02/21/2007,2,2.0,,4,It's my life,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,12538487,0,,good,3,IB150,"Has a very different teaching style that relies on graphs and figures, but uses them effectively. He is very funny during class and keep things interesting. Some lectures are quite boring, but have their interesting moments. He knows his stuff and is very friendly and informative.",12/06/2006,2,2.0,,4,It's my life,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,12531338,0,,average,3,IB150,"Came half-way through semester, hard to change teaching styles but he does know what he's talking about, tests are hard.",12/06/2006,4,4.0,,3,Low,3,3.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12458283,0,,good,5,IB150,An awesome professor- he is actually funny and really knows his stuff,11/21/2006,3,3.0,,4,Sorta interested,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12315226,0,,good,5,IB150,"He's an amazing professor, kind, funny.  Mostly he's a hottie.  And i'm surprised no one else has said so yet.",10/25/2006,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,11355917,0,,good,4,IB150,"Tests won't be easy, but not impossible.",01/12/2006,4,4.0,,5,Really into it,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,11259669,0,,good,5,IB150,"Great professor.  Not intimidating and very informative.  He keeps you into class and to tell you the truth, it is quite hard to fall asleep (he will tear you up if you do). He's fair but does not have office hours.",12/26/2005,3,3.0,,2,Sorta interested,3.5,3.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,10917364,0,,good,5,IB150,hes a very good professor and is very interesting. he can keep your attention and is easy to understand. just go to class and take notes and youll do fine.,11/15/2005,2,2.0,,5,Really into it,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,10671981,0,,average,3,IB150,"The man is an absolute genious in plant biology, so be prepared for some unfamiliar vocabulary and teachings. His tangents, unlike Berlocher's, are interesting. Make sure you are well rested for his  classes because you need to be paying attention to every word he says. He can get on a personal level and make class very enjoyable. Overall great guy",10/31/2005,4,4.0,,3,It's my life,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,10664434,0,,good,5,IB150,"At first his lectures seem beyond intro level, but once you are used to his lectures, the material is a lot easier to understand and is even enjoyable",10/30/2005,3,3.0,,5,Really into it,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,10022971,0,,good,5,IB150,"DeLucia is a very direct and clear lecturer, perfect for this intro bio course.  He has a lot of concern for environmental issues as a biologist should, which seems totally appropriate lecture topic to me, but might offend some.",07/13/2005,3,3.0,,4,It's my life,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
