attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,average,good,average,0,25495863,1,,average,2,GEOG101,"Professor Kalipeni was an OK teacher. He is from Malawi, which has its pros and cons. He knows a lot about developing countries and is clearly pretty intelligent. But the downside is that he has a thick accent and reads straight off the powerpoints during lectures, making them feel long and sometimes boring. It was tougher than i thought it'd be.",11/28/2015,4,4.0,,3,Sorta interested,2.5,2.5,1,No,N/A,1112,Yes,,N/A,,person,people
Not Mandatory,average,average,average,1,24580521,0,,poor,2,GEOG455,"Very funny and likeable guy. Interesting life stories. Does not follow syllabus. Quizzes are open book, but he uses old test banks so material does not always correspond with his lectures. His response to any of your problems is ""don't worry, it will be okay"" (dismissive).  All lecture slides are posted. Makes me laugh every class. Jolly guy. ",04/12/2015,3,3.0,,2,Really into it,2,2.0,1,Yes,N/A,1112,Yes,,B+,,people,person
N/A,good,poor,good,0,24306434,0,,good,4,GEOG316,"Professor Kalipeni taught a class at my university this past fall and then left to go back to UIUC.  He is unintentionally funny and though he is tougher to understand (being from Malawi), its always fun to be in his class. I definitely recommend taking a class of his.  If he were still at my school, I'd be taking one with him this semester.",01/19/2015,1,1.0,,4,It's my life,4,4.0,1,Yes,Yes,1112,Yes,,N/A,,people,people
N/A,average,average,average,0,21833033,0,,average,2,GEO204,He is very hard to understand and his lectures are very dry. He is fun however and that makes up for how terrible his daily quizzes and tests are. Way too much work for an intro/ gen. ed. class and too many projects requiring you to use labs and resources generally not needed in such a low level class.,05/27/2013,3,3.0,,3,Really into it,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,21586762,0,,poor,2,GEOG384,"I enjoyed the content of this class and the professor is very funny, but I feel I zoned out a lot in his lectures and learnt the most by independent study for quizzes and assignments, if attendance wasn't mandatory I wouldn't have needed to attend. This class has a lot of busy work that can be a little overwhelming",04/23/2013,3,3.0,,2,Really into it,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,good,0,20267232,0,,good,3,GEOG204,"Professor Kalipeni is a friendly person with a great sense of humor. His stories will definitely make you laugh. The class isn't too hard if you go over his discussion quizzes and slides, but Kalipeni can be very disorganized. He hardly ever follows the syllabus. Class is mandatory and can be boring, but his sense of humor is surely one of a kind.",05/12/2012,2,2.0,,5,Sorta interested,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,poor,0,20017000,0,,poor,2,GEOG204,"He tries to be funny, but comes off as incomprehensible, and often makes references to his own personal unfounded beliefs. Avoid him at all costs.",04/09/2012,4,4.0,,1,Really into it,1.5,1.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,19526280,0,,average,3,GEOG455,"Interesting class, really understands it because he is from Africa. Questions from discussion quizzes are on the midterm and finals. Show up to class and you'll do fine!  He's pretty goofy, sometimes hard to understand (accent) and overall good guy, but doesn't stick to the syllabus at all",12/15/2011,3,3.0,,2,Sorta interested,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,good,0,15444364,0,,good,3,GEOG384,I am taking Geog 384 this semester. He seems like a very fair professor. The subject matter is very intersting. His accent is a little bit hard to understand though. I took his class in Spring 2009.,02/05/2009,3,3.0,,5,Sorta interested,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,14426328,1,,average,2,GEOG101,"Horrible class, very hard for a gen ed. Tests are ridiculous, gives you &quot;example questions&quot; but they are nothing like the actual test...every other answer involves an &quot;all of the above&quot; or &quot;none of the above.&quot; Burton is not a good TA. Weird and awkwardly unapproachable...sections got awkward very quickly.",05/07/2008,4,4.0,,3,Really into it,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,average,average,poor,0,14220658,0,,poor,2,GEOG101,"Funny prof, but I usually don't pay attention.  Lecture slides are online.  More assignments than I would have thought.  Seems like something is due every week in discussion.  for discussion do not take burton!!!  alejandro is good.  overall, easy class.",03/31/2008,2,2.0,,1,Low,1.5,1.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,average,0,14154769,0,,poor,3,GEOG101,This professor does not care about teaching or is just a really terrible teacher.  Very disorganized class.,03/10/2008,1,1.0,,1,It's my life,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,13586719,0,,average,4,GEOG101,"The class was very easy, he was entertaining.  basketball players were in my class for the only time in college here.  I missed half a test and still got a B+ in it.  memorizing developing countries were kinda boring but, still an easy grade.",11/01/2007,2,2.0,,2,It's my life,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,13133550,0,,poor,1,GEO101,Impossible to cover study materials for final. Memorization required for about 140 countries.,05/09/2007,5,5.0,,1,Sorta interested,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,13121666,0,,good,4,GEOG101,"Eh, okay class. If you need a Gen-Ed though its prolly your best bet.  He makes lectures funny at times, but they're not too mandatory.  Study for tests and/or pay attention in class lots.  Lecture notes online are key.",05/07/2007,3,3.0,,3,Low,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,13010844,0,,poor,2,GEO101,This class sucks. The tests are ridiculous..but that is more the TAs' fault than Kalipeni's. He's really hard to understand. I took this thinking it would be my blow off class and it is one of my hardest...Take something else if you can.,04/14/2007,4,4.0,,2,Sorta interested,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,poor,0,12961942,0,,poor,2,GOEG101,HORRIBLE CLASS!! I thought this would be easy but the test was impossible! He asks you the most irrelevant things from notes and then the most obscure stuff from the books you have to read. You NEED to go to class because he'll randomly take attendance and that counts for 6% of your grade. Be very weary of geog 101 if kalepeni is teaching,04/02/2007,4,4.0,,1,Meh,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,12814335,0,,good,4,GEOG455,Very passionate about his work,01/24/2007,1,1.0,,4,Really into it,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,10865971,0,,good,3,GEOG,"attend class, he will screw you over on attendance",11/09/2005,2,2.0,,4,Sorta interested,3.5,3.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,average,0,3919205,0,,average,3,GEOG101,"Not extremely interesting, kind of a hard accent, but occasionally makes some funny jokes.  Exams and assignments were always easy, a very easy class. Definitely recommend taking GEOG 101 to satisfy the Non-Western Requirement.",05/25/2005,1,1.0,,3,Sorta interested,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
