attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,good,average,good,0,26668768,0,,good,5,UP185,"Incredibly worldly and a true gift to the University/Urban Planning Dept., Prof. Miraftab teaches courses on transnational planning, globalization, and cities of the Global South. She often draws upon her own life experiences, brings candor to class, & begins with ""Good Morning, how is everyone doing?"" A Published writer and my favorite professor.",05/29/2016,3,3.0,,5,N/A,5,5.0,1,Yes,Yes,1112,Yes,,A-,,people,people
Mandatory,average,good,average,0,26503696,0,,good,3,UP185,Professor Miraftab is very knowledgable and passionate in her teachings. This class if full of eye opening material. There is a small quiz every other week on average and one paper. You do have to work for your grade as there is only 100 points total in the class. I would recommend this course to anyone who has interest in global cities.,05/08/2016,4,4.0,,4,N/A,3.5,3.5,1,Yes,N/A,1112,Yes,,N/A,,people,people
Mandatory,good,average,good,0,26457689,0,,good,5,UP185,Professor Miraftab is very knowledgeable in this subject. She is very passionate and enjoys what she teaches. She makes herself available as long as you show interest in the subject and/or your grade. The readings she assigns relate to the topics covered in class and are necessary for the quizzes.,05/03/2016,3,3.0,,4,N/A,4.5,4.5,1,Yes,Yes,1112,Yes,,N/A,,people,people
Mandatory,good,average,good,0,26451463,0,,good,4,UP185,"She taught this class well, if the little description blurb in the registrar interests you then you will enjoy this class. Most of the quizzes you don't even need to do the reading to do well on, it's just common sense.",05/03/2016,2,2.0,,5,N/A,4.5,4.5,1,Yes,N/A,1112,Yes,,A-,,people,people
N/A,good,average,average,0,26450782,0,,good,4,UP185,"I loved the way her lectures were always so interesting. She is a very experienced woman, and you can see her passion for the topics discussed in class. Your perspective of the world will really change and you'll understand a lot more about the way things work. Even the assignments were engaging. Just be ready to talk about the readings in class!",05/03/2016,2,2.0,,3,N/A,3.5,3.5,1,Yes,Yes,1112,Yes,,N/A,,people,people
Not Mandatory,good,average,average,0,26448740,0,,good,4,UP185,"Professor Miraftab is a wonderful teacher. She teaches passionately about the materials in this class. The assignments and readings aren't that hard, but it is important that you ATTEND class. She usually reviews the assigned materials for the  session in class, so you don't really have to do all of the readings. Overall, UP185 is a chill class.",05/03/2016,2,2.0,,3,N/A,3.5,3.5,1,Yes,N/A,1112,Yes,,N/A,,people,people
Mandatory,average,average,average,0,26448467,0,,average,3,UP185,"Great content. Best class at uiuc in terms of eye opening material , but organization of class is messy.",05/03/2016,3,3.0,,3,N/A,3,3.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
Not Mandatory,average,poor,average,0,26448377,0,,good,3,UP185,"This class had some great material to look into. I enjoyed all the material covered and everything overall was pretty understandable. Participation  is expected, and the class is easy going. I loved it and gained so much from it. The professor is super helpful and her open hours are helpful incase anything she says is unclear.",05/03/2016,1,1.0,,4,N/A,3.5,3.5,1,No,N/A,1112,N/A,,B,,people,people
N/A,good,poor,good,0,26234019,0,,good,5,UP185,Her interest and passion in the topic are inspiring. She's such a nice professor and she's very easy to approach.,04/05/2016,1,1.0,,5,N/A,5,5.0,1,No,Yes,1112,Yes,,N/A,,people,people
Mandatory,good,average,good,0,26041594,0,,good,4,UP580,She is very cool and interesting.  Always knows her stuff.  I recommend this professor if you want something different and memorable.  I learned alot.,02/09/2016,2,2.0,,4,Sorta interested,4,4.0,1,Yes,Yes,1112,Yes,,A-,,people,people
N/A,good,poor,good,0,21597929,0,,good,4,UP285,"Her class is easy, but sometimes difficult to find the relationship with the guideline she provided. But she is definitely into this issue and very passionate.",04/24/2013,1,1.0,,5,It's my life,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,21404624,0,,average,4,UP185,"She can articulate the material. Otherwise, she is terrible. She has a no screens policy but apparently that doesn't apply to people who use iPads. She will also waste class time ranting about phones and waiting for people to ask/answer questions even though no one wants to. She  has picked out people who obviously had nothing to say.",03/12/2013,3,3.0,,1,Sorta interested,2.5,2.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,poor,0,20216215,0,,poor,1,UP185,"Although I found the topics discussed in class interesting, I could not handle how confusing Professor Faranak was and ultimately dropped the class. The confusion she causes when asked a question makes asking questions almost useless, she really just reiterates what she just said. Attendance is mandatory and she expects participation.",05/07/2012,3,3.0,,2,Really into it,1.5,1.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,20198729,0,,poor,2,UP185,"The class is fairly easy, but the professor is ridiculous. She's really bad at explaining her expectations and is really needy when it comes to classroom discussion/interaction, so get on her good side by talking a lot and going to office hours. Projects are pretty easy and the finals are essay format.",05/04/2012,2,2.0,,2,Really into it,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,poor,0,18542508,0,,poor,1,UP185,"Totally unorganized. Not a hard class though. Interesting, but hard to figure out what's going on in the class. She seems to have no idea of what's she's assigned and when it's due, and keeps changing deadlines. Interesting class though.",05/06/2011,2,2.0,,2,Really into it,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
