attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,0,16324102,0,,good,5,PS220,"Professor Malekafzali is DA BOMB! I'm taking his class right now and I enjoy listening on what he has to say. I really didn't know what to think at first, since he came off as kind of a hardass, but he's actually really cool. 2 midterms, 1 10-page paper, and a final. Medium-High amount of reading. Doesn't matter what grade you get, take this class!",11/06/2009,3,3.0,,4,Low,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,15958422,0,,good,5,PS499,I liked professor malekafzali a lot. He is analytical and a very effective lecturer. His discussions are completely based on research done in Israel! I learned a lot and recommend him highly.,06/13/2009,4,4.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,poor,0,15958367,0,,poor,2,PS499,If you want to actually learn about the material in the class do your own research.  Otherwise he will just confirm liberal biases against Israelis.  Blatantly teaches his opinion on a very complex issue rather than evaluate the facts from a fair viewpoint.  Had various issues with his teaching and was not helped at all by the professor.,06/13/2009,5,5.0,,1,It's my life,1.5,1.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,15916877,0,,good,5,PS499,Thank you professor Malekafzali for a truly inspiring semester I spent in your class. You are a wonderful professor and your clarity of vision as well as depth of knowledge was awesome.   Your class taught me to evaluate evidence from both sides of the debate and then come to a reasoned conclusion.,05/31/2009,4,4.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,15713838,0,,good,5,PS304,"This course is simply amazing! Malekafzali is sophisticated and erudite and his classes are actually fun to attend. Exams are pretty cool too. Overall, given the chance, I would love to take another of Malekfazli's class.",04/27/2009,1,1.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,15421951,0,,good,5,PS499,This is one of the only interesting teachers in Political science besides Mondak. The tests are straight from the lecture with one question from the reading. If you know all the lecture questions then you do not even need to read the books.  Just memorize all the points that he makes during lecture because the test questions are specific essay &#63;s,01/28/2009,5,5.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,15421412,0,,good,5,PS304,"Are the previous two comments left by the same person! What are you talking about prof. Malekafzali not allowing audio devices. He has it on his syllabus: &quot;Students are welcome to tape record. lectures&quot; Sorry he hurt your feelings. Too much sense of entitlement, perhaps&#63;!! He is a great professor.",01/28/2009,4,4.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,15417269,0,,poor,1,PS304,"RUN! Stay far away from any classes taught by this teacher. Very rude and makes no effort to work with the students if they have questions.  Don't expect to get a simple answer from him either.  Doesn?t allow recording devices either, I wonder why.",01/26/2009,5,5.0,,1,Really into it,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,15352459,0,,average,2,PS304,"This professor was difficult, but not in a way that challenged me or made me work harder. His lectures are slow, made me fall asleep, no matter what I did. I find him to be a terrible professor because his lessons are one sided, basically him telling us what to think, not how to think or learn. Hard to get an A, not hard to get a B.",01/11/2009,5,5.0,,3,Really into it,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,15327020,0,,average,2,PS220,"The Professor is extremely liberal, radical about it too. Often times he'll go off on irrelevant tangents about the poor state of the US. Intelligent though. One piece of advice, start the paper early. Tests are almost all from reading, lecture is pointless.",01/06/2009,3,3.0,,4,Sorta interested,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
