attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,0,25049788,0,,good,4,CHLH244,She is a professor that cares about her student. I didn't do so well in the first exam but she took the time to help me even when I couldn't make it to office hours,07/18/2015,3,3.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,Yes,,B+,,people,people
N/A,average,average,average,0,23831372,0,,good,3,CHLH244,She really cares if you learn and she is more than willing to help outside of class. Definitely recommend having her.,11/17/2014,3,3.0,,4,Low,3.5,3.5,1,Yes,N/A,1112,Yes,,N/A,,people,people
Mandatory,good,average,good,0,23530922,0,,good,4,CHLH244,"She wants to help you in any way possible, so take her up on that, and you will be fine.",08/15/2014,3,3.0,,5,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,B+,,people,people
Mandatory,average,good,average,0,23144340,0,,good,3,CHLH244,"Good teacher. Sometimes it was hard to understand but if you go to office hours or ask her to go over again, she will. I can do without the group project. TA wasn't all that great, seemed scare to teach us.",05/01/2014,4,4.0,,4,Sorta interested,3.5,3.5,1,Yes,N/A,1112,N/A,,B-,,people,people
N/A,poor,good,poor,0,21663009,1,,poor,1,CHLH244,"I don't know why I did not have the experience that the others hand before me. For your sake, avoid as she has become one of the worst professors in the school. She has no consideration for any of her students and quite frankly, has no interest in their well-being. AVOID AVOID AVOID cannot stress any further. Take another class or wait a semester.",05/02/2013,4,4.0,,1,Really into it,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,good,average,good,0,20561811,0,,good,4,CHLH244,I had never taken a stats class before and prof. Andrade helped me to get an A. She is one of the most helpful and easy-to-understand professors I have ever had. She is always available to help and you will have enough resources to get you through the class.,08/09/2012,2,2.0,,5,Low,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,20031951,2,,poor,2,CHLH244,This class is difficult but mandatory best to take it will a easier semester,04/11/2012,5,5.0,,2,Meh,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,19372264,0,,good,5,CHLH594,"great instuctor: caring, great examples. relevant homework.  good class.",12/03/2011,1,1.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,1,19301370,0,,good,4,CHLH244,"She's a really good teacher, and her examples are very helpful. Just make sure you do all of the homework, and pay attention in class and you'll be fine.",11/22/2011,2,2.0,,4,It's my life,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,average,average,good,1,18155032,0,,good,3,CHLH244,"Very nice. She's very helpful especially if you go to her office hours she'll re explain anything you don't understand. Exams are okay if you study and use the practice exams she gives you. Homeworks easy too, there's about one assaignment a week.",01/18/2011,2,2.0,,5,Sorta interested,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,average,average,average,0,16688206,0,,average,2,CHLH244,she can be pretty funny. she moves quickly through the material however. if you feel like you are confused go in for help right away before you get too far behind (which is easy to do). the two projects aren't too difficult but seemed somewhat pointless to me. There are three exams (including the final) practice exams and reviews are provided,01/06/2010,3,3.0,,3,Sorta interested,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,15727311,0,,good,4,CHLH244,"This class is somewhat easy.BUT it is easy to fall behind. She is such an extremely nice person and is always willing to help with any question you have. There are three exams in total, all of which are so-so.This class is all about keeping up with the material, so if you do that, then you should do well on the exams. The least u should get is a B.",04/29/2009,2,2.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
