attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,0,18589503,0,,good,5,RHET105,I love this guy! He is a perfect rhet teacher. Lectures are a little dry tho. Hes extremely helpful and I learned a lot in his class. Frank rocks!,05/12/2011,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,18511941,0,,good,5,RHET105,You couldn't ask for a better rhetoric teacher. And he is pretty funny and really nice guy,05/02/2011,1,1.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,18034695,0,,good,5,RHET105,"Had to take the class after getting a 31 English on the ACT. If you have to take RHET, take it with Frank because he is very helpful and interesting. he also hates the newer Star Wars movies and so do I so rock on Frank! I got an A+ in the class with minimal effort but I'm an English scholar so that's to be expected.",12/23/2010,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,17282928,0,,good,4,ENGL109,"I've never taken a college level English class and have never had any interest in taking one.  Frank was very interested in helping us understand what was going on in the books.  While some professors suck at teaching and are making 6 figures, Frank was one of the best instructors I have had at this University.",05/29/2010,2,2.0,,5,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,17087868,0,,good,4,ENGL109,"I love this class even tho it's not that easy.  He's really nice and helpful, and very cool judging by his office taht has bobbleheads :)",04/29/2010,4,4.0,,4,Sorta interested,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,16872542,0,,good,4,ENG119,"He was very interested in the topics and made reading these books interesting. Sometimes I found myself daydreaming when he talked a lot but the class was pretty easy, and he was easy on papers.",03/14/2010,2,2.0,,5,It's my life,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,1,16739370,0,,good,5,RHET105,Best Professor I've ever had and probably will ever have. He was extremely helpful. His assignments are interesting and not too difficult. Great Teacher I highly recommend taking one of his classes.,01/20/2010,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,good,good,good,0,15967498,0,,good,4,ENGL120,Not much to say other than he's alright and expects you to do the work. I guess I earned my B. In some other class it would have been an A but I liked the class fine.,06/16/2009,4,4.0,,4,Sorta interested,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,15959067,0,,good,5,ENGL255,Great teacher. Very helpful.,06/13/2009,4,4.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,good,0,15488346,0,,good,3,ENGL255,"A great TA and a really smart teacher. Very helpful in office hour, and doesn't talk down to you. He's probably like 35 but seems a lot younger.",02/25/2009,4,4.0,,5,Sorta interested,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,13910004,0,,good,5,RHET105,Great! He was always very helpful when I came to office hours. He is very nice. He grades fairly easy. Attendance is mandatory.,12/26/2007,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,13125809,0,,good,4,RHET105,"absloutely loved him. if u have to take this class take it with frank.he is a VERY easy grader and u will get an A if uparticipate. its a****ty class to begin with and requires some reading, but if u dont read, u can still bs your way through the class period. DEFINATELY TAKE him and dont switch out of his class, its easy, though boring sometimes",05/07/2007,1,1.0,,5,It's my life,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,good,0,12131913,0,,good,3,RHET105,"Frank is such a great guy and awesome teacher! If you just ask him for help and talk to him about the class/papers/etc. your bound to get an A. Participating in class is the key to getting the A too, just give your opinion on everything.",08/04/2006,2,2.0,,5,Low,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,average,0,12123290,0,,good,3,RHET105,"Was an extremely easy grader and very flexible with students needs. Kinda dorky and rambles a LOT, but more or less keeps the class interesting.  Was a nice guy, especially when you go in to his office hours for help.",08/01/2006,1,1.0,,4,Low,3.5,3.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,10443766,0,,good,4,ENGL255,"I liked his teaching style. He seems like a dork kind of at first, but then secretly I had a secret crush on his dorkiness. SHH! It's a secret!",09/24/2005,2,2.0,,5,Sorta interested,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,10139229,0,,good,3,RHET105,"Frank was a really reasonable guy, very nice, and would give pretty insightful comments if you talked to him about your papers. I would reccommend him, he didnt assign extremely hard papers and I think there were 3-4 papers for the entire semester. I wasted money buying the book, which he hardly ever used.",08/18/2005,2,2.0,,4,Low,3.5,3.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
