attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,average,average,average,0,17220249,0,,average,2,ECON102,"Gottheil isn't bad. Lectures are pointless & the only reason to show up is because he gives quizzes in them. Discussion is pointless don't go to it either. The class is easy. Just 1 midterm & a final. Not too hard because it's all short answer questions. He also curves the class a letter grade. Just buy, read,& learn from his book & you're good.",05/17/2010,3,3.0,,3,Sorta interested,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,average,0,17155277,0,,average,4,ECON102,"Terrible lecturer. Tells bad stories with too much detail that has nothing to do with the topics. Read the book and you will do okay on the tests, which are short answer. His tests are not really similar to the past, he's pretty dynamic in his teaching.Final is almost 50% of your grade so you basically need to do well on that",05/08/2010,4,4.0,,1,It's my life,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,poor,0,16786285,0,,poor,1,ECON103,"Funny how he was not able to cover economics of exchange rate in the end because of his long, monotonous stories that help little in furthering the understanding of the topic at hand but a lot in distracting you from  the lecture. Gotheil is aloof and unhelpful as well but succeeds completely in making a very interesting subject extremely dull.",02/05/2010,3,3.0,,1,It's my life,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,16776295,0,,good,5,ECON103,"I don't understand why everyone badmouths this guy so much. His class is easy. Midterm and final are short essay questions, pretty much one from each chapter, and very predictable. Sure he's a goofy old guy, but he's funny, his book is extremely clear, and the class doesn't require a whole lot of work to get an A. IMHO, Gottheil is pretty OK.",02/01/2010,2,2.0,,3,Really into it,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,16734548,0,,good,4,ECON102,"the thing that makes this class so hard is not gottheil, it is the TAs. none of them care very much, and to be honest, their might be one that speaks clear english each semester. gottheil is a good professor. he knows a lot about the subject and uses useful examples in the text and in class. read the book, do the vocab words, and youll do fine.",01/16/2010,4,4.0,,4,Really into it,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,16734525,0,,poor,2,ECON102,Not interested in teaching at all. Only reason he seems to drag himself to work is that by doing so he does a very good business of selling each semester 2000 plus books that he wrote himself. He changes the edition every year and makes sure that you waste 160 bucks on his book to learn stuff on your own that he is not gonna teach you.,01/16/2010,4,4.0,,2,Really into it,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,16703573,0,,average,2,ECON102,"Terrible class, none of the TAs spoke english, and Fred is one of the hardest graders ever. But there is not that much work to do.",01/10/2010,4,4.0,,3,Low,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,16702705,0,,good,4,ECON102,"I do not understand why so many people think Gottheil is a bad professor.  His lectures may be boring, but if you pay attention in them he goes over exactly what will be on the exams.  Just keep up with your reading and you will have an easy A.",01/10/2010,3,3.0,,3,Sorta interested,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,16645864,0,,poor,1,ECON102,Lectures were not helpful...at all,12/27/2009,5,5.0,,1,Low,1,1.0,1,No,N/A,12091,N/A,,N/A,,people,people
N/A,poor,good,poor,0,16635623,0,,poor,1,ECON102,"Sure, there is a book available but this is no University of Phoenix. It is one thing if a professor is not able to get his point across. It is quite another if he is not willing to try at all. I am sorry but when I am paying 20k+ for college, I expect my professors to be WILLING AND ABLE to teach. A disappointing professor thorough and thorough.",12/24/2009,4,4.0,,1,Low,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
