attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Not Mandatory,good,average,good,0,25380311,1,,good,5,PSYC248,"Gary gives some tough tests, but the curves are insane. For the first test, 19 out of 31 questions right is an A grade. Great professor though, everything presented is with examples and is crystal clear. No homework, 3 exams, don't have to spend that much time for the course.",11/10/2015,2,2.0,,4,Really into it,4.5,4.5,1,No,N/A,1112,Yes,,A,,person,people
Mandatory,good,good,good,0,23678233,0,,good,5,COGSCI101,"I took an Intro to Cognitive Science class with Dr. Dell a long time ago. His lectures were well-prepared, engaging, and had great slides. Tests were easy if you pay attention. He inspired me to go into the field. I was a TA as an undergraduate - a great experience.  His letter of recommendation got me into a Stanford PhD program.",10/21/2014,4,4.0,,4,It's my life,4.5,4.5,1,No,N/A,1112,Yes,,A,,people,people
N/A,good,poor,good,0,20286882,0,,good,5,PSYC248,"One of the best professors that I had in university. Also, one of the easiest class! I don't understand other people down here. At a college level course, very clear, and very understandable! If you go lectures, and pay attention, A is waiting for you.",05/15/2012,1,1.0,,5,Low,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,1,19601504,0,,good,4,PSYC248,"Gary is awesome! He's really funny (in a bizarre way) and tries to make the material as interesting and understandable as possible. I'm not sure why the past reviewers said that his tests were hard. Sure, you may get a 20/31 but that still is an A. Seriously this is one of the easiest classes I ever took! You don't always need to go to class either",12/22/2011,1,1.0,,4,Really into it,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,person
N/A,average,good,average,0,19146308,0,,average,3,PSYC248,"very funny and nice guy. the material is really challenging and he tries to explain it well, but its not enough. you have to read the book but the book is impossible to understand. exams are very hard but they're curved. he was one of my favorite professors",11/02/2011,5,5.0,,3,Sorta interested,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,19128978,0,,average,2,PSYC240,"Professor Dell tries to teach effectively, but he spends far too much time on case studies and far too little time on explanations, book material, etc. Every lecture feels like nothing more than us being shown the methods and results of psychological studies conducted. The dated text book is also of dubious relevance.",10/30/2011,4,4.0,,3,Sorta interested,2.5,2.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,19089732,0,,average,2,PSYC248,"Before this class I thought I wanted to major in psych, however between the boring lectures, strange grading scale, and ridiculous tests I have changed my mind. The book is not necessary, but going to class is if you want to understand his random lecture slides which even as he explains them many times make no sense. Nice guy, terrible class.",10/20/2011,4,4.0,,3,Really into it,2.5,2.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,19065743,0,,average,3,PSYCH248,"Yes his slides are random and you will benefit from going to lecture - but you can also miss class randomly and be fine. I never opened the book, still got a good grade. He's adorable when he tries to make jokes. Tests are hard but he curves them.",10/12/2011,4,4.0,,3,Low,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,19019495,0,,poor,2,PSYC248,The lectures are boring. His lecture slides are ambiguous. And the class overall is not worth the time or the money in my opinion.  The book (dated 1991) is mostly irrelevant to the lectures.,09/23/2011,3,3.0,,2,Sorta interested,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,17946135,0,,good,4,PSYC248,"He was so great!! One of the best Psyc professors in my opinion. He is so knowledgeable and makes the lectures interesting. He makes the exams hard but puts HUGE curves on them where 19/31 is an A. The book is hard to understand,Ii didnt even buy it and i ended up with an A in the class. I recommend him! He's really nice!",12/15/2010,2,2.0,,5,It's my life,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
