attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,average,average,average,0,13781877,0,,average,3,RLST110,"He is knowledgable and has a lot to say, but none of it is very positive. Has a terrible outlook on the university and anything he isn't a part of. He can be funny sometimes, but his cynical nature is a huge turnoff. His Wednesday lecture was the biggest waste of my time. He stopped giving quizzes after two weeks because he got too lazy. Pointless.",12/09/2007,3,3.0,,3,Sorta interested,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,12951368,0,,average,4,RLST110,"Professor Porton isn't entirely unpleasant, but his attitude is a huge turnoff.  He comes off as pompous and not very amiable.  I never spoke to him face to face, but this is what I got from his lectures.",03/29/2007,3,3.0,,2,Meh,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,12582700,0,,poor,1,RLST110,"aarogant, pompous ****...never take a class with this pessimistic jerk..i was lucky to only have a few lectures with him",12/12/2006,4,4.0,,2,Low,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,12369619,0,,poor,2,RLST110,This guy is ridiculous. He was a complete **** and completely uninterested in anyones opinions but his own. HE ALONE MADE ME WANT TO DROP OUT OF THIS CLASS - but I did stick it out. He really needs to get off his high horse and realize that he is simply a teacher and that he doesn't rule the world (THANK GOD FOR THAT).,11/06/2006,3,3.0,,2,It's my life,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,12167264,0,,poor,2,RLST120,"Porton has a very poor outlook on teaching.  He is very hard to approach and when you do he often talks about alot of things that you won't understand.  He doesn't take well to questions.  Overall, it was a hard class for me I only read the textbooks when absoloutly necessary.  I went for his help on one paper.  I got a B in the class stay away",08/17/2006,4,4.0,,2,Really into it,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,average,0,3721857,0,,good,4,RLST120,"This class is a lot of reading and writing because it is an Adv Comp. And true, Prof Porton is very cynical--he told us the first day that half of us wouldn't come back (he was right)--but his lectures are very interesting and he really knows his stuff!",04/27/2005,4,4.0,,3,Really into it,3.5,3.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,poor,0,3249533,0,,poor,2,RLST110,"He thinks he is always right and even seemed kind of arrogant. His class is deathly boring, definitely would not recommend it!",01/19/2005,3,3.0,,1,Sorta interested,1.5,1.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,2496560,0,,poor,1,RESLT110,"Portrays Judaism (his religion) as correct and thinks he's always right and will even begin debating students. Dont even bother going to his lectures bc youll end up more confused than you were when you came in.  If you need help, GO TO THE TA's !!",09/26/2004,4,4.0,,1,It's my life,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,1094763,0,,average,3,RELST220,"Gary's a tough ****, but he's a good guy.  If you make an effort to get to know him, he'll help you out with anything you need.  If you prove to him that you're responsible and motivated, he'll cut you slack if you need it.  He cares about his students",08/19/2003,4,4.0,,3,N/A,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,954496,0,,poor,2,HIST120,"I don't think he's a bad guy, but his outlook on everything is negative and he doesn't have a clear direction in his lectures.  Also, this class is A LOT of reading & writing.",05/13/2003,4,4.0,,2,N/A,2,2.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,901959,0,,poor,2,RELST130,"Has very strong opinions, and thinks he is always right.",04/29/2003,2,2.0,,2,N/A,2,2.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,898176,0,,poor,3,RELST130,ehhh,04/28/2003,4,4.0,,1,N/A,2,2.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,894820,0,,average,2,HIST120,No Comments,04/28/2003,4,4.0,,3,N/A,2.5,2.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,890083,0,,poor,1,RELST130,"most cynical (I can't spell, he would probably drop me a letter grade for that one) man i have ever met!",04/26/2003,4,4.0,,1,N/A,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
