attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Not Mandatory,good,average,good,0,26246302,0,,good,5,ME340,"Very clear lectures, no textbook, straightforward exams similar to practice exams. Teaches class out of order compared to other teachers so labs do not sync up but its not that big of a deal",04/06/2016,2,2.0,,4,N/A,4.5,4.5,1,No,N/A,1112,Yes,,B,,people,people
N/A,good,average,good,0,25258310,0,,good,4,ME340,Super nice guy and organized lecture notes . All you need really,10/15/2015,3,3.0,,4,Sorta interested,4,4.0,1,No,N/A,1112,Yes,,N/A,,people,people
N/A,average,good,average,0,24362461,0,,average,2,TAM212,"The lectures are good and the overall organization of the class is phenomenal (there's one course website that directs you to your homework, pre-maide textbook style notes, and lecture notes). However, the style of problems in lectures are not related to the homework, which are not related to tests. Thus its difficult to prepare for your exams. ",02/05/2015,5,5.0,,3,Meh,2.5,2.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,24162964,0,,average,3,TAM212,"Dullerud gives some of the most boring lectures I've ever attended. I had never fallen asleep in class before him. Felt like we jumped around on topics, sometimes we'd discuss the same simple topic for a week. Exams were totally off the wall, no way to prepare (sorry). Try to go above and beyond learning the concepts, and you could get an A.",12/21/2014,4,4.0,,3,Low,3,3.0,1,No,N/A,1112,Yes,,N/A,,people,people
Mandatory,average,average,average,0,24097253,0,,average,3,TAM212,"His lectures were kind of boring, and, while he does post them online, his notes are very disorganized. The online homework system is terrible; it does help you learn at all, and rewards gaming the system for points.  I also didn't think the website was much help, and would have preferred a real textbook. ",12/16/2014,3,3.0,,3,Sorta interested,3,3.0,1,No,N/A,1112,Yes,,Not sure yet,,people,people
Not Mandatory,good,average,good,1,22774841,0,,good,5,TAM212,Dullerud's lectures are very clear but also slow and boring. The homework problems are the type that are difficult until you know how to solve it and are then quite simple. The website for this class is phenomenal and greatly improves the quality of the class.,01/20/2014,2,2.0,,4,Sorta interested,4.5,4.5,1,No,N/A,1112,N/A,,B,,people,person
Mandatory,good,poor,good,0,22767859,0,,good,5,TAM212,"He made the course as easy as it should be. Go to lecture, do homework, and you will be fine. Exams could be a little tricky sometimes, but rechecking several times guarantees you a good grade.",01/17/2014,1,1.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,A+,,people,people
Not Mandatory,good,average,average,0,22682991,1,,good,4,TAM212,"He's a good professor, very thorough (if a bit slow in getting to the next subject) and the homework is helpful. No textbook, but his notes were enough. Watch out for ""range"" problems; he likes those.",01/01/2014,3,3.0,,3,Sorta interested,3.5,3.5,1,No,N/A,1112,N/A,,B,,person,people
N/A,average,average,average,0,18637981,0,,average,3,TAM212,"Always prepared, sometimes overdid unimportant material/subjects and didn't get to more important ones.  Always willing to help/clarify/communicate and was respectful.  Recommended.  Tests were meh (kind of fair, kind of tricky, had a few bad questions), but I think it was compensated for by a curve at the end.  2 Hour midterms kind of suck.",05/19/2011,3,3.0,,3,Sorta interested,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,18624448,0,,poor,2,TAM212,not so helpful during the lectures...spends too much time talking about things that are not so important.,05/18/2011,4,4.0,,2,Low,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,17585516,1,,poor,1,ME497,"worst teacher of ever, extremely arrogant",09/10/2010,5,5.0,,1,Meh,1,1.0,1,No,N/A,1112,N/A,,N/A,,person,people
N/A,good,average,good,0,14027289,0,,good,4,ME340,He is helpful and patient towards students and tends to explain concepts and goals well.  It is important to understand the concepts because he isn't going to tell you how to do every type of problem (which I don't think he should be doing anyway). He has his little phrases that make him a bit quirky.,01/21/2008,3,3.0,,4,Sorta interested,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,13983491,0,,good,5,ME340,"Very clear lectures. Extremely patient and helpful when you need it. Uses a tablet in class for notes and posts them all online. The homework is tough, hard to do it on your own. The tests were very hard as well. Nice guy too.",01/11/2008,4,4.0,,4,Really into it,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,13898274,0,,good,4,ME340,During lecture he provides only very simple examples to get the idea across. However  most of the time his homeworks would take so much time. The second half of the semester I was in office hours every week asking for help. And his tests were much more difficult than anything seen on the homework. But at the end he makes a huge curve.,12/23/2007,4,4.0,,4,Sorta interested,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,13840768,0,,poor,1,ME330,"This Professor shows simple examples in class, but brings very different problems on each exam.  He does not understand the fact that the material is difficult.  His methods give you a false sense of security before taking his exams.  He does have a generous curve (75% get B A), but I think there are better ways to teach. Just do above the average.",12/15/2007,5,5.0,,2,Low,1.5,1.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,poor,poor,0,12423301,0,,poor,1,ADVCERGST,This guy is the worst advisor ever. He was completely useless who had no idea what I needed as a freshman and no ability to answer the questions i had I was better off googling my major.  He had me out of there in 5 mins while my room mate got 45 with his advisor.  Note I have not had a class with him so i do not know his teaching skills.,11/15/2006,1,1.0,,1,It's my life,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,2283691,1,,average,3,ME240,arrogant,06/29/2004,3,3.0,,3,N/A,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,person,people
N/A,good,average,good,0,588034,0,,good,5,ME497,Excellent examples but unaware of our lacking in some topics.,02/19/2003,3,3.0,,4,N/A,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
