attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,average,good,average,0,14053666,0,,good,3,ECON302,"Wasn't a big deal if you didn't go to lecture, just make sure you did the practice problems, since those were straight from the practice problems. Also, the review sessions helped a lot.",01/29/2008,4,4.0,,4,Sorta interested,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,13822024,0,,poor,1,ECON302,"The class is entirely made up three tests, no graded homework or quizzes. Tests do not reflect class material. Nearly no curve. He should not be teaching this class.",12/13/2007,5,5.0,,1,Meh,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,13763242,0,,poor,1,ECON302,"This guy cannot teach to save his life. I have talked to numerous other students who are getting D's and F's in his class.  He simply cannot teach, avoid at all costs.",12/06/2007,5,5.0,,1,Really into it,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,13608055,0,,poor,1,ECON302,"He seems to know his stuff, but he just cannot communicate it to the class well enough. He over complicates things and never uses good examples. Also, I was just crushed by his second midterm which we were in no way shape or form adequately prepared for. Apparently the tests were so bad he had to make a new syllabus so everyone didn't fail.",11/06/2007,5,5.0,,1,Low,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,poor,0,13594438,0,,poor,2,ECON302,"Oh good God. I would have put the same rating as the guy below me HAD WE NOT JUST HAD THE WORST TEST EVER on Halloween. I studied for 20 hours and went to every class and 1/2 of the second midterm came as a total shock. I  am a senior and have already been through most difficult classes, and I have a 3.8 GPA. DO NOT TAKE THIS CLASS.",11/04/2007,4,4.0,,1,Meh,1.5,1.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,13534496,0,,good,3,ECON302,"This guy is awesome.  He really, really knows his stuff, just has trouble getting it across sometime.  Tests aren't bad, very similar to the practice problems.  He's the man.",10/17/2007,5,5.0,,4,Really into it,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,13070007,0,,good,4,ECON302,This guy is great. Do your practice problems and you should do well in the class.,04/26/2007,2,2.0,,5,Sorta interested,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12810863,0,,good,5,ECON302,"This class was really straightforward.  The 'optional' HW he gave was basically the tests; there were no tricks.  Plus, he doesn't use a book.",01/23/2007,2,2.0,,3,Sorta interested,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,good,0,12394707,0,,good,3,ECON302,He is very knowledgeable but the class is a little dull.,11/10/2006,3,3.0,,5,Really into it,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,2619027,0,,poor,1,ECON302,"Knows his stuff, but cannot communicate it to the class. Sounds like the Count from Sesame Street.",10/30/2004,5,5.0,,1,Meh,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,2600291,0,,good,5,ECON300,really easy class,10/27/2004,1,1.0,,5,Sorta interested,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,2550003,0,,poor,1,ECON302,"Very knowledgeable, but does not know how to communicate it understandably.",10/14/2004,5,5.0,,1,Meh,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,1927713,0,,good,5,ECON300,"Class notes are so easy to read, I don't know why people still go to lectures.",04/09/2004,2,2.0,,4,N/A,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,1926406,0,,good,3,ECON300,"he is very smart and knowledgeable, but teaching isnt really his thing. he makes complicated material even more complicated, but he is nice:)",04/08/2004,4,4.0,,4,N/A,3.5,3.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,1132978,0,,poor,2,ECON300,No Comments,09/13/2003,5,5.0,,2,N/A,2,2.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,1029015,0,,good,4,ECON380,No Comments,06/27/2003,3,3.0,,4,N/A,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,981967,0,,good,3,ECON300,"Nice guy, understands student needs.  Class is somewhat difficult, but the his liberal grading scale more than makes up for it.",05/24/2003,3,3.0,,4,N/A,3.5,3.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,652616,0,,average,3,ECON300,Do not take this section of Econ 300.  Deltas is way too hard.,02/28/2003,5,5.0,,3,N/A,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
