attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,poor,good,poor,0,17472486,0,,poor,1,ENG104,His prompts for paper and tests (which include very lengthy essay questions) make no sense.  Instead of simply asking what he wants you to answer he tries to sound intelligent and gets overly wordy. When you ask what it means he acts like you are incompetent and gives you an answer to &quot;clarify&quot; which makes no more sense than the initial prompt.,08/02/2010,4,4.0,,1,Sorta interested,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,17207865,0,,poor,2,ENGL272,"Likes movies, but is very rude and blunt when you give your opinion, which is discouraging in discussions. Tests and work are impossible to study for as he wants you to somehow read his mind, which makes his grading seem arbitrary. He also goes off on confusing tangents. Basically expects you to think like he does to get a good grade.",05/15/2010,4,4.0,,2,Really into it,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,16704988,0,,poor,1,ENGL102,"Unless you have a true passion for the class, I would drop if you are assigned him.",01/10/2010,5,5.0,,1,Low,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,16252170,0,,poor,1,ENG104,"WORST TEACHER I'VE EVER HAD MY ENTIRE LIFE. He was disorganized, mean, rude, tough grader, unclear, and overall not a good teacher. I don't understand why he even taught the class, he seemed to hate everyone everyone in our class. I wish I had had a different TA because he made the class difficult, boring, and stressful when it didn't need to be.",10/19/2009,5,5.0,,1,Low,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,16171663,0,,good,5,ENG104L,"Great Professor. Extremely brilliant. Tough class, but I'm happy I had him.",09/03/2009,4,4.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,15135477,0,,poor,1,ENG104,He is terrible! The worst teacher I've had at U of I. He never tells you what's actually on the test or what he wants from you and he's a hard grader too. He expects you to read his mind and is a total crazy. DO NOT take his class.,12/08/2008,4,4.0,,1,Sorta interested,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,15036728,0,,average,2,ENGL104,"the guys seems like he would be cool guy to talk to about movies and such, but he's not a good teacher. his tests are too long to finish in the time period given. his instructions on the papers do not give a clear picture of what he wants us to do. class can be interesting from time to time, but its difficult to get though.",11/20/2008,5,5.0,,4,Really into it,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,poor,0,14897935,0,,poor,2,ENG104,he loves to put students down and talks over your comments. it seems like he thinks  he knows everything about everything. if you can take someone else DO IT!,10/24/2008,3,3.0,,1,Really into it,1.5,1.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14277679,0,,good,4,ENGL104,"Very passionate about film. This class was fun if you like to talk about different movies an appreciate cinematic techniques, but also if you just like to watch movies and learn cool things about them",04/11/2008,3,3.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,13807338,0,,average,2,RHET105,Fun Teacher... Very few assignments but they are not graded very easily...,12/12/2007,2,2.0,,4,Low,3,3.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,poor,0,13703374,0,,poor,1,RHET105,"Class is worthless/easy. Don't expect to learn anything interesting. Haven't had to write very much, so good in that aspect. Class is like listening to him beat a dead horse. He pushes the subject without really making a point. Thankfully its not very much work.",11/26/2007,2,2.0,,1,Meh,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,13631178,0,,good,4,ENGL104,awesome dude,11/10/2007,2,2.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,poor,0,12767196,0,,poor,2,ENGL104,He never makes a point and still hasn't put our grades up from last fall semester when spring semester starts in 4 days!,01/12/2007,3,3.0,,1,Low,1.5,1.5,3,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,poor,0,12397065,0,,poor,1,ENGL104,His never actually makes his point,11/11/2006,3,3.0,,1,Really into it,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,poor,average,0,12244646,0,,poor,1,RHET108,Easy/boring class...paper topics are vague. dont recommend,09/21/2006,1,1.0,,3,It's my life,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
