attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,good,average,good,0,25966225,0,,good,4,ENGL431,"Course was entitled ""Green Romanticism""; considered the effects of contemporary climate events on British Romanticism and its trends. Homework was a rare occurrence. Papers were well explained. The midterm was fairly graded. Participation is huge. Overall, it was a pretty interesting class and the professor was great.",01/19/2016,3,3.0,,5,Really into it,4.5,4.5,1,Yes,Yes,1112,Yes,,A,,people,people
N/A,good,good,good,0,22110325,0,,good,4,ENGL207,Great Professor (funny)! Really tries to get you engaged in the material,09/08/2013,4,4.0,,5,It's my life,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,poor,0,21057890,0,,poor,2,ENGL207,"While he was very enthusiastic about the subject matter, he is very unclear in teaching. Class consisted of reviewing the hw and having him attempt to get us to see his perspective with little direction. He is unclear on expectations and is easily frustrated when his mysterious expectations aren't met. Not a hard class but he is a poor professor.",12/13/2012,2,2.0,,1,Low,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,20246391,0,,good,4,ENGL476,"Extremely knowledgeable and intelligent guy. His anecdotes on his experiences were amazing. I do however, think this course is too new to excel in. I found myself thinking the material was sometimes pulling at straws... which in turn made it extremely difficult to write papers with an accurate analysis on the subject matter.",05/10/2012,4,4.0,,4,Sorta interested,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,18894032,0,,good,5,ENGL210,"Prof Wood is an enthusiastic, bright professor and a great guy, but 210 is not his best class. He assigned us to read Barchester Towers (800 pp) in a SURVEY class. For that book I read Sparknotes and went to the lecture and I did fantastic. Go to lecture and bring your text--it'll help you know what passages will be on exams.",08/08/2011,4,4.0,,3,Sorta interested,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,17877633,0,,good,4,ENG455,"Took the Jane Austen class with Prof Wood. Class was excellent, full of energy and exciting. He keeps the class engaged. Grading was fair. Must keep up with the readings. 2 papers. Take a class with Wood if you can!",12/07/2010,4,4.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,17039206,0,,poor,1,ENGL210,"gillen wood loves art. he loves talking about art. consequently his words have no value or meaning. if you want to listen to a professor who is interested in your perspective, then you'd better be some kind of art venerating hippie because this guy just wants to be into anything his feelings tell him to be.",04/22/2010,5,5.0,,1,Meh,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,16575966,0,,average,3,ENGL210,"Lectures started strong but deteriorated throughout the semester.  Semester fatigue or laziness&#63;  Both the final and midterm were difficult for a required English big lecture course.  Exams did not really fit the lectures.  Good prof, but I think many of the other comments are inflated.",12/16/2009,4,4.0,,3,Low,3,3.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,16525115,0,,average,3,ENGL210,"Everyone says Wood is the best professor, but I was disappointed. I wasn't captivated,enthused, or suddenly hit with a realization as to why I am an English major. Nonetheless, his class is alright. Don't dread it, but don't get pumped, either.",12/11/2009,2,2.0,,3,Really into it,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,16525091,0,,average,3,ENGL210,"Everyone says Wood is the best professor ever, but I was disappointed. I wasn't captivated, enthused, or suddenly hit with a huge realization as to why I am an English major. Nonetheless, his class is alright. Don't dread it, but don't get pumped.",12/11/2009,3,3.0,,3,Really into it,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,16432474,0,,good,4,ENGL300,Captivating.,11/27/2009,3,3.0,,5,It's my life,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,16325187,0,,good,5,ENGL210,"Wonderful professor. You can tell that he genuinely loves what he teaches, and that enthusiasm is infectious. Insightful commentary on the various pieces of literature interspersed with humor and wit. I'd definitely love to take another class with him.",11/06/2009,3,3.0,,4,It's my life,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14950038,0,,good,4,ENGL455,"The Best teacher I've ever had!!!! He made realize why I am an English major.  His lectures as well as his teaching style are interesting, amazing, and captivating",11/06/2008,3,3.0,,5,It's my life,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14772715,0,,good,5,ENGL455,"A great teacher.  His lectures were so interesting that he keeps your attention 95% of the time... and I took it in the summer.  Definitely a great great teacher, rare in these days.",08/25/2008,2,2.0,,4,It's my life,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14726166,0,,good,5,ENGL210,Brilliant. Lectures are engaging and peppered with witty banter and giggle-inducing observations. Definitely try to get this guy.,08/08/2008,2,2.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14580014,0,,good,5,ENGL455,"Absolutely Brilliant. His knowledge of Romantic poets will have you reading Wordsworth and Keats outside of class. His lectures are entertaining, eloquent, and engaging. The fun Australian accent is also a plus. Brilliant man - read &quot;The Shock of the Real&quot; if you can find it at the library.",06/12/2008,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14391904,0,,good,5,ENG210,"Awesome professor. Very nice, animated and funny in lecture, and gives interesting, clear interpretations of the readings. Wish I could have him again!",05/02/2008,3,3.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14377897,0,,good,5,ENGL431,"Prof. Wood is the best professor I've had--he is incredibly adorable, sweet, brilliant, and funny. He's been the only professor so far that has made me comfortable enough to speak in class regularly. Romantic poetry is already so lovely, but when he reads it, it's simply amazing. I am heartbroken he's not teaching next semester!",04/30/2008,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,13688429,0,,average,3,ENGLXXX,"&quot;cool British accent&quot;&#63;&#63; He's an Aussie, as in, from AUSTRALIA.....",11/21/2007,3,3.0,,3,Meh,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,average,0,13603226,0,,average,5,ENGL300,I have him for the class on Jane Austen and he is amazing. He acts out scenes from the book and really gets the class involved. You can tell he is really passionate about literature and his enthusiam makes the 50min fly by. He makes Austen seem absolutly brilliant and his british accent makes you believe him,11/06/2007,4,4.0,,1,Really into it,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
