attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,0,19566378,0,,good,5,CHEM101,I hate chemistry but the class was decent. Definitly should have studied. But if chem isn't something your interested in and or bad at it. Juts don't take chem.,12/19/2011,2,2.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,19546276,0,,good,5,CHEM101,"Lots of demonstrations and explosions. If the Mythbusters taught Chem 101, it would be this class.",12/16/2011,2,2.0,,5,Meh,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,19258880,0,,good,5,CHEM102,"You can tell that she loves teaching and is really nice and funny and explains things very clearly. She is willing to help because chemistry is a bit hard, she explains things very carefully and puts emphasis on certain things that you should know. Fun class and cool experiments.",11/16/2011,2,2.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,19247525,0,,good,5,CHEM101,"She is the best, the best , the BEST teacher I have ever had. She keep the class interesting. She made me love chemistry. She really is the best",11/15/2011,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,19237021,0,,good,5,CHEM101,"Gretchen is my favorite professor so far! She keeps her lectures interesting, especially with all of her in-class experiments. She goes through all of the information at a great pace so that you understand everything. She is awesome!",11/14/2011,2,2.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,19079195,0,,good,5,CHEM101,"Gretchen is the coolest, funniest,last but not least BEST teacher ever. My TA isn't all that great but Gretchen's lectures are worth going to!",10/17/2011,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,19079188,0,,good,5,CHEM101,She is the best chemistry teacher EVER! She will make you love chemistry. Her class is soo fun!,10/17/2011,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,19070253,0,,good,5,CHEM101,Best teacher ever! was a great class and had an awesome TA!,10/13/2011,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,19028267,0,,good,4,CHEM101,"Gretchen is a fantastic professor! She's really sweet, really passionate about her teaching, and beyond willing to help anyone who needs it. She genuinely cares that people perform well in her class.",09/28/2011,3,3.0,,5,Meh,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,18838596,0,,good,5,CHEM108,She is very sweet. She wants everyone to do well. Definitely goes above and beyond to help students. The class was a breeze because of her.,07/21/2011,2,2.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,18435525,0,,good,5,CHEM101,Best chemistry teacher!,04/19/2011,2,2.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,18412967,0,,average,3,CHEM101,"This class was a little hard but manageable. Didn't do the readings and managed to get a C! She was such a nice professor, really cool and fun! My TA wasnt the greatest guy but ehh.",04/14/2011,4,4.0,,3,Low,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,18280045,0,,good,5,CHEM101,Best professor I ever had! So much fun and passionate about what she teaches!,03/16/2011,2,2.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,18156931,0,,good,4,CHEM101,I will miss her.,01/18/2011,4,4.0,,4,Really into it,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,18149258,0,,good,5,CHEM101,"Seriously--Gretchen is the best teacher ever. She is not easy, she challenges you. But she is so passionate about what she does and that energy is transferred to her students (ironic) but really, BEST PROFESSOR EVERRRR",01/17/2011,4,4.0,,5,Low,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,18139754,0,,good,4,CHEM101,She makes the class a lot of fun and interesting to learn! She was my favorite teacher!,01/14/2011,3,3.0,,5,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,18034860,0,,good,5,CHEM101,Didn't like chemistry before I had her.. great teacher!,12/23/2010,3,3.0,,5,Low,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,17994718,0,,good,5,CHEM101,i love gretchen. she is so fun and makes the class interesting. i hate chemistry but she got me to love it! i'd recommend her class to anyone !!!,12/19/2010,2,2.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,17881400,0,,good,5,CHEMADB,She made my college experience as a freshman great! I will miss her!,12/07/2010,2,2.0,,5,Low,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,17874457,0,,good,5,CHEM101,Best chemistry teacher ever! And she really cares about how her students do. She's really helpful when you ask her for help. I wish she taught other chem classes!,12/07/2010,1,1.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
