attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,average,poor,average,0,2080111,0,,average,3,MATH242,"Easy tests, a little difficult to understand in lecture though, and not the most helpful professor either.",05/03/2004,1,1.0,,2,N/A,2.5,2.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,average,0,2028983,0,,average,4,MATH242,she doesn't answer questions when people ask in class. but her exams are really easy...i'd def recommend trying to get her as your prof,04/25/2004,1,1.0,,2,N/A,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,average,0,1871863,0,,poor,1,MATH242,'sss ok&#63;  isitright&#63;...and then even if you say something she keeps going.  Weird woman- she raises the pitch at the end of every sentence as though she is asking a question.  I don't go any more because of that.,03/30/2004,2,2.0,,3,N/A,2,2.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,1852717,0,,poor,1,MATH242,Dont Even ask it is a night mare,03/26/2004,5,5.0,,1,N/A,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,good,0,1480557,0,,good,3,MATH116,"Professor Choi is awesome. I am so glad I took this class. Her practice quizzes and tests are so helpful and although her english isnt great, its fun to watch her teach in class.",12/10/2003,3,3.0,,5,N/A,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,1196957,0,,good,5,MATH116,"I love the way she teaches, even though her English is not that well, but she is a math teacher and all one needs to do is understand what she is doing on the board.  She is helpful, cute, and funny.  She is a great teacher!",10/17/2003,1,1.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,poor,0,1186073,0,,poor,1,MATH116,"Is it right, is it ok&#63;&#63;&#63;  this lady has awful english and the pitch changes in her voice will drive you crazy...not really sure why she is teaching at the university.",10/13/2003,3,3.0,,1,N/A,1,1.0,3,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,852297,0,,average,3,MATH116,can be hard to understand sometimes because of english problem but i feel she is very straightforward.  gives you practice tests and gives you homework but it is not due right after she teaches it so she gives you a little leway.,04/18/2003,2,2.0,,3,N/A,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,poor,poor,0,681902,0,,poor,1,MATH116,Blah...,03/06/2003,1,1.0,,2,N/A,1.5,1.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,poor,0,668081,0,,poor,2,MATH116,Hard to understand.  Makes a lot of mistakes while teaching.,03/04/2003,3,3.0,,1,N/A,1.5,1.5,3,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,poor,0,598541,0,,poor,1,MATH116,Is it right&#63;&#63;&#63;&#63;&#63;&#63;&#63;&#63;,02/19/2003,2,2.0,,2,N/A,1.5,1.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,579901,0,,average,2,MATH116,"cool, funny, OK w/ english",02/18/2003,3,3.0,,3,N/A,2.5,2.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,540752,0,,poor,1,MATH116,No Comments,02/04/2003,5,5.0,,1,N/A,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
