attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,poor,good,0,24870189,0,,good,4,ECON528,Very humble and patient with students,05/19/2015,1,1.0,,5,It's my life,4.5,4.5,1,Yes,N/A,1112,Yes,,N/A,,people,people
Not Mandatory,good,poor,good,0,23865522,0,,good,5,ECON550,"He's humble, one of the best teachers I've ever had. Clear, and interesting slide. Really helpful and wise!!!",11/20/2014,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,Yes,,A,,people,people
Not Mandatory,good,average,good,0,23846572,0,,good,5,ECON550,"Professor Esfahani is one of the best professors in UIUC that I've ever known. He makes sure you get something to learn in the class and he doesn't want you to only care about the grade. He is really helpful if you ask anything both in the class or in his office, very wise and great professor! I recommend you to take his class.",11/18/2014,2,2.0,,5,It's my life,5,5.0,1,No,N/A,1112,Yes,,N/A,,people,people
N/A,good,poor,good,0,23757481,0,online,good,5,ECON550,"He is the best professor I have ever bee taught so far. In every aspect, he is perfectly great.",11/06/2014,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
N/A,good,poor,good,0,22606717,0,,good,5,ECON509,Simply awesome. Extremely knowledgeable and best at explaining the content. Has very fair and effective exams/grading system.,12/18/2013,1,1.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,21541228,0,,average,2,ECON490,"Esfahani is knowledgeable, but this does not compensate for his lack of organization and clarity with respect to projects and exams. He discourages hard work by grading sporadically—not according to any recognizable guidelines. Many often complain of professors who disregard students’ workloads in their other courses, Esfahani is one of them.",04/15/2013,4,4.0,,4,Sorta interested,3,3.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,16613751,0,,good,5,ECON103,"Absolutely outstanding professor. Extremely clear and very approachable. Class is well formatted, tests were easy, problem sets and quizzes are also helpful. Also an outstanding person from my experience with him. Highly recommend him and his class.",12/21/2009,2,2.0,,5,Really into it,5,5.0,1,Yes,N/A,12091,N/A,,N/A,,people,people
N/A,average,average,average,0,16578776,1,,good,2,ECON103,Everything is easy except the tests. The tests are hard because the questions are random and are about the stuff he briefly covered in lecture. There's a quick easy quiz for each lecture which makes attendance mandatory. HW doesnt relate to course and tests are just based on lecture.,12/16/2009,2,2.0,,5,Really into it,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,person,people
N/A,good,average,good,0,16538809,0,,good,5,ECON103,"This is definitely a fun class. He really makes this class engaging by adding current events or interesting articles he's found in The Economist.There are however, daily quizzes, so be sure to pay attention.",12/12/2009,2,2.0,,4,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,15713914,0,,good,5,ECON103,Esfahani is simply amazing. He is approachable and his teaching style quite cool. Plus exams are not difficult at all. An easy A. And a great class.,04/27/2009,1,1.0,,4,Really into it,4.5,4.5,1,Yes,N/A,12091,N/A,,N/A,,people,people
