attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,average,good,average,0,26242717,0,,average,2,ME340,"Lectures are only discussions. All lectures are mandatory participation. Homeworks are very difficult. Quizzes are extremely easy for the first 3, and extremely difficult for the last 4. Final is hard.",04/06/2016,5,5.0,,3,N/A,2.5,2.5,1,No,N/A,1112,Yes,,B-,,people,people
Mandatory,poor,good,average,0,24582646,0,,poor,1,TAM598,"TAM 598 - Computational Nonlinear Dynamics Entire class was math theory and learning his matlab program that I'll never use in my professional career, did not do a single dynamics problem the entire semester. Professor answers questions and tries to be as helpful as possible, but work is incredibly difficult, final exam was a complete curveball",04/12/2015,5,5.0,,3,Meh,2,2.0,1,Yes,N/A,1112,Yes,,B,,people,people
N/A,poor,good,poor,1,24383220,0,,poor,1,ME340,"Nope, don't do it.",02/13/2015,5,5.0,,1,Meh,1,1.0,1,Yes,N/A,1112,Yes,,N/A,,people,person
N/A,good,good,good,1,22826257,1,,good,4,ME340,This class is pretty good.,02/07/2014,4,4.0,,5,Sorta interested,4.5,4.5,3,Yes,N/A,1112,N/A,,N/A,,person,person
N/A,good,good,good,0,22826244,0,,good,4,ME340,An ok class!,02/07/2014,4,4.0,,5,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
Not Mandatory,poor,good,poor,0,22666761,0,,poor,1,ME340,"Definitely the worst professor I have ever had a class with. His exams are not relevant to the course material, no solutions for homework is ever given (homework is extremely difficult). Overall I still have no clue what the class was about after putting forth the majority of my study time for this class.",12/28/2013,5,5.0,,1,Sorta interested,1,1.0,1,Yes,N/A,1112,N/A,,C,,people,people
Mandatory,poor,good,poor,0,22665811,1,,poor,1,ME340,"Prof. expects a level of math competence that is simply unrealistic. While brilliant, he does not share any thought patterns with the engineers in his classroom, which makes lectures completely useless. He provides supplementary content, but attaining the level of mathematical expertise necessary isn't possible while taking other classes.",12/28/2013,5,5.0,,1,Sorta interested,1,1.0,1,No,N/A,1112,N/A,,N/A,,person,people
N/A,poor,good,poor,0,22516488,0,,poor,1,ME340,"I've never seen a professor so polished and organized, yet still so awful at teaching. DO NOT TAKE HIM, but if you do: You will put in no less than 8 hrs per week on homework(with TA help) with nothing to show, get asked test questions that will blindside you, and in the end learn absolutely nothing.  You have been warned. Makes 340 awful.",12/11/2013,4,4.0,,1,Really into it,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,22358273,0,,poor,1,ME340,Homework is so long and hard that in order to finish it you must take it to office hours to get some help. Even then the TA's have no clue. There are no solutions posted so you don't know if you ever do anything right. The test averages are artificially inflated. Just an  all around awful teacher for an already hard class.,11/20/2013,5,5.0,,1,Meh,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
Mandatory,poor,good,poor,0,22346261,0,,poor,1,ME340,"For all those who must take me 340, DO NOT take it with this professor. His notes are confusing and useless, he has no practice tests or even homework solutions, just ""hints"". The homework is long, impossible and relates to the exam in absolutely no way shape or form. he gives exams with 150 points you have no hope of answering in 50 minutes..",11/19/2013,5,5.0,,1,Meh,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
Not Mandatory,poor,good,poor,0,22337712,0,,poor,1,ME340,"Dear God, do not take this class if possible. The concepts are buried in mountains of unnecessary math, the homework and quizzes do not help you study for the tests, no homework solutions are given, the homework takes forever, and the lecture notes have no clearly-stated goals: just do what they say for no reason.",11/18/2013,5,5.0,,1,Low,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
Mandatory,poor,good,poor,0,22337091,0,,poor,1,ME340,"Incredibly Smart. Terrible Teacher. I hope nobody else has to go through the way he taught 340. Notes are confusing and inconsistent, Ridiculous amounts of useless homework, no solutions or practice tests. If you talk about how you are struggling in the class we will just make you feel stupid and insinuate you're not smart enough for Engineering",11/18/2013,5,5.0,,1,Meh,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,18894672,0,,good,5,TAM412,"His course is a bit difficult, but interesting. Highly recommended.",08/08/2011,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,18681198,1,,good,5,TAM412,He is a genius.,05/30/2011,3,3.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,average,good,average,0,14693227,0,,poor,3,ADVISING,"A horrible advisor.  Does not know anything about the required or technical classes needed for ME.  I&#63;ve learned to just research classes myself and go in and tell him what I&#63;m going to do rather than ask for any advice.  Haven&#63;t taken a class of his, but based on his advising skills, I would never bother to register.",07/28/2008,4,4.0,,1,Sorta interested,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,14571969,0,,average,3,TAM412,No Comments,06/10/2008,5,5.0,,3,It's my life,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
