attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Not Mandatory,average,good,average,0,25345194,0,online,average,2,ECON411,"Nice guy, but doesn't exactly translate into a good professor. ",11/04/2015,4,4.0,,3,Really into it,2.5,2.5,1,Yes,N/A,1112,Yes,,B,,people,people
Mandatory,good,poor,good,0,23657299,0,,good,4,ECON303,"Yes his tests were hard, but they were accompanied by a 10% curve. Other than that, I have no complaints about anything he taught. I found the course to be incredibly easy, just got to lecture and pay attention. I never cracked the book, or studied more than an hour for any of the exams and ended with a 103% in the class. Would recommend.",10/15/2014,1,1.0,,5,It's my life,4.5,4.5,1,No,N/A,1112,Yes,,A+,,people,people
Not Mandatory,good,good,good,3,23451890,1,,good,4,ECON411,"Exams can be difficult, but definitely doable. Also, he gives a pretty decent curve. Reading the textbook really helps, unless you pay close attention to class. Written portion of exam resembles the homework. The professor is helpful, but expects a bit more from students than the other econ professors at the university.",07/17/2014,4,4.0,,5,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,A,,person,people
N/A,poor,good,poor,2,22683733,1,,poor,1,ECON411,No interests in rating any prof unless he is really horrible. If you are confident about your intelligence take his class and challenge yourself plz. Exams are really difficult. He is helpful in person but it has nothing to do with your grade  Def avoid him.,01/02/2014,5,5.0,,1,Meh,1,1.0,1,No,N/A,1112,N/A,,N/A,,person,people
N/A,poor,good,poor,2,22581934,0,,poor,1,ECON411,"Horrible teacher to be honest. Exam does not cover anything learned in class. If you could avoid this teacher, do it.",12/17/2013,5,5.0,,1,Meh,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,1,22568515,2,,poor,1,ECON303,Exam was so much hard.,12/16/2013,5,5.0,,2,Meh,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,average,good,average,0,20457320,0,,average,2,ECON302,"Nice guy if you go to his office hours & helpful if you ask him questions. However! Beware that this class has really, really hard test that are based of each previous questions, which means that for example if you get part a wrong, then your entire answer for the other parts will be wrong and you could miss up to 20 points for it!! Hated this test",06/30/2012,4,4.0,,3,Sorta interested,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,19790993,0,,good,5,ECON302,He is a nice and great professor. I like him. The thing is the exams are quite hard.,02/01/2012,4,4.0,,4,Really into it,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,average,0,19422022,1,,poor,1,ECON302,"Horrible, just reads you the notes in class. Exam questions are like the HW assignments but he never goes over it or teaches you anything that's on the HW. Self taught class, you'll be lucky if you get a C. 12 point curve on a 100 scale though.",12/08/2011,5,5.0,,3,Meh,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,average,good,average,0,19267912,0,,good,3,ECON302,"The class is difficult, but he's not as terrible as everyone says. I'm currently in the class and doing just fine. Do the homework (there's only 6) and pay attention and you'll at least get a B. Exam questions are extremely similar to the homework and practice exams with no surprises.",11/17/2011,4,4.0,,4,Meh,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,19057537,1,,poor,2,ECON302,"Avoid him! About 70% of the class dropped it after he gave us the results from the 1st test! (worth 25%) NO extra credit. I've heard he is the hardest, but who knows.. His tests are extremely difficult!",10/10/2011,5,5.0,,2,Sorta interested,2,2.0,1,No,N/A,1112,N/A,,N/A,,person,people
N/A,average,good,average,1,19057529,0,,average,3,ECON302,"This professor is crazy! Makes questions worth 12,13, and 23 points in his tests (out of 100)! He divides his questions into different parts, which means that if you get part a wrong, then part b,c,d,e and f will be wrong too! So if you miss one, the highest grade you can get is one lower grade!More than 1/2 the class dropped it after 1st test!!!!!",10/10/2011,5,5.0,,3,Sorta interested,3,3.0,3,No,N/A,1112,N/A,,N/A,,people,person
N/A,average,average,average,0,18956359,0,,average,3,ECON302,"Lectures are painfully boring, but helpful if you can stay awake. He doesn't care if you go to later sections if you have an early one. Homework is really helpful, make sure you understand it. If you go to class and do your homework, you'll get a decent grade. No surprises.",08/26/2011,3,3.0,,3,Sorta interested,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,18724378,0,,good,3,ECON302,"pretty good professor. lectures are kind of pointless because his slides are straight from the textbook. problems in class are useful but rare. happy to help if you ask questions or go to office hours, but not great at explaining to large groups. good at one-on-one help",06/12/2011,2,2.0,,4,Really into it,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
