attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,good,good,0,18955469,0,,good,4,MATH280,"Sadly, Heinrich is no longer with us. He retired in 2005, and died in 2010. I had him in the early 90s for Advanced Calculus. No one will ever say he was easy. But, I did learn the material well, and I enjoyed his class.",08/26/2011,5,5.0,,4,It's my life,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,4064342,0,,good,4,MATH385,"good for the teaching aspect of the class, explains things pretty well, goes through plenty of examples, if you pay attention and take good notes, but his tests are brutal. make time to study thoroughly at all costs, or you will fail. he's funny though, in a hundred-year-old-scary-german-guy kind of way.",07/06/2005,5,5.0,,4,Sorta interested,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,poor,0,3270642,0,,poor,2,MATH385,"I would encourage anyone who has Mr. Lotz for a teacher to see what he's like, but if you care about your grade then find a different teacher. He has a very dry sense of humor, but a very strict, old school teaching habit.",01/24/2005,5,5.0,,1,It's my life,1.5,1.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,3134169,0,,good,5,ANALYSIS,"he teaches a difficult course that is hard to get your mind around but he does a fine job teaching it.  He is also very helpful if you go to his office hours.  granted, it was one of my few B's at uiuc but the class was unforgettable.  He is totally old school",12/30/2004,5,5.0,,4,Meh,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,3090021,0,,poor,1,MATH,I graduated way back in 2001 and this guy was the worst prof I had over my 4 years at U of I.  I can't believe he is still teaching. Drop his class if you have a chance.,12/21/2004,5,5.0,,1,Meh,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,average,0,2917390,0,,good,4,MATH,That...was...awesome!,12/06/2004,5,5.0,,3,Low,3.5,3.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,2434113,0,,poor,1,MATH285,My best advice is to DROP THE CLASS if you have him.,08/31/2004,5,5.0,,1,N/A,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,1570012,0,,good,4,MATH285,"While I understand why many people hated him, I enjoyed his class a lot. His tests do appear to be impossible at first, but you just have to REALLY pay attention to everything, and go to EVERY class. He's also very funny :)",01/03/2004,4,4.0,,4,N/A,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,1338216,0,,poor,1,MATH285,Absolutely ridiculous grader.  He actually looks for minor and unimportant mistakes to take off for.,11/17/2003,4,4.0,,1,N/A,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,1202836,0,,poor,1,MATH285,"His tests are near impossible, and he uses solving techniques that are totally obscure... if your answer is off by any amount, you automatically lose 75% of the points on that problem, even if the work is perfectly correct.",10/20/2003,5,5.0,,1,N/A,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,1168053,0,,poor,1,MATH280,"I used to like math, until Heinrich P. Lotz, the scourge of the math department, crushed my spirit.",10/03/2003,5,5.0,,1,N/A,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,1080134,0,,average,2,MATH285,Sadistic German schoolmaster.  Talks to chalkboard instead of students.  Extremely volatile personality.  Avoid at all costs.,08/07/2003,5,5.0,,3,N/A,2.5,2.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,1069423,0,,poor,1,MATH285,"He is inaudible, illegible, and unintelligible.  HIs grading is sadistic, and the homeowrk assignments were totally useless for test preparation.  His exams took way too long to complete.",07/30/2003,5,5.0,,1,N/A,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,1011278,0,,average,3,MATH285,No Comments,06/13/2003,4,4.0,,3,N/A,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,942484,0,,good,4,MATH285,"A funny prof who actually makes everything pretty clear, as long as you are paying attention and you GO TO CLASS.",05/08/2003,2,2.0,,4,N/A,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,861285,0,,good,4,MATH317,He is helpful if you talk to him in his office and study hard.  I learned a lot!,04/21/2003,4,4.0,,4,N/A,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,686128,0,,poor,1,MATH280,"His grading is ridiculously strict! I mean, c'mon!",03/07/2003,5,5.0,,1,N/A,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,682481,0,,poor,1,MATH285,No Comments,03/06/2003,4,4.0,,1,N/A,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
