attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,average,good,average,1,22674587,0,,average,3,IB104,"Really disappointed in myself at the grade that I received for this 4 credit hour class. Lecture was interesting and entertaining, but the lab for this course is ridiculously difficult for no reason. You have to remember so much about the animals that it was very impossible for me to. I also did not enjoy the lab homework. Do NOT take this course.",12/30/2013,5,5.0,,3,Meh,3,3.0,1,No,N/A,1112,N/A,,N/A,,people,person
N/A,good,good,good,0,22271321,0,,good,5,IB104,"I really enjoyed this class. You don't need to go to the lectures because he posts them online, but I went for his wit and personality in teaching. This is pretty basic biology though. His tests are a bit tricky because they often focus on minute details, but he curves well.",11/06/2013,4,4.0,,4,Sorta interested,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,16601714,0,,average,3,IB104,"Boring. You can skip every single lecture and just print the notes off the website and review in your own time for the tests and squeak by with a C. Don't bother with the book. Lab sucks, usually goes 2 hours or more, and is boring as well. Hopefully you can proficiency out of this class.",12/19/2009,3,3.0,,3,Meh,3,3.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,14568476,0,,good,4,IB150,"Hugh Robertson was a good professor; the tests were tricky only because they focused on random details from the lecture slides, so go over learning objectives to focus on what to study.  Otherwise, it's pretty easy to get an A in this class as long as you spend a few days studying, do the assignments as well as a majority of the extra credit",06/09/2008,2,2.0,,3,Low,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,14477898,1,,good,4,IB150,"He was a very good professor, and during lecture it's hard to learn a lot because there is so much on every slide, but when you're studying for tests all that info on the slides is very useful, so reading the book is not as necessary.",05/15/2008,4,4.0,,5,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,poor,good,poor,0,14232413,0,,poor,1,IB150,His exams were nothing like the lectures.It was easy to read the book instead of attending lectures. His accent made it easy to fall asleep to him though.,04/02/2008,5,5.0,,1,Sorta interested,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,14229320,0,,good,5,IB150,"Very good professor, tests are guaranteed A's if you study the lecture notes briefly.  Appreciate his half of the course, as the second half taught by Dr. Hu is very boring.",04/01/2008,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14007272,0,,good,4,IB150,"Hugh was a great professor.  He really knew what he was talking about and managed to keep students interested.  The tests are not that bad, just watch out for small details from lecture slides.  If you're comfortable with the book and memorize the small details from lecture slides, you'll do fine in the class.  Also,he has an awesome accent!",01/16/2008,3,3.0,,4,Sorta interested,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,13733549,0,,good,4,IB150,"He was very enthusiastic and clearly loves bio, maybe too much. At first his accent and lecturing were hard to understand but i came to enjoy going to class. You have to stick with him.  His tests are extremely difficult and be careful, they are mainly based on the lecture. if you study you will do well",12/02/2007,4,4.0,,4,Sorta interested,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,13566780,0,,poor,2,IB150,"very hard to understand, easy to fall asleep in class.",10/27/2007,5,5.0,,2,Meh,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
