attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,average,good,poor,0,13572450,0,,poor,2,CALC241,He is the worst professor/teacher I have ever had. Avoid at all costs. I would take a class at 6 am if it meant not getting him.,10/29/2007,5,5.0,,1,Really into it,1.5,1.5,1,Yes,N/A,12091,N/A,,N/A,,people,people
N/A,poor,good,poor,0,13569795,0,,poor,1,MATH241,Igor is a horrible teacher.  He has about 3 different shirts that he always wears.  If he asks a question in class and it is not right he has to prove why it obviously is not right and gets upset when no one answers his questions.  Any alternative is better than  he is,10/28/2007,4,4.0,,1,Sorta interested,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,1,13521730,0,,poor,1,CALC241,he is terrible,10/11/2007,5,5.0,,1,Meh,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,average,good,average,0,13395253,0,,poor,2,MATH220,"Igor was not a great professor. He was rude to students who tried to answer questions.  He was not nice to students who attempted to answer his questions and answered incorrectly, but instead attempted to make fools of them when he himself often made mistakes.  Not a fun class, especially if you don't have a good TA.",08/10/2007,4,4.0,,2,Low,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,13048318,0,,poor,1,MATH220,"Horrible class, horrible professor. The class was painful to go to. Prof has no compassion whatsoever. He lacks social skills. very unclear. avoid taking this class with him at all costs.",04/23/2007,5,5.0,,1,Low,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,poor,0,12775248,0,,poor,1,MATH220,"Easiness: If you do the homework and understand the material, the exams are child's play. Helpfulness: This man is about as helpful as chia pet. Don't bother asking him for help. Clarity: This man is as clear as George Bush is getting out of Iraq. Latin is clearer to me than this Math 220 course. Interest: You may hate calculus after this class.",01/15/2007,2,2.0,,1,Sorta interested,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,12772135,0,,poor,1,MATH220,The absolute biggest a**hole ever. Don't  bother going to his office hours he'll just tell you that you need to go to your TA to have material explained. He makes mistakes on a regular basis and is aweful at explaining material. Avoid this man at all costs.,01/14/2007,4,4.0,,1,Low,1,1.0,3,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,poor,0,12703721,0,,poor,1,CALC220,"I've never taken calc before but I came out okay.  its becasue I have a good TA....Igor himself, is okay..... I always went to lecture, but i hear its not mandatory if u have a good TA...not really a hard class",01/01/2007,3,3.0,,2,Really into it,1.5,1.5,3,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,poor,0,12413982,0,,poor,1,MATH220,The class is pretty easy i think. I dont know what the other comments are talking about because ive never taken calc and am getting an A.  Homework really helps for the exams. He makes you memorize definitions which is stupid. The curves for the exams can be very good if you are in the high end (76=A),11/14/2006,2,2.0,,1,Sorta interested,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,poor,0,12344806,0,,poor,2,MATH220,"If this is the first time you are taking calculus, take it with someone else if possible.  I am getting an good grade in the class becuase I have had calculus before, but I am always thinking that if I never had this material, I would be very confused",11/01/2006,1,1.0,,1,It's my life,1.5,1.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,12314242,0,,poor,2,MATH220,"this class sucks. i took AP calc in high school, so i know some of the stuff, but he just makes things even more confusing. the discussion section is easier to understand, but his tests are super hard, but it does get curved.",10/25/2006,3,3.0,,2,Meh,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,12173783,0,,average,3,MATH220,Not the person to take calculus from if your learning it for the first time. He doesnt offer any office hours. The only thing you can hope for is a good TA. He does have a thick russian accent but its not too bad once you get used to it. Another thing is he writes all his notes on the board but his writing is often hard to read.,08/20/2006,4,4.0,,2,Really into it,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,poor,poor,0,11288529,0,,poor,1,CALC220,"I thought the class was easy, then again i took calc in high school so my easiness factor is a bit tainted. If you look at his at an angle he kinda looks like sonic the hedgehog. Well he's teachings sucks, no pop quizes so just go to the discussions thats all i went to to get an A in the class.",01/02/2006,1,1.0,,2,Sorta interested,1.5,1.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,10681640,0,,average,3,MATH220,Sometimes his explanation can get confusing but that is easily cleared up during discussion section.,11/02/2005,3,3.0,,2,Sorta interested,2.5,2.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,10162640,0,,average,3,MATH220,"He did not offer the class his office hours, but rather his Teacher Assistant's hours; hence the low helpfulness rating.  I do not, however, know about the difficulty of the class.  We are not allowed calculators on exams and the final, but I hear that is the norm.  He also has an accent but it isn't too hard to understand.",08/25/2005,3,3.0,,2,Really into it,2.5,2.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
