attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,good,good,0,21337078,0,,good,5,ECON500,"The course was the hardest course I've had in my life, and incredibly demanding .. But it was, at the same time, one of the best courses I have had, and the professor certainly one of the best instructors I have seen.",02/12/2013,5,5.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,17071575,0,,poor,2,ECON465,"If you have a basic of game theory, so take this class. If not, never try.",04/27/2010,5,5.0,,2,Meh,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,16729421,0,,poor,2,ECONPHD,HE DOES NOT HAVE THE ART OF TEACHING,01/14/2010,5,5.0,,2,Low,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,15818431,0,,poor,1,ECONU3,"In-koo Cho clearly is passionate about game theory; however, he is probably the worst professor I've had at the university. If you are going to survive in this class, I would suggest going to gametheory.net and studying another professor's lecture notes because his lecture is pretty much worthless. If possible, I would avoid this class...",05/12/2009,5,5.0,,1,Sorta interested,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,14956336,0,,poor,1,ECON502,"He is a bitter and frustrated man and treats very bad his students. He was a phd student with the current biggest names in Game Theory. He had a promising start, but he didn't publish anything after the first paper, so he did not get tenure in his last two jobs (i.e, fired!), ending up in Illinois.",11/07/2008,5,5.0,,1,Really into it,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,14865515,0,,average,3,ECON465,"Ive become very interested in Game theory after having classes with him. It is important to prepare for the class by reading text book, the exams and quizzes are challenging. He creates a high expectation of their students. Although, the class is demanding,I`ve really learned a lot from him.",10/13/2008,5,5.0,,3,Really into it,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,14408633,0,,poor,1,ECON465,"Dude, if you take this class with him you are crazy! I am warning you avoid him at all cost!!!! If you do take it and pass his class which he failed 55% of his class last semester I'll buy you a bear",05/05/2008,5,5.0,,1,Low,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,12340371,0,,poor,2,ECON400,"Does not use a textbook, does not give a handout, notes on the blackboard are not well organized. Poor teacher, probably a good researcher. The stuff he covers in the course is intersting by itself.",11/01/2006,5,5.0,,2,Really into it,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,3077250,0,,good,5,ECON402,"Cho is difficult to deal with and a bit fickle, but he simply offered the best phd course i took there. The course IS incredibly well structured, with each topic logically leading into the next. Cho taught this exact same course at Chicago and did not dumb it down. He is an excellent teacher.",12/20/2004,5,5.0,,5,Low,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,average,0,2260933,0,,poor,1,ECON402,"He certainly does not possess the art of teaching. His lectures are not well structured, he doesn't follow a specific textbook, his blackboard notes are far from being clear and his exams are demanding.",06/21/2004,5,5.0,,3,N/A,2,2.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,poor,0,1918173,0,,poor,2,ECON102,This is the hardest prof I've ever had - DO NOT TAKE HIS CLASSES!!!  He yelled us every day!!!,04/07/2004,5,5.0,,1,N/A,1.5,1.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,1184361,0,,good,5,ECON402,A great teacher;not for the retarded but...,10/12/2003,3,3.0,,3,N/A,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
