attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Not Mandatory,average,good,average,0,26044253,0,,poor,2,CS525,"Every student reviews 4 papers every week, but it's almost impossible to get a meaningful feedback for it. Hard to learn something solely from paper reviews. Take ECE 526 instead  to ""learn"" something.  I highly recommend you to collaborate with his grad students or to do a project that he understands and likes if you're taking this course.",02/10/2016,4,4.0,,2,Really into it,2,2.0,1,No,N/A,1112,Yes,,N/A,,people,people
N/A,good,average,good,0,26009872,0,,good,4,CS425,Awesome professor and class with really entertaining homework and MPs.,01/29/2016,2,2.0,,5,It's my life,4.5,4.5,1,No,N/A,1112,Yes,,A,,people,people
Not Mandatory,good,average,good,0,24593681,0,,good,5,CS425,"Great teacher, really knows his stuff. Tests are a bit difficult and lab code is not well documented.",04/14/2015,3,3.0,,5,Really into it,5,5.0,1,No,Yes,1112,Yes,,A+,,people,people
N/A,good,average,good,0,24497827,0,online,good,4,CS525,"took an online class with him, he was clear, direct, and easy to follow.",03/24/2015,3,3.0,,4,It's my life,4,4.0,1,No,N/A,1112,No,,N/A,,people,people
Not Mandatory,good,good,average,0,24272396,0,,good,4,425,"Professor's knowledge is remarkable. Very organized course. Engaging assignments, exams and MPs. Helpful TAs. Lectures are awesome. Just listening to his lectures is enough for preparing for the exam. There were 1 or 2 minor incidences where even though students wrote what was taught in class, they were not given full credit but otherwise no issues",01/12/2015,4,4.0,,3,Sorta interested,3.5,3.5,1,No,N/A,1112,Yes,,A-,,people,people
N/A,average,good,average,0,24067410,0,,average,2,425,"A knowledgeable prof. Lectures were fast & felt like speeches (not engaging. if u r lost in the lect, good luck!) I love the topic but I was unable to connect together the different & many concepts, presented in the lects (think a math student trying to memorize formulas wo understanding the concepts behind them). C is used. I'll learn on my own.",12/13/2014,5,5.0,,3,Really into it,2.5,2.5,1,No,N/A,1112,Yes,,N/A,,people,people
N/A,poor,good,poor,1,23899121,0,,poor,1,CS425,"He decided to cut down the MP's from 4 to 2 in the middle of the semester, still keeping 20% of your grade dedicated to the MP's. This is problematic for students who prioritized class work based on how much it effects their grade.   MP's are done in C, the documentation for them are (as usual) not well done.",11/26/2014,5,5.0,,1,Sorta interested,1,1.0,1,No,N/A,1112,Yes,,N/A,,people,person
Not Mandatory,good,average,good,0,22651646,0,,good,4,CS425,Good teacher,12/24/2013,3,3.0,,4,Really into it,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,21309129,1,,good,4,CS425,"Indy is a great teacher, and completely defied my expectations coming into the class. He likes to incorporate humor into his slides, and - though he has an accent - is entirely understandable. The MPs got to be a bit tough, but if you're interested in the subject matter then you shouldn't have a problem.",01/30/2013,3,3.0,,5,Really into it,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,person,people
N/A,good,poor,average,0,20710763,0,,good,4,CS425,He is the professor who knows what he is teaching about. MPs are interesting and challenging. HWs and Exams are quite easy and straight forward. One can learn quite a lot from his class.,10/17/2012,1,1.0,,3,It's my life,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,11695060,0,,good,3,CS423,No Comments,04/11/2006,2,2.0,,4,Sorta interested,3.5,3.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
