attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,good,average,good,0,26098816,0,,good,5,ENGL119,"I really enjoyed this class! I think the discussions were engaging, and definitely gave me a lot to talk about in my papers. Iryce was also always available to give feedback in case you weren't sure about your paper, so it really wasn't uncommon to do very well in the course.",02/29/2016,2,2.0,,3,Really into it,4,4.0,1,Yes,Yes,1112,Yes,,A,,people,people
Mandatory,poor,good,average,0,25707067,0,,average,1,ENGL119,"I can honestly say I didn't learn a thing in this class. Her ""lectures"" were glorified discussions where she asked our opinions and then didn't listen to them. Then she expects our literary analysis of these children's novels be graduate level in detail. It's just unrealistic to expect your students to know complex political issues without teaching",12/15/2015,4,4.0,,4,Sorta interested,2.5,2.5,1,Yes,N/A,1112,Yes,,N/A,,people,people
Mandatory,good,average,average,1,25443109,0,,good,4,ENGL461,"Iryce is enthusiastic and cares deeply about the subjects discussed in class. Her enthusiasm tends to spillover into student discussion and presentations, cutting off the speaker to add her own thoughts or to share background information. This is a positive sign of her interest but it implies she does not value, trust  or respect student input.  ",11/18/2015,2,2.0,,3,Really into it,3.5,3.5,1,Yes,N/A,1112,Yes,,A+,,people,person
Mandatory,good,poor,good,0,25180438,0,,good,5,ENGL300,"Iryce has by far been the best instructor I've had here at UIUC. She works to engage everybody with the material on an individual level - referencing individuals interests where applicable - and really wants to get to know her students individually. Very understanding in terms of deadlines and situations. She's hilarious, too! A++++++++++++++++++++",09/09/2015,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,Yes,,A,,people,people
N/A,good,good,good,0,24856599,0,,good,4,GWS281,"I love her so much. I had never taken an English class before, but she was really patient with me and helped a lot. Discussion is a huge part of class, and she encourages you to make it a book-club atmosphere. She's relaxed, and is super funny. I honestly cannot believe how little the university pays this woman, because she's incredible.",05/18/2015,4,4.0,,5,Really into it,4.5,4.5,1,Yes,Yes,1112,Yes,,N/A,,people,people
Mandatory,good,average,good,0,24799848,0,,good,4,ENGL300,"Iryce is a great professor and the lectures are amazing. You read really interesting books where it won't even feel required. She can be moody and she interrupts a lot during discussion, but she's seriously one of the best professors I've ever had. Offers rewrites on the 3 papers. No finalmidterm either.",05/11/2015,3,3.0,,4,It's my life,4,4.0,1,Yes,N/A,1112,Yes,,B+,,people,people
N/A,good,average,good,1,24401012,1,,good,5,281,"Loved her and every class I've ever taken with her. Super interesting books, discussions, and you will learn so so much. Highly recommended!",02/21/2015,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,Yes,,N/A,,person,person
N/A,poor,good,poor,5,24183482,9,,poor,1,ENGL442,"When I didn't agree with her that Harry Potter was ALL about politics in my final paper, she told me that it wasn't debatable and if I didn't agree with her, I could've taken another class. Although she brought cookie, promised good grade and was flexible with deadline, the class was a struggle between independent thinking and indoctrination for me",12/24/2014,5,5.0,,1,Meh,1,1.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
Not Mandatory,good,poor,good,4,23544455,2,,good,5,ENGL442,"Iryce is an absolutely amazing teacher. She's warm, funny, helpful, and completely brilliant. Her 442 class was by far one of my favorites at U of I and I highly recommend taking it. I learned so much that semester and had so much fun. She's the best!",08/20/2014,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,4,21281691,2,,good,5,ENGL442,"She is literally the best English lecturer/teacher at UIUC. She should be a professor, but any class by her is utterly amazing.",01/21/2013,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,3,20782681,1,,good,4,ENGL300,She is too legit to quit. A+. Five billion stars.,11/05/2012,1,1.0,,5,It's my life,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,good,average,good,2,20619234,1,,good,5,ENGL300,Absolutely the best. Time for a promotion.,08/30/2012,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,good,average,good,2,19420152,1,,good,5,ENGL300,Best teacher I've had at UIUC yet! No clue why she's an Instructor instead of an assist. professor or professor. The department seriously needs to give this woman a promotion.,12/08/2011,2,2.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,person,people
N/A,good,poor,good,1,18533471,1,,good,5,ENG281,"Professor Baron is utterly and completely AWESOME. Most of the books assigned to read are very interesting. I am currently taking two of her classes at once. Discussions are always interesting and the hour passes by pretty fast. She is really lineant with paper due dates, and tells you exactly what is on the final. Papers are also only 4 PAGES!!!",05/05/2011,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,person,person
N/A,good,average,good,1,18246234,1,,good,5,ENGL247,Best teacher on this campus. Very helpful and interested in her students. Discussions are always super in depth and interesting so if you come to class you will get an A on the papers and on the final because everything she says in class is what those are based on! Super nice and fun. Gives extensions if needed too. TAKE THIS CLASS!!!,03/03/2011,2,2.0,,5,Really into it,5,5.0,3,Yes,N/A,1112,N/A,,N/A,,person,person
N/A,good,good,good,1,17688756,1,,good,4,ENGL281,"She is great. To do well in her class you just have to read the texts, have your own ideas about what you read, and discuss in class. Three papers, 1 oral report (not scary at all) and a final exam. The papers reflect topics discussed in class and can actually be fun to write!",10/24/2010,4,4.0,,5,Low,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,person,person
N/A,good,average,good,1,17638301,1,,good,4,ENG281,By far my favorite teacher on campus! I was not very excited about taking a women in lit. class but she has really opened my eyes to a lot of social and political frameworks of female roles in society. GREAT class-not a lot of work-just show up and talk about the novel. This is one of the few classes in which i apply what i learn outside of class,10/07/2010,2,2.0,,4,Low,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,person,person
N/A,good,average,good,1,17614407,1,,good,5,ENGL280,She's amazing. Her lectures are so interesting and she's excellent at getting discussions going. She knows everything about literature and the historical context to the books you read in class.,09/26/2010,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,person,person
N/A,good,average,good,1,17584039,1,,good,4,ENGL280,"Her lectures are fantastic and so interesting that you don't want the class to end. She knows everything about Literature, as well.",09/09/2010,3,3.0,,4,Sorta interested,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,person,person
N/A,good,average,good,1,15666415,1,,good,5,ENGL281,She's by far the best professor I've ever had. Wonderful person. Exciting discussions. Interesting topics. She's just AMAZING. AHHHH!!!!!!,04/17/2009,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,person,person
