attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,0,22626263,0,,good,5,ECON302,"Diianni is the most polished lecturer I've ever had. His lectures, although boring at times, were full of knowledge. The class is difficult and you must do well on all four exams to get an A in the class. Purchase the optional study book and that will help you study a lot more than just looking over the PowerPoints.",12/20/2013,3,3.0,,4,Really into it,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
Not Mandatory,good,good,good,0,22608731,0,,good,5,ECON301,"DiIanni is a great teacher.  His explanations are crystal clear and he is passionate and articulate about the subject.  He is one of the most respectful professors I have had toward students. Be warned though, this class is TOUGH.  The exams are cumulative and brutal. Going to lecture alone won't get you an A.  You MUST study a lot on your own time",12/18/2013,4,4.0,,4,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,B,,people,people
N/A,good,average,good,0,22498267,0,,good,5,ECON302,"I love diIanni!!! He is so articulate which makes you enjoy his teaching and lectures as a whole!! Even though people say the exams hard, I think as long as you study and understand the content, you will be fine!!!",12/10/2013,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
Not Mandatory,good,good,good,0,22305121,0,,good,5,ECON302,"Hes an awesome speaker! I can stress enough that he knows how to explain everything perfectly. But that grading system is ridiculous. Four exams is the only thing he has. There's a multiple choice potion and fill in the blank. Fill in the blank is easy, but the multiple choice part doesnt mess around.",11/13/2013,4,4.0,,4,Low,4.5,4.5,1,No,N/A,1112,N/A,,F,,people,people
N/A,good,average,good,0,22297370,0,,good,5,ECON302,Excellent speaker that makes the content and its applications very clear. Always willing to help you outside of class if you're willing to ask. Four tests that are not necessarily easy but do not cover anything that is not in lecture. Test grades usually average between 75-85 for the class.,11/12/2013,2,2.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,22256119,1,,poor,1,ECON302,"Very difficult class. Easily got A's in Econ 102 and 103, struggling in Econ 302. Take with someone else if possible.",11/04/2013,5,5.0,,1,Low,1,1.0,1,No,N/A,1112,N/A,,N/A,,person,people
N/A,poor,good,poor,0,22180537,1,,poor,1,ECON302,"He might be good at explaining thing, but be prepared to be screwed on the exam. I study a lot, really A LOT. I did all the practice exams, practice questions, quizzes, so I seemed prepared. NO WAY. He would give you some questions that he barely mentioned in class. If you care about the grade, do not take him. He does not give you extra points.",10/15/2013,5,5.0,,1,It's my life,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,good,good,good,0,22115610,0,,good,5,ECON302,This was one of the first Econ courses that I actually enjoyed. Diianni is a great speaker and explained concepts very well. Lecture content is important but I did well on the tests because I also read the book. Only 4 exams & nothing else= STUDY STUDY STUDY!,09/11/2013,4,4.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,21785749,0,,good,5,ECON302,"DiIanni is a great professor and knows how to lead the class. Although his grading system is horrible As mentioned below there are only 4 exams. You mess up on one, you're screwed for the rest. The other thing is that he provides no curves for the exams which is really annoying. It'd be nice for him to do some review sessions for all the exams.",05/17/2013,4,4.0,,5,Meh,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,21712640,0,,good,5,ECON302,"Like everyone is saying he really is a great teacher, but the grading rubric in this class is awful. Your grade is only based on 4 tests, 1st is 10%, 2nd 20%, 3 30%, final 40%. You really can't afford to mess up any, especially the final. Just be prepared for every test and make sure to study a few nights before and you should end up alright.",05/08/2013,4,4.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,21680895,0,,good,5,ECON302,"Great man. Very intelligent, fairly good at explaining things, I enjoy his class and he dresses very well. The course structure is a little unforgiving but besides that he is a great professor. He could stand do add a curve or some buffer from the tests, but overall choosing DiIanni is a good choice",05/05/2013,3,3.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,21670564,0,,good,5,ECON302,"Has a visible passion for his position as a lecturer, integrates humor and intriguing real-world examples into his lessons, knows what students struggle with the most and spends a great deal of time demonstrating problems at appropriate speed. Could not have asked for a better lecturer.",05/03/2013,1,1.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,21610475,0,,good,5,ECON302,"Best econ teacher I've ever had. He makes concepts so easy to understand.When I learnt AP microecon in high school, I didn't understand anything, but I almost got an A+ and understood everything with his teaching.",04/26/2013,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,21532376,0,,good,5,ECON302,Best ECON professor out there! Very clear and helpful.,04/14/2013,2,2.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,21387021,0,,good,5,ECON302,Very clear.,03/05/2013,2,2.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,21223446,0,,good,5,ECON302,"If you want to survive ECON, take professor DiIanni. He used to teach at a small school, and in doing so, truly cares about making sure you understand what he is teaching. If you review over what materials he gives to you, and you actually study, you'll be fine. Almost had the class with Vasquez, and my God, get DiIanni. At least for 302.",01/07/2013,2,2.0,,5,Low,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,20798560,0,,good,3,ECON303,"Easy class, don't need book",11/08/2012,2,2.0,,4,Really into it,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,20710894,1,,good,5,ECON302,He is my favorite professor! He really loves teaching. He took time to answer every question posted in the forum.It's really helpful! want to attend his class even if the class is 8am.,10/17/2012,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,good,average,good,0,20604395,0,,good,5,ECON302,Probably the easiest professor teaching Econ 302. Highly recommended. Very helpful in office hours. More than half of the class got A's.,08/24/2012,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
