attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,average,average,average,0,20316882,0,,poor,2,MACS100,I knew her exams were going to be BS when her own TA said he told Glennon to stop making the test super tricky. Some of the questions comes from the things she said verbally in class which is really hard to get because she talks so fast . But the good thing is she retired so there will be another teacher with MACS 100 .,05/20/2012,2,2.0,,2,Low,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,20217367,0,,good,5,MACS100,"Glennon really isn't that bad and is extremely nice if you get to know her. Her tests questions are mainly from the lecture notes but the readings are also required if you want to do well. Overall, this was one of the easier classes that I have had during my 4 years at U of I.",05/07/2012,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,19830304,0,,average,3,MACS100,"Glennon is a babe. Her tests are mainly from lecture notes. If you pay attention and take good notes you will be more than fine in this class. You also get to watch awesome movies and shows like The Truman Show, Little Miss Sunshine, Beavis & Butthead, and a little bit of South Park. Most of the negative remarks are from slackers.",02/15/2012,2,2.0,,3,Low,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,19830286,0,,good,4,MACS100,"I really don't see why she is getting all of this negative criticism...I mean she does initially come off as a bi*** but her tests are straight from the lecture (JUST PAY ATTENTION IN CLASS) and the movies we watched were pretty funny (The Truman Show, Little Miss Sunshine, etc.) I studied the day before my first exam and ended up wit",02/15/2012,2,2.0,,3,Low,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,19829213,0,,poor,2,MACS100,I am currently in the class and getting ready for Exam 1 today. I already don't like her or the class. She picks all these old time movies that are not interesting. I don't know what to study for this exam and she is super boring. Thinking about dropping this class and taking a second 8 week course. Any suggestions ?,02/15/2012,4,4.0,,2,Low,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,19727396,0,,average,4,MACS100,"Glennon does not know how to teach a gen ed. Tests were trickier than needed. Attendance is required. The title of this course makes it seem like a breeze, but effort is a must if you want to get an A. I got an A but I had to push myself to study for a course I did not think I would devote much time to. Look for a better option in a gen ed",01/14/2012,3,3.0,,2,Low,3,3.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,19303080,0,,poor,2,MACS100,"Do not take this class. Glennon mostly talked about how much she hated Jersey Shore and discussed extremely radical viewpoints of the media that were very disagreeable. If you want to take a class that you will hate, try MACS 100. Definitely not what I was expecting. The film projects are pointless and her exams are impossible to study for.",11/23/2011,4,4.0,,2,Really into it,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,19176003,0,,poor,1,MACS100,MACS100 was okay. You have to attend lecture for clicker questions. Her tests are way too difficult for a 100 level class. She gives you a study guide but half of the material isn't on the test. Don't take this course if you're looking for an easy gen ed. This class isn't worth the GPA drop.,11/07/2011,4,4.0,,2,Low,1.5,1.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,average,0,18779886,0,,good,4,MS356,"Ivy was pretty cool.  I learned a bunch and she was very enthusiastic.  She's oddly cute in a older woman kinda way.  Even though the class was pretty difficult, I think of her quite fondly.  One of those professors you remember as tough but sincere.  Ivy is great.",06/30/2011,5,5.0,,3,It's my life,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,17925331,0,,average,3,GWS356,"This woman takes her PhD WAY too seriously. Yes, she IS intelligent. However, intelligence coupled with hypocrisy is hard to admire. While on the one hand she emphasizes the absurdity of institutional power, on the other, she insists on being addressed as &quot;Dr.&quot; Thus reinforcing that which she criticizes. She is full of incongruent attitudes.",12/13/2010,4,4.0,,2,It's my life,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
