attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Not Mandatory,good,poor,good,0,26372876,0,,good,5,THEA101,JW for president,04/25/2016,1,1.0,,5,N/A,5,5.0,1,Yes,Yes,1112,Yes,,A+,,people,people
N/A,good,poor,good,1,25899301,1,online,good,5,THEA101,Took the class online. Super easy. I ended with a 105%,01/07/2016,1,1.0,,5,Sorta interested,5,5.0,1,Yes,Yes,1112,Yes,,A+,,person,person
Mandatory,good,average,good,2,25495881,0,,good,5,THEA101,"Loved J.W.! I took the class because I heard it was easy, and it is! JW is hilarious and makes lectures way more engaging than I thought it would be. You have to write one paper and there are 5 exams, but everything is relatively easy. I'm glad I decided to take this gen ed.",11/28/2015,2,2.0,,5,Low,5,5.0,1,Yes,N/A,1112,Yes,,A,,people,people
Mandatory,good,poor,good,5,24324590,0,,good,5,THEATRE412,Most inspirational professor I have ever had. ,01/23/2015,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,Yes,,A,,people,people
N/A,good,poor,good,4,23584529,0,,good,5,THEATRE412,Awesome professor!,09/09/2014,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
Mandatory,good,poor,good,2,22283518,3,,good,5,THEA101,"I LOVE this man. He is the BEST professor on this campus. If you need a humanities class to take, TAKE THIS ONE! JW is the BOMB. And he's funny.",11/08/2013,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,A+,,people,people
N/A,good,poor,good,3,22193515,0,,good,5,THEA101,"I LOVE this class. He's seriously the best. We listened to Pop Lock & Drop It during a Shakespeare lecture, and he cracks jokes all the time. Class is actually interesting. Take this class!! You'll love it and I have a 110% if that tells you how easy it is.",10/19/2013,1,1.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,3,20314044,0,,good,5,THEA101,"I took this class online, and it was very easy, every chapter has an online quiz, however, you get unlimited time to do it, and you can find all of the answer in the readings or the power point slides he gave you. There are also some online discussion, which was very easy. You are require to attend 3 theatre plays, and write a easy 2~3 page paper",05/19/2012,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,1,19925157,0,,good,5,THEA365,"Great professor. Knows his stuff, easy to work with and available to students.",03/19/2012,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,good,average,good,1,19624540,0,,good,5,THEAT101,What a great class! Best prof on campus!,12/26/2011,3,3.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,good,poor,good,1,19620187,0,,good,5,THEA101,"he is one the best most enetertaining professors at U of I. even though i had no interest in Theatre, he made really fun. take this class!",12/25/2011,1,1.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,good,poor,average,1,19523835,0,,good,5,THEA101,He clearly loves theater and is VERY entertaining. I looked forward to lecture for the most part. The textbook was needed for tests but the lecture notes were most important. He gave study guides as well. Overall Easy A.,12/15/2011,1,1.0,,2,Sorta interested,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,good,poor,good,1,19462689,0,,good,5,THEA101,He's the best! Take this class!,12/11/2011,1,1.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,person
N/A,good,poor,good,1,19435700,0,,good,5,THEA101,"this class was such a good idea to take first semester, freshman year. such an easy class, the profssor played po-lock-and drop in the middle of shakespeare, need I say more&#63;",12/09/2011,1,1.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,person
N/A,good,poor,good,1,19078019,1,,good,5,THEA101,He is the most entertaining professor at U of I that I've ever had. Lectures were hilarious and exams were a walk in the park.,10/17/2011,1,1.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,person,person
N/A,good,average,good,1,18901459,0,,good,5,THEA101,"He is the best teacher I have encountered at U of I so far. Thanks to him I survived my first semester at the U of I, I don't know where I would have been w/o his quirky comments and THEA101. He loves what he does and it shows; J.W. is an awesome/the best teacher ever hands down.",08/10/2011,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,good,poor,good,2,18516611,0,,good,5,THEA170A,Best teacher on campus. I loved going to class everyday. Always got something new out of the class. Helped me whenever I needed it. Big supporter throughout the whole year.,05/03/2011,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,1,17961066,0,,good,5,THEAAL,"very easy and prof was patient even when the &quot;jocks&quot; were being loud during lecture. cool guy, funny and interesting, and you learn a little thea too. 3 plays at krannert mandatory. take this class with friends. iclicker required.",12/16/2010,1,1.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,good,average,good,1,17518520,0,,good,5,THEA100,I had him for intro to theatre. He was an awesome professor and made theatre enjoyable.This is by far my favorite class at u of i,08/16/2010,2,2.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
