attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Not Mandatory,good,good,good,1,26225383,0,,good,5,ENGL199,"Fantastic professor. Not gonna be the easiest class, but it'll be supremely fun. His lectures are fantastic.",04/04/2016,4,4.0,,5,N/A,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
Mandatory,good,good,good,1,25159393,0,,good,5,ENGL455,"Hansen is the best professorinstructorteacheretc. I've absolutely ever had. I've taken three classes with him (ENGL 301 and ENGL 455 twice with varying material) and I've loved all of them and hope to take more before I graduate next semester. He's a genius, he's quick-witted, funny, and a really quality professor. Take him every chance you get.",08/29/2015,4,4.0,,5,Sorta interested,5,5.0,1,Yes,Yes,1112,Yes,,A,,people,person
N/A,good,average,good,1,22509718,0,,good,5,ENGL301,"Professor Hansen is the best professor I've ever had. Taking critical theory with him expands your mind in so many ways and will make you a smarter person. He's very funny, and his lectures are always entertaining. He's a really nice guy, and very approachable in office hours.Take a class with him whenever you can. You won't regret or forget it.",12/11/2013,2,2.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,good,good,good,1,21951392,0,,good,4,ENGL455,Really great professor! This was the second class I had taken with him and I have to say I enjoyed both of them more than I had expected since I was not sure about them going into them. His comic book nerdiness was always appreciated along with his sense of humor. Take his classes whenever you can!,07/08/2013,4,4.0,,4,Really into it,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,person
N/A,good,average,good,0,21669799,0,,good,5,ENGL455,"I enjoy learning from Hansen. He clearly loves what he does, and although he can be slow at returning papers, you would be hard pressed to find an instructor more engaging or intelligent. Smartest person I know, not just in his field but in general. Easy to talk to, always willing to help his students. Highly recommended.",05/03/2013,3,3.0,,4,It's my life,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,21065651,0,,good,5,ENGL301,"Phenomenal professor. Take his as much as you can, as often as you can. While the readings are complex, his explanations in class make them simple to understand and extrapolate from. He is, self-admittedly, atrocious at email, but is readily available in office hours and to meet by appointment. A fascinating person inside and out of class. Take.",12/14/2012,3,3.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,1,21062089,0,,good,4,ENGL301,"He's hilarious, manages to teach something that in anyone else's hands be incredibly dry, boring, and tedious in a way that is relatable and easy to understand. While he is hard to reach by email, he's always available for office hours. I'm so glad I took 301 with him, as he's the only thing that makes that class worthwhile.",12/13/2012,3,3.0,,3,Meh,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,poor,average,poor,0,21062081,2,,poor,1,ENGL301,"Speaks far too much in class, making it almost impossible to understand what information is necessary to know. Although he makes small talk by referencing his love of comic book heroes, he hardly stimulates the class to think critically. Far too much outside learning had to be done after his lectures to decipher his notes. Would not take again.",12/13/2012,3,3.0,,1,It's my life,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,18560158,1,,average,3,ENGL465,"Talks entirely too much during class (especially for a 400-level one), talking points are incredibly repetitive, extremely flaky.  He does have extensive and interesting knowledge of critical theory, though.",05/09/2011,2,2.0,,2,Really into it,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,good,good,good,0,18092940,0,,good,5,ENGL301,Helpful and friendly. Makes class interesting and explains text thoroughly.,01/06/2011,4,4.0,,4,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,16719520,0,,good,4,ENG301,"Made a scary class fun and understandable. Very easy to relate to and very easygoing about grades, exams, and papers. Easily one of the best professors ever had.",01/12/2010,3,3.0,,4,Meh,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,1,16490286,0,,good,5,ENGL301,"Amazing professor! He made critical theory fun! So easy to understand it after he explains it in class, and the papers/exams were so easy. He really cares about his students, and he admitted at the beginning of the semester that you shouldn't contact him through email. Very enjoyable class! Just write 2 discussion questions and show up.",12/07/2009,1,1.0,,5,Low,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,poor,good,poor,0,15801368,0,,poor,1,ENGL110,awful...seems nice in class but not helpful at all! NEVER responded to emails regarding my grade on a test. tests were so random and you had no idea what would be on there..awful!,05/09/2009,5,5.0,,1,Meh,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,poor,0,15798485,0,,poor,2,ENGL110,"THOUGHT THIS CLASS WAS GONNA BE GOOD BECAUSE HE WAS SUCH A NICE AND LAID BACK TEACHER. HE DOESNT RESPOND TO EMAILS AND HE TALKS TOO MUCH DURING LECTURES, MAKING IT UNCLEAR ON WHAT TO STUDY FOR THE CLASS. VERY CONCEITED, TESTS ARE HARD. ITS NOT WORTH THE GEN ED.",05/08/2009,4,4.0,,1,Sorta interested,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,14859960,0,,good,5,ENGL201,"A great professor! Really enjoys and knows what he teaches. Always willing to make sure his students grasp the material. Very tough but extremely fair test/papers. You must do the reading, go to class, and ask questions to do well. And you'll want to! Take at least one class with him for sure! One of the best profs I've ever had!",10/09/2008,5,5.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,13079413,0,,good,4,ENGL455,"beckett was challenging and frustrating (maybe even useless), but hansen was a lot of fun. fair grader, workload was average, down to earth and accessible.",04/29/2007,1,1.0,,4,It's my life,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12419058,0,,good,5,ENG110,I'm in love w/ him!!! he's soo interesting and knowledgeable!!! He's very helpful and hilarious!!,11/15/2006,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12122804,0,,good,5,ENGLISH110,"this class is easy if you go to class. makes you keep a diary of weekly readings, but they're really short and interesting. i never liked english classes, but he made it fun. plus he's a cutie and really nice.",08/01/2006,2,2.0,,3,Sorta interested,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,11475518,0,,good,5,ENG201,this class changed my life.  i love critical theory so much now.  he made the class very entertaining. what more can you want&#63;   it doesn't get better than that,02/11/2006,4,4.0,,5,Really into it,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,10580846,0,,good,4,ENGL455,...and he's funny!  what else do you want&#63;!&#63;,10/12/2005,3,3.0,,5,It's my life,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
