attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,poor,good,poor,0,26513227,0,,poor,1,MAC320,"The course itself is not terrible, but the way the instructor teaches it makes the 1.5 hour long class felt super slow. There are 30-60 pages of reading every class, while he does not do reading checks, he really expects you to read it. Prof also does not allow any space of creativity on homework, if you don't follow the guideline, you lose points.",05/09/2016,5,5.0,,1,N/A,1,1.0,1,No,N/A,1112,Yes,,B-,,people,people
Mandatory,poor,good,poor,0,26483740,0,,poor,1,MACS320,"Regardless of a person's  knowledge on a topic or position, there are some people who can teach and some that absolutely should not. Unfortunately, James Hay fulfills the latter. Lectures moves at a glacial pace and never seem to have a clear point. If you're looking for someone that can deliver an incoherent, directionless course, give him a try.",05/05/2016,4,4.0,,2,N/A,1.5,1.5,1,No,N/A,1112,Yes,,N/A,,people,people
Mandatory,good,average,average,1,26145424,2,,good,4,MACS317,"Very boring, but very easy. You only have to do a handful of the readings all semester to do well on the exams. I stopped taking notes a few weeks into the class and used lecture time to do other work on my laptop instead, but still ended up with an A. Prof Hay dresses like he's in the Revolutionary War sometimes though, so that's interesting.",03/15/2016,2,2.0,,3,Sorta interested,3.5,3.5,1,No,N/A,1112,Yes,,A,,people,person
N/A,poor,good,poor,1,23885274,0,,poor,1,MACS320,"Professor Hay transformed a seemingly interesting topic into the most dry, uninteresting, longwinded, and unclear class I have taken at UIUC. He specifically asks students to NOT include any personal opinions or analysis in essays. Assigned readings are incredibly long and applications of these readings are vague at best. Would not recommend. ",11/24/2014,4,4.0,,1,Sorta interested,1,1.0,1,Yes,N/A,1112,Yes,,N/A,,people,person
N/A,poor,average,poor,1,23834986,0,,poor,1,MACS320,"BY FAR he most boring and monotone professor on campus. He rambles on in lectures, talks very slow, and never gets to the point. His TA's don't know what is going on so they grade easily. The man is never funny, and assigns 50  pages of pointless reading every night. He dresses stylish, but doesn't know how to wear it and shouldn't be. DO NOT take.",11/17/2014,3,3.0,,1,Meh,1,1.0,1,Yes,N/A,1112,Yes,,N/A,,people,person
N/A,poor,good,average,0,22845084,0,,poor,1,MACS317,"Relied so heavily on readings that people were drowning by the end of the semester. Any views and opinions other than his own were shunned. A nice guy, but not the best teacher in the world.",02/16/2014,5,5.0,,3,Meh,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,21855569,0,,poor,1,MACS320,He is heavy on the readings and makes you do a lot of non-sense busy work throughout the whole semester. Attendance is mandatory even though the lectures are plain and boring. If your main ideas for the readings do not line up with his your exam essays wont end too well.,06/02/2013,4,4.0,,2,Really into it,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,poor,1,21586689,0,,poor,1,MAC320,"Going into this class I was extremely interested, the course content is interesting but made extremely boring within class lectures. Lecture notes are not put online and you need to attend all but 3 lectures to get an A for attendance. Would not take if I could do over.",04/23/2013,3,3.0,,1,Really into it,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,good,average,good,0,20587110,1,,good,4,MACS320,"I don't know why this professor has so many bad ratings. I found his class to be really interesting and prof. Hay has always been extremely helpful to solve students' problems. Granted, he's heavy on the reading and it's a bit annoying you can't pitch your own ideas in papers, but all in all he's more than okay!",08/19/2012,3,3.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,poor,average,poor,0,17466407,0,,poor,1,MS320,"the ways in which James Hay teaches this course are ridiculous and very unclear. it's really easy to get an a, just as long as you somewhat do the readings and bring a tape recorder to class so that you can regurgitate everything this man says.",07/30/2010,2,2.0,,1,Really into it,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,17067411,0,,poor,2,MS391,"I don't really understand what I've learned.  It's a boatload of reading which he believes you do.  A lot of writing, a lot of reading.",04/27/2010,4,4.0,,2,Really into it,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,poor,0,15111027,0,,poor,1,COMM320,I don't think I learned a single useful thing in this class.  The readings are grueling.  Hay has a habit of asking a lot of questions about the readings and never bothering to tell the class the answer he was looking for.  Horrible professor.,12/05/2008,2,2.0,,2,Sorta interested,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,14421223,0,,poor,1,COMM320,"Assigns more readings than he can even cover in class. Asks you specifically to leave out your own ideas from papers and exams! Regurgitate whatever concepts you can glean from his long-winded, overly theorized lectures, and a decent grade is obtainable. Could have been interesting, but I can't tell you what this class was supposed to be about.",05/07/2008,5,5.0,,1,Sorta interested,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,3471303,0,,poor,1,SPCM396,"How this man got tenure is a mystery to me.  He's pompous, which would be ok if he had intelligence to back it up.  He takes something that should be interesting and overtheorizes it to the point of non-recognizability.  He's disorganized and forgetful and never sems to have a plan for class.",03/17/2005,4,4.0,,1,It's my life,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
