attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,poor,good,0,17834231,0,,good,5,ASTR100,"So as almost everyone has said, the class is easy. More importantly though, the professor actually cares about the material and tries to present it in an interesting way. I have little interest in astronomy, but did look forward to going to his classes.",11/30/2010,1,1.0,,5,Low,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,17073741,0,,good,5,AST100,"Best professor I've ever had. Had him my freshmen year, and as a senior I still remember how much fun his class was. He's great :)",04/28/2010,1,1.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,16222029,0,,good,4,ASTR100,"Kaler is my boy, please take this class",10/06/2009,1,1.0,,5,Meh,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,15711337,0,,good,5,ASTR100,"He was pretty cool, very interesting lectures I thought...even though I didn't always go.  As every1 else has said the test questions are taken directly from the HW, I just memorized them a couple hours b4 the test",04/26/2009,1,1.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,15393608,0,,good,5,ASTR100,"He's a pretty cool professor, and I feel like he understands that most of the people in the class are just there for Gen. Ed. requirements. Do the homework (all multiple choice) and study the homework for each exam.",01/20/2009,1,1.0,,4,Sorta interested,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,15271962,0,,good,5,ASTR100,Kaler is an amazing professor. The homework is basically the test so just memorize it and you will get an A. Very easy class.,12/23/2008,1,1.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,15198440,0,,good,4,ASTR100,"Although the class is kinda boring, he is a really nice and interesting guy. Pretty easy - just do the hw and all these questions are on the tests!!!",12/15/2008,3,3.0,,4,Really into it,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,15182016,0,,good,5,ASTR100,"what are you guys talking about&#63; yes he's funny and nice, but he goes off on random tangents and although he does know his stuff i have the most difficult time staying awake in class. With that said, after the first exam, I stopped going - it was useless because the exams are completely based on hw questions. i only go to turn in my hw (important)",12/13/2008,1,1.0,,3,Meh,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14986497,0,,good,5,ASTRO100,"Really nice, funny guy.",11/13/2008,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14305453,0,,good,5,ASTR100,"J.B. Kaler's love for astronomy is contagious. I was not really interested in the subject before his class, but his knowledge and passion are what made me enjoy the class. He wrote the book that he lectures on so you can choose to read or attend lecture and still do well.",04/17/2008,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
