attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,average,poor,average,0,17695838,0,,average,2,MATH286,"If you want good grades, take this guy's class. He goes easy on tests.",10/26/2010,1,1.0,,3,Low,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,17547185,0,,good,5,MATH553,EXTREMELY GOOD.,08/25/2010,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,17451546,0,,average,3,MATH285,"If your idea of a good prof is somebody that instantly gives extentions whenever you want then he is the best.  If your idea of a good prof is somebody who makes sure you learn the material, he is awful.",07/26/2010,4,4.0,,2,Meh,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,17177114,1,,good,4,MATH231,Go to class. Study for exams. Ignore all others who tell you Calc 2 is the hardest class on campus... your reality will be that it is the easiest!,05/11/2010,3,3.0,,3,Meh,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,good,poor,good,0,17157863,0,,good,4,MATH231,"He was by far the easiest teach I have ever had.  He is a really nice guy and always willing to help out.  He actually seems to care about teaching and his students.  His exams are the easiest things imaginable and I have gotten 100% on 2 of the 3 exams.  If you have the option of taking this professor, make sure you do.",05/09/2010,1,1.0,,5,Really into it,4.5,4.5,3,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,17035421,0,,good,3,MATH285,"He's not the greatest at explaining things or answering questions, but I took it last semester and me and my friend both got like a 96 or 97 in the class, the tests were easy if you tried. He's a nice guy (extensions and stuff) and helpful.",04/21/2010,2,2.0,,4,Sorta interested,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,17016089,0,,good,5,MATH231,"Professor Bronski started off slow, but as the semester went on, he just got better and better. He does a lot of examples which helps, and he's overall a nice guy. The class isn't too hard either.",04/18/2010,3,3.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,16392545,0,,good,4,MATH256,Professor Bronski was the best teacher I have had since coming to U of I. He remembers peoples names and I believe he truly cares about his students. The class is pretty laid back and his lectures are easily followable. He is easy to approach and more than happy to help any student at any time. He is understanding and an overall great teacher.,11/18/2009,3,3.0,,5,Low,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,16317594,0,,good,5,MATH285,"He is an amazing teacher! he is sooo helpful! He will give you extensions on hw, labs, etc...So great teacher! TAKE HIS CLASS! its so easy! :)",11/05/2009,1,1.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,16207972,1,,poor,2,MATH285,"WOW I had heard so much good about him, but in reality he is just like any other math prof, but he is more boring.  After having Carty this was a huge disappointment.",09/27/2009,5,5.0,,2,Meh,2,2.0,1,No,N/A,1112,N/A,,N/A,,person,people
N/A,good,poor,good,0,15306131,0,,good,5,MATH285,Pretty good lecturer. Easy class and very helpful.,01/02/2009,1,1.0,,5,Low,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,14770847,0,,good,4,MATH231,"Prof Bronski was seriously one of my favorite teachers I've had! The class was decently hard, but you learn a lot if you try. He was very approachable and willing to answer any questions anyone had. He was such a sweetie and I honestly wish he was teaching my calc class this semester.",08/25/2008,4,4.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14501449,0,,good,4,MATH231,"This was my favourite math professor ever! The exams are not difficult if you study. Very good at clarifying sequences and series, they were actually my favourite part of the class. Awesome guy, understanding and definately is there to help students! I don't think there is a great curve, but if you work hard, it pays off. seriously, take his class!",05/20/2008,3,3.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,14216823,0,,poor,1,MATH231,This class is really hard!!! it is a major requirment for me so I have to take it!!! The Exams are VERY HARD!!!,03/30/2008,5,5.0,,1,Sorta interested,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12614971,0,,good,4,MATH550,"This guy is relaxed, friendly and normal... not a typical math professor at all.  Good at answering questions, glad to give you hints on the homework, tests were take-home and not too hard, informal lecture style.  Only issue is confusing sloppiness on the blackboard.  To demonstrate one result we proved, he actually used a power jigsaw.",12/15/2006,3,3.0,,5,It's my life,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
