attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,0,22160162,0,,good,5,MTH221CL1,"He is a great teacher. He is very helpful, when explaining problems he is very clear and goes through all of the steps. He is super easy going and always wants to help. I am never afraid to ask questions in class! he is great!!!",10/06/2013,2,2.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,22159569,0,,good,5,MATH221,Javid has the best jokes and keeps the class interested. He also gives out candy. Candy is great.,10/06/2013,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,22159566,0,,good,5,MATH221,Javid's Calculus 1 class is very straightforward and clear. In each lecture he presents a multitude of examples that challenge our thinking. I'm glad that I took this class instead of a higher math class because I know that his teachings will create a good foundation for future math classes.,10/06/2013,3,3.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
Not Mandatory,good,average,good,0,22158923,0,,good,5,MATH221,"F@#k yea, im starting to like calc thanks to this guy! Thats gotta mean something! and his jokes in class is just the icing on the cake.",10/05/2013,3,3.0,,5,Meh,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,22158036,0,,good,5,MATH221,"Awesome, awesome, awesome! Best Maths professor.",10/05/2013,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,22157048,0,,good,5,MATH221,Interesting cool guy. Class moves fast - it is what it is. Don't slack off and you'll be fine,10/04/2013,2,2.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,22156404,0,,good,5,MATH221,"Let's put it this way: if Javid spent a single day in DC teaching our ""government"" calc, our economy would be saved and the government would still be running.",10/04/2013,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,22155628,0,,good,5,CALC221,"Javid is the bomb; he gives out Kit Kats, and teaches what ya need to know!",10/03/2013,3,3.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,average,0,22155535,0,,good,4,MATH221,"He is a funny teacher, tells jokes, and gives out candy..watch out his aim isn't perfect...He is a good teacher with tons of examples. His tests are difficult purely because each question is worth so many points, but they are very fair, and he is incredibly just about averages and adding points. Overall a passionate and interesting teacher.",10/03/2013,4,4.0,,3,Low,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,22155362,0,,good,5,MATH221,"Humorous teacher, offers treats if students performed well during class. Tells jokes sometimes, not always funny, but shows his passion.",10/03/2013,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,22155351,0,,good,5,MATH221,He is a fantastic teacher that has a passion for the subject.,10/03/2013,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,22155149,0,,good,5,MATH221,Tries his best to keep class interesting and keep students happy,10/03/2013,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,22154600,0,,good,5,MATH221,I love this class! Thank you Javid!,10/03/2013,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,22154594,0,,good,5,MATH221,Very good guy. Funny too.,10/03/2013,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,22153985,0,,good,4,MATH221,He's funny and his lectures helps you understand the material very quickly! He gives out candy!!,10/03/2013,1,1.0,,4,Really into it,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,22153736,0,,good,5,MATH221,Absolutely great professor! Great humor.,10/02/2013,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,22152575,0,,good,5,CL1,Absolutely amazing professor!,10/02/2013,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,22152152,0,,good,5,MATH221CL1,"He is an excellent professor who teaches the concepts with utmost clarity. He's quite funny and interactive with the class, making the lectures really interesting. The candy is also a good motivation to answer questions first. :)",10/02/2013,2,2.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
Not Mandatory,good,poor,good,0,22151469,0,,good,5,MATH221,"Solid calc 1 professor. He covers most of the stuff that will be on the exams, and they arent too bad if you study.",10/02/2013,1,1.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,22151338,0,,good,4,MATH221,"Seems like a pretty cool guy.  Definitely knows what he's talking about, but goes a little fast paced sometimes.  Not everyone came from a great high school where everything calculus was covered, and he assumes we know some things that some (me at least) don't, but otherwise a good guy and professor.",10/01/2013,2,2.0,,3,Really into it,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
