attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,0,21064271,0,,good,5,JOUR400,"Unger is amazing, no other word for it. I learned a lot every single class period. He also helped me a lot with struggles outside of class, and isn't afraid to show he cares about his students, his job and journalism. It's going to be difficult for any other professor to beat him in regards to being my favorite!",12/13/2012,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,16323374,0,,good,4,JOUR415,Jeff Unger is the most amazing professor ever.  I had him for both 400 and 415 and he is my favorite teacher.  His teaching style is superb...definitely take his classes.  I am obsessed.,11/05/2009,3,3.0,,5,It's my life,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,15774218,0,,good,5,JOUR400,"Best teacher I've had at U of I so far. Cares about his students, funny, and his remarks on your articles will help you become a better writer. For Jour 400 I really can't recommend him enough. Also, he looks a ton like Larry David.",05/06/2009,2,2.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,15525126,0,,good,5,JOUR400,"Honest, funny, helpful and looks just like Larry David. A great professor overall.",03/11/2009,2,2.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,14248598,0,,good,4,JOUR400,"Unger is a really great guy. I would recommend him, but I also have to say that I wish I had learned more in 400 because 415 kicked my butt. But overall, I would recommend him. I found the class to be pretty easy and not that challenging overall.",04/06/2008,1,1.0,,5,It's my life,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,14012403,0,,good,5,JOUR400,Great instructor! Very helpful and willing to go out of his way for student. GO UNGER! :),01/17/2008,4,4.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,13790687,0,,good,4,JOUR400,Unger is great. I'd recommend taking JOUR 400 with him. He's a pretty cool dude and he takes you to all kinds of interesting events to cover. Very reasonable   grader and good teacher.,12/10/2007,2,2.0,,4,It's my life,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,13626809,0,,good,5,JOURN400,No Comments,11/09/2007,3,3.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,13626800,0,,good,5,JOURN400,No Comments,11/09/2007,3,3.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,13010851,0,,good,5,JOUR400,Unger is awesome. He has a great sense of humor and really helps you with your writing. Take a class with him if you can!,04/14/2007,3,3.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
