attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,0,23283782,0,,good,5,MBA501,"Truly outstanding professor. I was excited to learn economics when I enrolled in the MBA program, but did not remember much from my undergraduate education. He balanced the essentials with the more focused material masterfully. This is one of the classes I will remember for years to come. PS he is brilliant",05/20/2014,3,3.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
Mandatory,good,average,good,0,23036107,0,,good,5,MBA501,He is a really great professor and he has the ability to make the topic really interesting and easy to understand,04/14/2014,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,A-,,people,people
N/A,good,average,good,0,22901932,0,,good,5,MBA501,Jeff obviously knows his stuff and is passionate about his work. He is able to take complex subjects and explain them (in a bipartisan manner)in a way that anyone can understand. He has an impressive background and has had several articles (and books)published. I still find myself referencing some of the concepts I learned in his class.,03/11/2014,2,2.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
Mandatory,good,good,good,0,22882635,0,,good,5,MBA501ECON,"I thoroughly enjoyed the knowledge and challenge that Professor Brown brings to the classroom, especially from his thorough experience as a true Economist. I came to B-School to learn from professors like him.",03/03/2014,4,4.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,B+,,people,people
Mandatory,good,average,good,0,22872571,0,,good,5,MBA501,"One of the most knowledgeable, humble and down-to-earth professors I have met. Class was taught and graded fairly. Really appreciated professors concern for the academic and professional growth of students.",02/27/2014,3,3.0,,5,Meh,5,5.0,1,Yes,N/A,1112,N/A,,B+,,people,people
Mandatory,good,good,good,0,22872563,0,,good,5,FIN580,"Professor Brown has a great combination of work experience, academic excellence, and thought leadership. I've found that rare.  He draws his rich professional experience, including policy work & board membership, into his courses. The result is interesting, engaging courses that encourage you to think strategically & act pragmatically. Great prof!",02/27/2014,4,4.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,A-,,people,people
N/A,good,average,good,0,22870903,0,,good,4,MBA501,"Professor Brown did a fantastic job explaining complex topics. I took ECON courses during my undergrad and wish Brown was my professor back then. Not to mention, he was the Senior Economist for the White House  Council of Economic Advisers. Truly privileged to have taken his class.",02/26/2014,2,2.0,,5,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
Mandatory,good,average,good,0,22870452,0,,good,5,MBA501,"The day this class was over I wanted to take it again to learn that much more. The professor was engaging, always approachable, and sincerely committed to each of us learning every week. More importantly, he made the material accessible, learnable, and genuinely interesting. This class will help shape my career. Thank you, Professor Brown!",02/26/2014,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,B+,,people,people
Not Mandatory,good,average,good,0,22870148,0,,good,5,FIN580,"Such a good professor that I took 2 of his classes. Jeff is great with office hours!  He was super patient with me as I asked the same questions week after week. And I have enough hand drawn graphs to make a ""Jeff Brown Coloring Book"".  It will be in stores before class begins next Fall.",02/26/2014,3,3.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,B+,,people,people
Mandatory,good,good,good,0,22869102,0,,good,5,FIN580RP1,"Great instructor.  Explanations regarding retirement policy, history and current situation were excellent.  Learned much about social security and causes of current situation",02/26/2014,4,4.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,22869045,0,,good,5,MBA501,"Jeff's economics course changed my life. That might seem hyperbolic, (especially from an MBA student with an emphasis in marketing), but I assure you, it's true. UofI is known as a research university; Jeff’s research and experience is impressive, but his ability to make econ interesting, accessible, and relevant makes him a truly great professor.",02/26/2014,3,3.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,B+,,people,people
Not Mandatory,good,average,good,1,22869024,0,,good,5,MBA501,"Prof. Brown has  an incredible amount of knowledge about economics.  He keeps his class engaged and makes the material easy to comprehend and he uses practical examples.  Everyone should jump at the opportunity to take on of Prof. Brown's classes, you will come away with a much better understanding of economics.",02/26/2014,2,2.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,A,,people,person
Not Mandatory,good,average,good,0,22869006,0,,good,5,FIN580,Excellent Professor!!!  Willing to help in office hours and after class.  Very good public speaking  and communication skills.  Teaches very useful information and tests fairly.  One of my favorite professors experienced as a MBA student.,02/26/2014,3,3.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,A+,,people,people
Not Mandatory,poor,good,average,0,22173700,0,,average,1,MBA501,"He thinks he is a great professor, but he really isn't that great.  He uses bad analogies and sometimes makes topics harder to understand.",10/11/2013,5,5.0,,4,Really into it,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
