attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,poor,poor,average,0,25421480,0,,poor,1,GCL127,"Never sticks to syllabus, scatterbrained, when teaching I've never responded seriously.  Shes cancelled class 4 times this semester for being sick.  Assigns projects anyways.  ",11/16/2015,1,1.0,,3,Sorta interested,2,2.0,1,No,N/A,1112,Yes,,A,,people,people
Not Mandatory,poor,good,average,0,24792145,0,,poor,1,ARCH416,"The test is horrible, not related to any thing she said on class. Nor fair to those who made effort and study hard. Not organized class, always promise with stuff like study guide but never provide it. Not replying email",05/10/2015,5,5.0,,3,Meh,2,2.0,1,No,N/A,1112,Yes,,N/A,,people,people
N/A,poor,good,poor,1,24358578,0,,poor,1,ARCH416,She is always laughing during the class with no reason and her class is not funny at all...,02/04/2015,5,5.0,,1,Meh,1,1.0,1,No,N/A,1112,Yes,,N/A,,people,person
Mandatory,good,poor,good,0,22808325,0,,good,5,ARTH495,"Incredibly nice, passionate about art history",01/30/2014,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,A+,,people,people
N/A,poor,average,poor,0,15699838,0,,poor,1,ARTH115,"disorganized, not funny... why is she teaching&#63;",04/23/2009,3,3.0,,1,Meh,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,15674746,0,,good,4,ARTH115,"ARTH 115 is a great class and you won't find it frustrating if you enjoy learning about art. Prof. Burns is a bit organized but great speaker, very clear. You learn a lot of history in an enjoyable way. If you like art and writing, this is an easy and enjoyable class for you.",04/20/2009,2,2.0,,4,Really into it,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,15615332,0,,poor,1,ARTH115,She wont help you with anything.  She is a horrible lecturer.,04/06/2009,4,4.0,,1,Meh,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,15612729,0,,poor,1,ART115,THE WORST TEACHER EVER!!!!! She is so clueless and has zero structure. She had to throw out our 2nd test because she didn't prepare us for how to study the material. SO FRUSTRATING!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,04/06/2009,5,5.0,,1,Sorta interested,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,15478757,0,,average,2,ART115,This is the most unstructured class EVER. Jennifer rambles on forever about one topic and NEVER finishes a lecture completely. The material is interesting if you like art but it is so scattered and she ruins it by dragging it on and on. She is not clear about anything and there's always something that goes wrong in class (missing tests on test day),02/21/2009,3,3.0,,3,Really into it,2.5,2.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,poor,0,15477357,0,,poor,1,ARTH115,Terrible...,02/20/2009,2,2.0,,1,Sorta interested,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,15470697,0,,poor,1,ART115,terrible!!!!!!!!!!!!!!,02/18/2009,5,5.0,,1,Really into it,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,average,0,15040362,0,,good,2,ARTH115,ARTH 115 was really easy,11/21/2008,1,1.0,,5,Meh,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,14400908,0,,good,4,ART446,"She's a little scatterbrained, but def. easy to talk to. She's probably the nicest professor I've ever had here...",05/04/2008,1,1.0,,5,Meh,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14188804,0,,good,5,ARTH451,No Comments,03/21/2008,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,average,0,13649150,0,,poor,2,ARTH115,"she teaches something in class, and then the next time we meet, she ALWAYS ends up saying, &quot;I'm sorry, I taught that wrong,&quot; or &quot;I'm sorry, I wish I would've taught you differently...&quot; her sense of style can also be described as horrendously confused.",11/14/2007,1,1.0,,2,Meh,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
