attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,good,poor,good,0,26329095,0,,good,5,LING100,"Fantastic professor, super interesting lectures. You can really tell she knows her stuff, and she goes out of her way to make LING 100 accessible to everybody. Highly recommended, especially if you need a gen-ed.",04/19/2016,1,1.0,,5,N/A,5,5.0,1,Yes,N/A,1112,Yes,,A,,people,people
N/A,good,poor,good,0,24646550,0,,good,5,LING302,Nice teacher. Nice teamwork teaching method. Quizzes are easy and you get bonus points from group quiz. The midterm and the final are also group-based. Easy A. Take this class.,04/22/2015,1,1.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
Mandatory,good,average,good,0,23120952,0,,good,5,LING100,"Take LING 100 if you need an easy Gen Ed! I was already a little interested in linguistics prior to this class, but now I have decided to minor in it. The final is optional if you do well on everything else-- go to class and you will learn a lot. She is very good at explaining the material.",04/29/2014,2,2.0,,4,Really into it,4.5,4.5,1,No,N/A,1112,N/A,,A,,people,people
N/A,good,poor,good,0,22764524,0,,good,5,LING100,"Ling 100 is SUPER easy. Take it if you want an easy gen ed AND you are at least somewhat interested in linguistics, 'cause otherwise it might be boring for you. She keeps the class as interesting as you are interested in the topics.",01/17/2014,1,1.0,,4,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,poor,1,21721374,1,,poor,1,PHONOLOGY,A poor and disorganized instructor. VERY mean. Be careful!,05/09/2013,3,3.0,,1,Sorta interested,1,1.0,1,No,N/A,1112,N/A,,N/A,,person,person
N/A,good,average,good,0,19699603,0,,good,5,LING302,"One of the best professors I've ever had. Teaches well, answers questions well, keeps all material relevant. Clearly cares about students. If you want an A, you do have to earn it, but if you like problem/puzzle-solving, have no worries. Anyway, I wholeheartedly recommend this class.",01/09/2012,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,13724970,0,,good,4,LING100,"A little bad on time management, many times failed to finish going over her slides before the bell rang and told us to go over them ourselves online. No one ever came to discussion except maybe me and four other people. Easy exams and homework.",11/30/2007,2,2.0,,3,It's my life,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,1,13613821,1,,poor,1,LING100,"Very boring. Not personable at all, and get very annoyed when she was asked a lot of questions. Homeworks were HARD and the TAs graded very unfairly.",11/07/2007,5,5.0,,1,Meh,1,1.0,1,No,N/A,1112,N/A,,N/A,,person,person
N/A,poor,average,poor,0,12639739,0,,poor,1,PHONOLOGY,"Jennifer cole is a robot, except she has no brains.",12/18/2006,2,2.0,,1,Sorta interested,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,12021879,0,,poor,1,PHONOLOGY,total waste of time. prof was very unorganized. most of the times she was sleepy. but an easy A.,06/21/2006,5,5.0,,2,Meh,1.5,1.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,1,11542624,1,,poor,1,PHONOLOGY,"useless class, very incompetent professor. grad students know better than her. wonder if she has read anything after 1960. also, very undemocratic lady.",03/04/2006,4,4.0,,1,Sorta interested,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,person,person
N/A,poor,average,poor,0,11449647,0,,poor,1,PHONOLOGY,Boring Ass Class and totally lost instructor! I doubt if she reads the articles she assigns for her class.,02/02/2006,2,2.0,,1,It's my life,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,average,0,11441807,0,,average,3,PHONOLOGY,"On numerous occasions I watched students help her out of a teaching jam. She was totally lost on several articles that she attempted to clarify. Smiled like an ass while several students pulled her out of her jam. Easy A, but then again it was a graduate course. Look into the psych department for more useful and interesting linguistics courses.",02/01/2006,1,1.0,,2,It's my life,2.5,2.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,11037620,0,,good,5,LING,"Great instructor; homework was challenging but really helpful for learning the material.  Lectures were thought-provoking and not just a repetition of the course readings.  Extremely intelligent and well-read in many areas outside her discipline, but not arrogant or condescending.  I've had several classes with her and they've all been excellent.",12/02/2005,3,3.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,10160468,0,,good,4,LING100,"Helpful, but terrible subject",08/24/2005,4,4.0,,4,Sorta interested,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,2314623,0,,good,5,LING100,She knows her stuff. I usually try to throw a couple curveball questions at profs when I know the subject matter pretty well. She got my question on the langual nerve passage right on.,07/14/2004,1,1.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,1986613,0,,good,5,LING100,pretty good prof,04/19/2004,3,3.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,1577603,0,,good,4,LING100,"fairly good teacher, her class isn't the easiest but she makes it as entertaining as...possible",01/05/2004,3,3.0,,4,N/A,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,1431012,0,,good,5,LING100,"Shes super smart, knowledgable in ALL areas of discussion. Very clear.",12/03/2003,3,3.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,673873,0,,good,5,LING100,No Comments,03/05/2003,2,2.0,,4,N/A,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
