attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,good,poor,good,2,22665516,0,,good,5,ARTD209,"Not sure about other class she taught, but for ARTD209, Chado, she is a very nice teacher who explained the Way of Tea (Chado) clearly. Tea and sweets served every class. She loves every students in the class and seems that everyone got A+ at the end of semester",12/28/2013,1,1.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,A+,,people,people
N/A,average,good,average,0,21865926,0,,poor,2,ARTD411,Driven by negativity. Openly engages in gossip. Is only interested in assisting her pets. Beware.,06/05/2013,5,5.0,,2,Really into it,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,16871376,0,,good,4,ARTD411,Great professor. She pushes her students to perform to the best of their ability. She is accommodating to meeting and helping students at any given time and she's well versed in the topics of design.,03/13/2010,5,5.0,,5,It's my life,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,16822606,0,,poor,1,ARTD411,a complete control freak that gives zero inspiration.,02/22/2010,5,5.0,,1,Low,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,16175381,0,,good,5,ARTD400,"I loved being a student of hers. I learned a lot from her. she was best teacher, also best friend,best adviser, always wanted to give everything out of her to everyone of us. she knew what each of us was good at and led each one's talent.",09/06/2009,5,5.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,14953295,0,,average,3,ARTD410,Completely biased. Plays favorites. If you're not teacher's pet you can't get anywhere. Terrible.,11/07/2008,4,4.0,,2,It's my life,2.5,2.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,12416373,0,,average,3,ARTDGEN,"very judgmental, biased and intimidating. she  is a de-constructive advisor, as she does not encourage any activities beyond design (such as alternative minors). i would recommend if you want any room for creativity, stay clear.",11/14/2006,5,5.0,,3,Meh,3,3.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,12002085,0,,good,5,TYPE29TH,"I had Jennifer for vis org, type 2, letterpress, and 9th letter. she was an incredible teacher. generally she is attracted to the best designers in the class, because she can push them to their full potentials. she refuses to waste her time with people not 100% invested in the course material. 
 if you can't handle her, you probably should pick a d",06/13/2006,5,5.0,,5,Low,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,10157604,0,,good,5,DESIGN,You get out of the class what you put into it.,08/23/2005,4,4.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,3066758,0,,poor,1,GD240,impossible. worthless.,12/18/2004,5,5.0,,2,Sorta interested,1.5,1.5,3,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,3061957,0,,good,5,GD240,"Jennifer is very passionate about her work and her students. Her energy is contagious, encouraging her students to do their best work. Her classes are not easy, but are exciting and very rewarding.",12/17/2004,4,4.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,3038366,0,,average,3,TYPOGRAPHY2,"The teacher is arrogant and condescending.  She does take her class very seriously, but takes all the fun out of it.  The rest of the faculty is great.. take one of their classes if it is at all possible.",12/15/2004,5,5.0,,2,It's my life,2.5,2.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,1405671,0,,good,5,GD240,No Comments,11/29/2003,4,4.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
