attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,average,good,average,0,16366498,0,,average,3,MATH115,She is the best MATH 115 instructor according to what I heard.,11/13/2009,4,4.0,,3,Low,3,3.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,16234229,0,,good,5,MATH115,She's pretty good.  You can understand her and she talks loud.  She also explains a lot.  The only problem is that she gives homework with problems the class has never seen before.,10/12/2009,3,3.0,,3,Sorta interested,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,15902766,0,,good,4,MATH115,"Jennifer is a great teacher, she explains things well and is pretty fair about her homework. There really isn't any reason to buy the book because you never use it. And when it comes to the tests all you really need to do is rework all the homework and you should be fine. Be careful with office hours, they really end at the time she says in class!",05/27/2009,3,3.0,,4,Low,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,14440367,0,,good,5,MATH220,"Go to lectures and discussions!  Her exams are in class so they are fairly simple and straightforward, and for the most part are based from homework and discussion problems.  She doesn't try to trick you by throwing in complicated questions.  I suggest taking her class if you are looking for a calc I class",05/09/2008,1,1.0,,4,Really into it,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14390562,0,,good,4,MATH220,"Not bad, good selection if you want to take 220.",05/02/2008,3,3.0,,4,Really into it,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14275854,0,,good,5,MATH220,Excellent. Very knowledgeable and willing to help.,04/11/2008,3,3.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,13984728,0,,good,5,MATH115,"Amazingly clear in lectures. If you don't understand math easily, always go to her lectures. Very helpful in office hours and responds to emails pretty quick. I wish she taught all math classes, maybe then I would actually do well in the subject",01/11/2008,2,2.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,12737508,0,,good,5,MATH12,Very clear in her teachings and is very helpful in providing office hours after class.,01/07/2007,1,1.0,,5,Meh,5,5.0,3,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,12666053,0,,good,2,MATH012,"If your bad at math you MUST go to lecture and even then you may not be able to follow.  However, if you go in for help, she is AMAZINGLY willing to help you out.  however I DO know many people who didnt go to lecture and taught themselves the math.",12/21/2006,4,4.0,,5,Meh,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12579750,0,,good,5,MATH012,"Very good teacher, makes things easy to understand. really nice and always willing to help.",12/12/2006,3,3.0,,5,Meh,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,10706113,0,,average,2,MATH012,At least she makes herself available...,11/05/2005,3,3.0,,4,Meh,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,10445509,0,,poor,2,MATH012,No Comments,09/25/2005,3,3.0,,2,Meh,2,2.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
