attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,poor,good,0,24188800,0,,good,5,PHIL1140,"Fun teacher who knows his stuff.  Very approachable.  I work full time and Joe was always willing to take extra time to work with me and my schedule.  He also provides lots of feedback on your writing, which was great!",12/26/2014,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
Not Mandatory,good,poor,good,0,24058409,0,,good,4,PHIL1140,Great professor.  This is the second class I've take with Swenson.  Loved it!,12/12/2014,1,1.0,,5,It's my life,4.5,4.5,1,Yes,N/A,1112,Yes,,A-,,people,people
Not Mandatory,good,poor,good,0,23868441,0,,good,4,PHILOSOPHY,"Great professor, he's at Hamline University now. I had him for general philosophy, and while attendance was very optional) he still talked to me, never held my absences against me, and he's just an all around swell guy.  His examples are a bit confusing at times, and he repeats them a lot, but I always found them helpful.  Had him for two classes ",11/21/2014,1,1.0,,5,It's my life,4.5,4.5,1,Yes,Yes,1112,Yes,,A-,,people,people
Not Mandatory,good,average,good,0,22949471,0,,good,5,PHIL1120,He's at Hamline now. Great professor and good class so far.  There's alot of reading  but Swenson does a good job of making sure that you see all  the important points.  I think his lecture are hilarious.  I would recommend taking his classes.,03/26/2014,2,2.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,average,0,14693216,0,,good,3,PHIL101,"The history of modern phil is not always an interesting subject.  However, Joe did decently.  He was open to other viewpoints.  My only two gripes were the rambling (which was every class), and his inability to think of examples than Larry, Bob, and White Castles.  A well studied Nietzsche scholar.  First half was boring, bu the second was nice.",07/28/2008,1,1.0,,4,Sorta interested,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,13257254,0,,good,4,PHIL105,"Talks about White Castle and uses the example of &quot;Larry&quot;...he's a Nietzsche scholar, though, and he's got his**** together in that aspect. Sometimes rambles, but again, very knowledgeable and he can help you out of anything, all you have to do is ask him questions.",06/11/2007,1,1.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,12986087,0,,good,4,PHIL105,"GREAT professor. Extremely approachable and very knowledgeable. Do the reading and you'll be fine. He even lent me more books on philosophers I wanted to know more about. Overall, best class I've taken yet.",04/09/2007,1,1.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,good,0,12500955,0,,good,3,PHIL105,He tends to ramble. Little room for class discussion. Haven't been able to pay attention. Just study the handouts he gives you. otherwise its easly for an honors class. in my opinion this class is horrifically boring though.,12/01/2006,2,2.0,,5,Low,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,12263894,0,,good,5,PHIL105,"Swenson's a great guy.  Down-to-earth, friendly, and always willing to help.  Also, he's willing to consider other viewpoints.  Class was incredibly easy, too.  If he's still around, you'll want him as a TA.",10/03/2006,1,1.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,11377017,0,,good,4,PHIL105,"joe was a cool guy. he explained everything pretty well, and u could always go to his office hours if u needed more help. overall, this class was easy, just remember to skim over the readings before class because he likes to change the dates of the reading quizzs.",01/17/2006,2,2.0,,5,Meh,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,poor,0,10896227,0,,poor,1,PHILOSOPHY105,he sucked.,11/14/2005,3,3.0,,1,Really into it,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,2033861,0,,good,5,PHIL101,"Was really nice, was very clear, gave really funny examples! I would take another class with him if he taught one...and he's kinda cute in the Minnesota kind of way!",04/26/2004,2,2.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
