attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,average,average,average,1,17975534,0,,average,2,HIST240,"Weird guy, but pretty smart and entertaining in a bizarre way. Take good notes and go to class and you'll do fine. Don't, and his exams will bury you. Sometimes smells like he just came from Murphy's for Happy Hour. DON'T BE LATE. Not even 10 seconds...he will embarrass you!",12/17/2010,3,3.0,,3,Sorta interested,2.5,2.5,1,No,N/A,1112,N/A,,N/A,,people,person
N/A,good,good,good,0,14401064,0,,good,5,HIS340,"Buckler is outstanding.  He's rough around the edges, but damn worth it.",05/04/2008,4,4.0,,4,It's my life,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,13004819,0,,average,3,HIST341,"Hates Bush, evangelical christians, and the Cubs, and makes sure everyone knows it.  He's a hottie",04/12/2007,3,3.0,,3,Sorta interested,3,3.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,poor,0,12786902,0,,poor,2,HIST240,"Very opinionated and makes rather offensive comments.  Very potically incorrect.  Not a good class for a non-major.  Don't bother buying the books because he tells you everything you should need in class (which often does not agree with the book).  Only 100 pts for the whole class (25 final, 25 midterm, 25 paper, 25 for 2 pop quizzes).",01/17/2007,4,4.0,,1,Low,1.5,1.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,average,0,12785513,0,,good,4,HIST340,"very outspoken and very politically incorrect, but also knowledgeble and entertaining",01/17/2007,4,4.0,,3,Really into it,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,12578346,0,,poor,1,HIST340,"Only a midterm, paper and final. Very cynical towards everything that is not Sparta.",12/12/2006,4,4.0,,1,Sorta interested,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,12558921,0,,good,5,HIST240,"A very good teacher, but he is definitely insensitive and rude.  He hates republicans, and he is not afraid of letting the class know everyday (I am NOT republican).  Take his classes only if you are not easily offended.",12/09/2006,4,4.0,,3,Really into it,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,poor,0,3600907,0,,poor,2,HIST240,No Comments,04/11/2005,4,4.0,,1,It's my life,1.5,1.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,3107047,0,,good,5,HIST382,"A very difficult exam, but a worthwhile class.  This guy is old-school.  If you want to go to law school, take this class for a preview of what law school exams are like.  Great teacher, very un-PC.",12/23/2004,5,5.0,,3,Really into it,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,2677079,0,,poor,2,HIST,Do not take any class taught by this professor.  This is your warning. Heed it.,11/08/2004,3,3.0,,2,It's my life,2,2.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,2204048,0,,poor,1,HIST181,"worst prof. ive ever had..didnt grade final or paper, he had to change my grade and it took nearly a year with me constantly reminding him. DO NOT TAKE HIS CLASSES!!!",05/30/2004,5,5.0,,1,N/A,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
