attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,average,good,average,0,18006186,0,,poor,2,MCB334,"This class is very interesting but a lot of hard work. Do not slack off, he does not do the plus/minus grading scale, just solid A,B,C,D,F. Attendance gives bonus points and there is also a bonus long-term memory exam. Beware: Dr. Hough is very prone to tangents and is indecisive. Class was poorly organized, especially w/Open labs and clarity.",12/20/2010,4,4.0,,2,It's my life,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,17874072,0,,good,5,MCB334,"You really do have to have an epiphany about this stuff or this course is going to be unnecessarily difficult. Get real, work hard. I bombed the first 2 exams because I underestimated the work. By the end I was a pro and you will be too. Med/Nursing/OT/PT/Pharm school is tough and if you can't handle this class don't even bother applying.",12/06/2010,4,4.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,17823576,0,,average,3,MCB334,"The soon-to-retire Hough is an okay guy, but he can't for his own life stay germane to the topic and always goes on completely irrelevant tangents.  Easy to get an A with all the extra points. Syllabus is too verbose and is 50 pages.  Very disorganized fellow. The class is annoying and too much work but take it, it's easy to get a good grade.",11/27/2010,3,3.0,,2,Really into it,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,17492512,0,,average,2,MCB334,"Dr.Hough is a real funny guy. He tells random stories in class. Lecture is extra credit. He comes off as condescending, but he is just trying to get his students to learn the material. He also gives an extra credit long term memory exam. Most of the class gets A and B. Don't do nething stupid and end up as  the subject of one of his random stories",08/08/2010,3,3.0,,3,Really into it,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,16935667,0,,good,4,MCB334,Dr Hough is hilarious..he tells these stories that really have no point to them and laughs at himself for a while after. Hes awesome and a great teacher! He really makes the material more clear..but you have to go to the lecture to really understand it. Hes a little intimidating but really knowledgable. OKAAY! Its a miracle! NO ITS NOT! haha,03/31/2010,3,3.0,,3,Really into it,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,15904961,0,,average,2,MCB334,"This class was an absolute nightmare, lectures are extra points so make sure you attend but reading on your own is the only way to understand anything. Unless you want to spend your weekends, (at least 7+ hrs) in open lab, I'd suggest NOT taking this class because you WILL NOT DO WELL!!",05/27/2009,5,5.0,,3,Meh,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14738920,0,,good,5,MCB334,Dr. Hough is a great teacher and tries to make his class very fair for students. His stories are hilarious and makes attending lectures fun. This class is highly recommended for any pre-professional students and with enough effort you can easily achieve an A.,08/13/2008,2,2.0,,3,Really into it,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,14667702,0,,poor,1,MCB334,"Dr. Hough is a nice guy but a terrible teacher!  He is never clear and the notes are worse, but he gives you the old exams.  Study from those and go to open lab and you'll be fine.  Lecture attendance is extra credit, so go sign in and do a soduku or have someone sign you in.",07/17/2008,5,5.0,,2,Really into it,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,14407142,0,,good,4,MCB334,Dr. Hough is extrememely knowledgeable and the lecture notes that he provides are straight to the point. Going to lab and open labs are a must. Dont think that you can get away with studying everything out of the Atlas alone.,05/05/2008,5,5.0,,4,Really into it,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,14298878,0,,good,4,MCB334,He knows what he's talking about. Read the lecture notes before going to class so that going to class is a review. People who say that he can't teach go in expecting to be taught- Dr. Hough's lectures are meant to clarify and reiterate things from the book. The lecture notes themselves are well written and explain the material well.,04/16/2008,4,4.0,,5,Low,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,13635484,0,,good,4,MCB334,"Hough is a great teacher. Go to open lab and you will be fine. Lecture exams are all true false questions so technically nobody should get below a 50%. You can usually do decent by studying some, but for the lab practicals, you must go to lab and study the terms.",11/11/2007,2,2.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,13137787,0,,good,4,MCB334,"I dont recommend this class for Gen Ed, pick something easier.  But if its a requirement then prepare yourself.  Dont fall behind on the stuff cuz its harder to catch up.  Dr. Hough is HILARIOUS.... okay...... (u'll get it when u c him)  lol   anywho... try 2 go 2 class and try 2 sit in front so u wont fall asleep.",05/09/2007,4,4.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
