attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,average,poor,poor,0,15143693,0,,poor,2,BADM300,"If you are looking for an easy A - and also do not mind NOT learning anything related to Business Law, then Prof. Kindt all theway - I certainly agree with what other people say about him showing favoritism and making the class a joke.",12/09/2008,1,1.0,,1,Sorta interested,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,15136279,0,,good,5,BADM300,"Kindt is amazing and the class was incredibly interesting. A lot of these business school brats hate him, which is usually a sign that it's a great class.",12/08/2008,3,3.0,,5,Low,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,good,0,14961368,0,,good,3,BADM300,He is really into what he teaches and gives tons of examples in class so that it makes more sense to students. This class was really interesting and useful.,11/09/2008,3,3.0,,5,Low,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,14464434,0,,good,5,BADM300,Favorite teacher ever. Keeps class interesting and fun. Not a lot of work and is easy to get an A if you do it,05/14/2008,1,1.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,poor,0,14401907,0,,poor,2,BADM300,Joke of a class. We only had to do 2 assignments all semester. 1/2 the kids didn't have to take the final because he gave so much extra credit. Take BADM 300 in the spring with him. There's no work at all and you can do homework or whatever while he tells you how great he is.,05/05/2008,2,2.0,,1,Sorta interested,1.5,1.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,13903899,0,,good,4,BADM300,"Very funny guy, class is entertaining, to do well you need to go to class cause this is what tests are based on, he offers many extra credit opportunities but you must be in class to take advantage of them... very difficult exams but E.C. makes up for it... class grade is 3 exams (30% ,30%, 40%) + E.C. ...had average of 71% on tests but still got A",12/24/2007,1,1.0,,4,Really into it,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,poor,0,12966781,0,,poor,2,BADM300,"Very entertaining and easy to do well. You don't learn nearly as much as with other professors, but he will keep you awake.",04/03/2007,1,1.0,,1,Sorta interested,1.5,1.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,12775805,0,,poor,2,BADM300,"I don't know WHO possibly though this professor was easy. Obviously they took him over the summer because if you take this guy during the actual semester, he is extremely difficult!  There were very few A's in my section, though I heard he is easy over the summer.   Avoid this guy during the semester! Tough class, unreasonable with many readings!",01/15/2007,5,5.0,,2,Really into it,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,12179978,0,,good,4,BADM300,If you are interested in the subject taught and ask meaningful questions he takes the time to talk to you outside of class.  VERY fair grader...highly recommend for pre-law students.,08/22/2006,1,1.0,,5,It's my life,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12168775,0,,good,4,BA200,"Took it over the summer and did two memos.  Not tough.  If you're an accounting major, take Roszkowski (for your own good), if not, take Kindt during the summer.  Lots of extra credit opportunities.  Certainly doesn't like gambling but he is fairly amusing.",08/17/2006,2,2.0,,4,Really into it,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,poor,poor,0,12166491,0,,poor,1,BADM390,No Comments,08/17/2006,1,1.0,,1,Meh,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,12142705,0,,good,5,BADM300,"Nice guy, wonderful stories. Took the class over summer, had to complete only two memos.First one he even gave us the articles to cite. Offers a lot of extra credit, try to do as much as possible.  We had one exam scheduled (final) however, for most of the class it was optional. Had a generous curve of eight points. Good class for pre-law students.",08/08/2006,1,1.0,,5,Sorta interested,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,11512622,0,,good,5,BA300,Absolutely the best class I have ever taken!,02/23/2006,1,1.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,poor,poor,0,11359311,0,,poor,1,BADM300,"lecture is worthless, all it does is confuse you, mainly all that is on the test is what the TAs talk about in review, i can honestly say that nothing kindt said was on the third exam, very concerned about reading articles that HE wrote and then asking which one is most important on exam, if you want straghtforward take it with rozkowski",01/13/2006,1,1.0,,1,Sorta interested,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,10019017,0,,good,4,LAW298,"Gambling law seminar.  A little confused at times, but worth taking.  If you're nice to him, he'll be nice to you.",07/12/2005,3,3.0,,4,Low,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,3247433,0,,good,4,BADM300,"Nice guy, jokes get a little old. he calls on front row students...",01/19/2005,1,1.0,,5,It's my life,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,average,0,3147083,0,,average,3,BA300,"Definitely take this class with Kindt. It was the most boring hour and a half of my life, but getting the extra credit in lecture was worth it. If you want to know almost exactly what is on the exam, go to the review sessions. The TAs usually tell you what you should know.",01/03/2005,1,1.0,,3,Sorta interested,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,3047743,0,,good,5,BADM300,"Easy class. Take with Kindt instead of Rozkowski. Try laughing at his jokes in class, he gives extra credit based on his mood...",12/16/2004,1,1.0,,5,Sorta interested,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
