attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,average,good,poor,0,13080824,0,,poor,2,HIST141,"He told us not to complain about grades, eventhough some of his T.A.'s graded very hard and some graded easily.  It wasn't fair.  I did not enjoy this class, and I am a history major.",04/29/2007,5,5.0,,1,Sorta interested,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,13063487,0,,average,3,HIST141,"Professor Lynn is not a bad professor, but the nature of the course material makes class dry (at least for me, but I don't like history).  Also, he is not very sincere in his directions concerning tests.  For example, he might specify that ID test questions will come exclusively from lecture notes, but then will include several from other sources.",04/25/2007,5,5.0,,2,Meh,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,average,0,13057583,0,,good,4,HIST141,Prof. Lynn is a fantastic lecturer.  His lectures are absolutely captivating.  Sometimes he swears too much though.,04/24/2007,4,4.0,,3,Really into it,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,average,0,12684606,0,,good,4,HIS250,Just have to keep up with the readings. Lecture outlines are put online. Two 4-6 page papers plus midterm and final. Tests consist of some tricky multiple choice and one essay of which he gives you two choices. Very into the class and he knows his freakin stuff. He has taught this class for years making it very organized.,12/26/2006,4,4.0,,3,Really into it,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,12552415,0,,average,3,HIST250,"An awesome guy who is definately not boring to listen to (He is not afraid to express his mind, especially by cursing). However, his tests are VERY HARD and based majorly on the readings (Which include 7 books, 1 in which hes written himself). Very smart man... but def not an easy A.",12/08/2006,4,4.0,,3,Meh,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,average,0,12227093,0,,good,4,HIST250,"Extremely passionate about his subjects.  A literally world-famous scholar who wrote his own book for the course.  He occasionally will become quite tangental, but the stores that result are always fascinating",09/12/2006,4,4.0,,3,It's my life,3.5,3.5,1,Yes,N/A,12091,N/A,,N/A,,people,people
N/A,good,good,good,0,11594659,0,,good,5,281282,"I didnt find it all *that* hard, we got the essays in advance.  The lectures are clear and he gives outline notes.  You cant not read or not go to class, but isnt the point of college to be challeneged.  A bit full of himself but a solid class all around and a magnificent lecturer.",03/21/2006,4,4.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,average,0,10150097,0,,good,4,250,A VERY hard class but interesting nonetheless.  Very pushy about buying his books though.  Hated when he was out of town and we had to listen and watch pre-recorded video lectures.,08/22/2005,5,5.0,,3,It's my life,3.5,3.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,10116947,0,,good,5,HIST298,"Senior thesis class for advanced comp requirement.  Not a blow-off.  Must read b/c he'll call on you, whether you volunteer or not.  Treats everyone in class like grad students, if you want an idea of  the maturity level of the class.  He is helpful as long as you put in the effort.  A good grade (A or B) is attainable as long as you work for it.",08/12/2005,5,5.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,3784017,0,,good,5,HIST250,"Although a difficult class, you will learn a LOT about military history. VERY energetic and fun, it is a worthwhile class but DEFINITLY not a blowoff. YOU WILL HAVE TO WORK, but it will be FUN.",05/04/2005,5,5.0,,4,Really into it,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,3532391,0,,good,5,HIST250,"Difficult, but engaging if you're up to the task. Fun, energetic lectures, can manage to make you intersted in something like horse formations.
 If you're looking for a blowoff class this isn't it, the tests are hard even when you've done the extensive readings and near impossible when you haven't.",03/31/2005,5,5.0,,3,Sorta interested,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,3029987,0,,good,5,HST250,"Very hard, alot of assigned reading, but enjoyable lectures. The tests are hard, despite the fact that you get the essays beforehand. His lectures are awesome however, and I think everyone should take a Lynn class.",12/15/2004,4,4.0,,4,Really into it,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,average,0,2858120,0,,average,4,HIST251,"Great lecturer but difficult tests, 20 MP questions and an essay, with questions from anywhere in the book. The class requires +2000 pages of reading (including the research papers) but nobody does that much. Never boring, but expect to read a lot and memorize many names and dates if you want an A.",11/30/2004,4,4.0,,2,Sorta interested,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,2734079,0,,good,5,HIST250251,"Professor Lynn is an engaging and interesting lecturer with a passion for his subject and a great sense of humor.  This is a class I never skipped and I still drop in to audit his class a year later, great Professor.",11/14/2004,3,3.0,,5,Really into it,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,2588420,0,,good,4,HST250,"I wouldn't be as optimistic as everybody below, but he is interesting in a way thats similar to watching the history channel. 500 + pages of reading per test with questions (names dates) from anywhere.",10/25/2004,3,3.0,,3,Really into it,3.5,3.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
