attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,average,good,average,2,26550137,0,,average,3,CMN321,"3 tests (25 questions each), two papers. Thats it.  Rather boring lectures.  I would not classify this as a communication class.  As others have stated, there is more emphasis on the history.  Very misleading class title.  Ten points off for each class missed/late 10 min.  I would personally not recommend to a friend.",05/12/2016,4,4.0,,3,N/A,3,3.0,1,No,N/A,1112,Yes,,N/A,,people,people
Mandatory,poor,good,average,2,26549092,0,,poor,1,CMN321,Don't take unless you're interested in taking a history course. Not sure I learned one thing in this class. Grades so tough on papers and tests suck. Worth 100 points but only 25 questions? Setting you up to fail. Don't take this course.,05/12/2016,5,5.0,,3,N/A,2,2.0,1,No,N/A,1112,Yes,,N/A,,people,people
Mandatory,average,good,average,3,26449228,0,,average,2,CMN321,Only 2 papers and 3 tests. Very tough grader on the papers and the tests are 100 points and only 25 questions meaning if you get a few wrong your grade drops drastically. Lectures are long and very boring.  He mispronounces words and his voice is incredibly annoying. Definitely would not recommend this class.,05/03/2016,5,5.0,,3,N/A,2.5,2.5,1,No,N/A,1112,Yes,,B-,,people,people
Mandatory,good,average,good,1,25938851,1,,good,5,CMN321,"Wish I could take this class again. Murphy is awesome and there's no homework besides two papers (two pages each). Don't need to do the readings and if you take good notes during lecture, tests (there are three) are a breeze. Honestly just a great class and very interesting - take it",01/14/2016,3,3.0,,4,It's my life,4.5,4.5,1,No,Yes,1112,Yes,,A,,person,person
Mandatory,average,good,average,0,25797453,0,,average,3,CMN321,"This class is made for history majors, yet is labeled a strategies of persuasion course. This class should be called The History of Presidential Speeches. Overall, the course is very misleading and there are barely any point opportunities. You need to go to class yet do not receive credit for going.. He essentially does not care about students. GL",12/21/2015,4,4.0,,3,Meh,3,3.0,1,No,N/A,1112,Yes,,N/A,,people,people
Mandatory,average,good,poor,2,25679966,0,,poor,2,CMN321,"I would recommend that you don't take this course. The tests are difficult and only 25 questions, meaning if you miss only a few your chance of getting an A is out the window. There are 3 tests and each test covers roughly 5 weeks worth of notes of which he somehow narrows down to 25 questions. No study guide, and he grades the essays extremelyhard",12/14/2015,5,5.0,,1,Meh,1.5,1.5,1,No,N/A,1112,Yes,,N/A,,people,people
Mandatory,average,good,average,0,25640701,0,,poor,3,CMN321,"He can be funny. HOWEVER, he is a tough grader on papers and attendance is ABSOLUTELY MANDATORY. Good. Luck.. Chuck.  ",12/11/2015,5,5.0,,1,Low,2,2.0,1,No,N/A,1112,Yes,,B-,,people,people
Mandatory,good,average,good,0,25440152,0,,good,5,CMN321,"Easily my favorite class I've taken and easily the best lecturer I've had at UIUC. The lectures are engaging, fun, and he makes things very clear. 3 tests and 2 papers are the only grades in the class, but if you go to class, you won't have an issue with them. I would take this class again if I could. ",11/18/2015,3,3.0,,4,It's my life,4.5,4.5,1,No,Yes,1112,Yes,,INC,,people,people
Mandatory,good,average,good,1,24824353,0,,good,5,321,Great class and professor. Don't have to do the readings; tests are verbatim from lecture. Really funny and nice guy. Would take this class again,05/13/2015,2,2.0,,5,It's my life,5,5.0,1,No,N/A,1112,Yes,,N/A,,people,person
Mandatory,average,average,average,3,24413869,1,,poor,2,CMN321,"It was supposed to be a class about persuasion theories, but it could have doubled as a US president  history class. If you don't like history, absolutely do not take. He uses presidential speeches to explain every single concept. And he goes on and on about the history part instead of the communication concepts. Tough to figure out what to study. ",02/25/2015,2,2.0,,2,Meh,2,2.0,1,No,N/A,1112,Yes,,A,,person,people
