attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,0,25959195,0,,good,5,CW204,"Really great professor. Wants to see you succeed and offers amazing feedback. If you're on the fence, definitely just go for it. You won't regret it.",01/18/2016,2,2.0,,5,It's my life,5,5.0,1,No,Yes,1112,Yes,,A,,people,people
Mandatory,good,poor,good,1,25388148,0,,good,5,CW204,Best teacher I've ever had. Go to class. Do the assignments. You'll do well! He gives amazing feedback. He's very cool and laid back. He's flexible with assignments and actually cares about students. ,11/11/2015,1,1.0,,5,It's my life,5,5.0,1,No,Yes,1112,Yes,,A,,people,person
Mandatory,good,poor,good,0,25244334,0,,good,4,100,"Rubins is awesome, he's so laid back and easy to talk to. Easily my favorite teacher at UIUC. YOU ROCK RUBINS!",10/11/2015,1,1.0,,4,It's my life,4,4.0,1,No,Yes,1112,Yes,,A,,people,people
Mandatory,good,average,good,1,24633456,0,,good,4,204,John Rubins is the best teacher I've had at U of I. He is hilarious and genuinely cares about his students. Attending class is actually fun and he gives you so much room for creativity on stories that it hardly feels like a class if you enjoy writing. His classes are a MUST TAKE!,04/20/2015,2,2.0,,5,Really into it,4.5,4.5,1,No,Yes,1112,Yes,,A,,people,person
Mandatory,good,poor,good,0,24001419,0,,good,5,204,"Rubins has been the best teacher I've had here at UIUC. He's funny, willing to listen, and doesn't try to control the conversation. He treats you like an adult (unless you refuse to act like one) and it's always the one class that I look forward to attending all week. If every teacher was like him, the world would be freaking awesome",12/09/2014,1,1.0,,5,It's my life,5,5.0,1,No,N/A,1112,Yes,,N/A,,people,people
Mandatory,good,poor,good,0,23740240,0,,good,5,CW204,"John Rubins is a great teacher, and sadly there aren't many teachers like him. His class is fun, and I actually ENJOY going and participating. He's honest about your work yet will never make you feel horrible. He's helpful and an amazing teacher. Everyone should try to take ALL of Rubins' classes!!",11/04/2014,1,1.0,,4,It's my life,4.5,4.5,1,No,Yes,1112,Yes,,N/A,,people,people
N/A,good,poor,good,0,23306877,0,,good,5,CW104,"Rubins is PERFECT! 85% of the class is attendance, and he's the type to make you want to go everyday. He's funny, charming, and really cares for his students. Every UofI student - no matter the major - needs a class with him.",05/23/2014,1,1.0,,4,It's my life,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,23161514,0,,good,5,CW104,"Rubins a really good teacher. We wrote 2 long stories& a short story. He doesn't limit you on what you write, just as long as its not fan fiction. I learned so much from him, especially as an aspiring author. I'll be taking another class with him in the fall cus that's how good he is! His class was one of the only ones I looked forward to.",05/04/2014,1,1.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
Mandatory,good,poor,good,0,22807985,0,,good,5,CW204,"Great man. He's funny and he really does push you to go to the next level with your writing.  The class seems to go by really fast, which sucks. Overall take a class with him, you won't regret it!!!!",01/30/2014,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
Mandatory,good,poor,good,0,22720208,0,,good,5,CW204,"Outstanding instructor, legitimately cares about his students. Doesn't go into ""teacher mode"" with undergrads and will address everyone as an adult. Very helpful with office hours. Not just one of the best instructors I've had, but one of the best people on campus.",01/08/2014,1,1.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,A,,people,people
