attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,average,average,average,0,22790171,0,,average,3,SPED117,"Trach was all over the place. He had no idea how to work his laptop and his power points were pointless. We watched a ton of videos that ranged from severely disturbing to moderately entertaining. Overall the class is very boring, but its pretty easy to get an A as long as you do the work. Tests were easy to bs and very little studying required.",01/24/2014,2,2.0,,3,Sorta interested,3,3.0,1,No,N/A,1112,N/A,,A,,people,people
Mandatory,poor,poor,average,0,22533098,0,,average,1,SPED117,"He really cares about the material. He is well educated and prepared for lass, but challenged with anything technology related and struggles with timing. Course itself kinda sucked but he genuinely tries and is passionate which is admirable.",12/12/2013,1,1.0,,4,Really into it,2.5,2.5,1,Yes,N/A,1112,N/A,,A,,people,people
N/A,good,average,good,0,22091098,0,,good,5,PSYC322,Prof Trach told lots of interesting stories and is really passionate about this subject. He made the class fascinating and eye opening using many interesting videos and articles.,08/28/2013,2,2.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,21702840,0,,poor,3,SPED322,"The professor knows what he's talking about, but the course itself is terrible.  At the end of every painful 3-hour class, he kept us late EVERY SINGLE TIME.  The midterm and final are each 40% of the grade.  Don't even get me started on his condescending TA who makes the class ten times worse.",05/07/2013,3,3.0,,1,Sorta interested,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,21662644,0,,poor,1,PSYC322,"Absolutely horrible professor.  He tells stories for the whole three hours of the class, which is torture.  When he does go through some of the PowerPoint slides, he just clicks through them, saying we already know the information.  You have to go to class to get your participation percentage-7%.  There are two responses per lecture you have to do.",05/02/2013,4,4.0,,2,Meh,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,19524114,0,,good,3,SPED322,really nice guy. he was probably the only professor I had who learned my name that semester. went out of his way to help me several times-- communication is key. the class is long but its just once a week so that's why. he's conversational and very human. sometimes the class might put you to sleep a little but overall it was good.,12/15/2011,2,2.0,,4,Sorta interested,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,19065767,0,,average,3,SPED322,"DID NOT LEARN ANYTHING IN THIS CLASS. He does &quot;quick writes&quot; every class which is weird random questions he throws at you to answer so attendance is mandatory. 3 hours is too long to listen to him, he tells stories upon stories (which are fun) but then it comes to his *160* midterm & you're like uhhh&#63;&#63; Yes, 160 questions. FOR NO REASON.",10/12/2011,3,3.0,,3,Low,3,3.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,poor,0,18786411,0,,poor,2,PSYC322,"He's a real nice guy, but any class that goes on for 3 hours is torture. Didn't learn anything really, and exams were pretty difficult. Avoid at all costs.",07/03/2011,5,5.0,,1,Really into it,1.5,1.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,18030171,0,,poor,1,SPED322,Confusing and a torture to listen to for 3 hours at a time.  WORST class i have taken at this university.,12/23/2010,4,4.0,,2,Meh,1.5,1.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,17972967,0,,poor,1,SPED322,I heard this was a pretty good class untill Johnny Trach started teaching it.  Confusing and hard to follow.  Disorganized.  He played some cool music videos before class.  thats all i got out of this class. avoid.,12/16/2010,4,4.0,,1,Meh,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,14991320,0,,poor,1,PSYCH322,"This professor taught a 3-hour class, and kept us ONE MINUTE beyond the end every time. What went on that whole time&#63; A whole lot of slow, slow slooow confusing babble. Didn't learn a single thing from this guy. This class was my single worst memory of college. Trach needs to be reviewed and transferred.",11/13/2008,4,4.0,,1,Meh,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,14676974,0,,average,3,PSYC322,The class was very boring. I just went there to get some extra points from the attendence. Even the class room was always too warm or too cold. The slides were helpless too. Avoid this class if you can!,07/22/2008,3,3.0,,2,Meh,2.5,2.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,good,0,12292528,0,,good,3,PSYC322,"If you go to class and read the book, you will be fine!! Don't let these other people scare you. I got a 95% on the first exam not because I'm a super genius, but just because I actually studied. Trach is all over the place, but he knows what he's talking about. The class is a little boring, but it is very enlightening. I'm glad I took it.",10/17/2006,1,1.0,,5,Low,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,11293874,0,,good,3,PSYC322,"Class was very laid back and interesting, usually. But often it was unorganized and difficult to understand the important concepts for the tests. The tests are much harder than the lecture would make you believe. Teacher is very passionate and knowledgeable...just could do a little better at teaching.",01/03/2006,3,3.0,,4,Sorta interested,3.5,3.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,10674485,0,,average,3,PSYC322,"For an upper level class I would say this is pretty easy, and I'm not a psyc. major! Dr. Trach isn't that great of a teacher, but he's a nice guy. Plus the class is only one day a week! so that is a plus. the tests are pretty hard but if you study and keep up with the readings it's not bad.",11/01/2005,3,3.0,,2,Sorta interested,2.5,2.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,3658721,0,,poor,1,PSYCH322,"terrible..absolutely terrible..very boring, never get out early, and the tests r nearly impossible... sometimes we take practice tests in class and well say what we think the answer is, and he'll say &quot;yaa i would go with that tooo, that may be right but im not sure&quot;...umm didnt u make the test&#63;&#63;",04/19/2005,5,5.0,,2,It's my life,1.5,1.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,2917332,0,,average,4,PSYCHOLOGY,"Teacher has a deep passion for material. Tests are not too hard, mostly off the lecture and a little from the book. Overall the class was pretty laid back.",12/06/2004,2,2.0,,2,Sorta interested,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,poor,0,1530821,0,,poor,1,PSYCH322,worst professor I've ever had!!!!,12/18/2003,3,3.0,,1,N/A,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
