attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,1,26260081,0,,good,5,PS280,"Obviously a brilliant academic, but he appears very disinterested in teaching. Make sure to get to know your TA and engage with the book material. You can get a lot out of the course even without too much of his input.",04/09/2016,3,3.0,,3,N/A,4,4.0,1,Yes,N/A,1112,Yes,,A,,people,person
Mandatory,average,good,average,0,24125439,0,,good,3,PS300,"Took PS300 with him over the summer in Austria (also traveled to Italy and Germany). He is a great teacher that knows A LOT about  WWI and International Relations Theory. However, we did read a lot and it seemed as though there was a lot of work. I definitely enjoyed the class though and would recommend the experience to anyone.",12/17/2014,4,4.0,,4,Really into it,3.5,3.5,1,Yes,Yes,1112,Yes,,A,,people,people
Mandatory,good,average,good,0,24064646,0,,good,4,PS394,"I took this course over the summer in Vienna, Austria. It's one of the best courses I've ever taken in undergrad. It's amazing how much you are able to learn, see, and experience in the month you are abroad. While the course is a fair amount of work, it was highly interesting and you really do learn a lot. Many opportunities to travel! Recommend!",12/13/2014,3,3.0,,4,Really into it,4,4.0,1,Yes,Yes,1112,Yes,,A,,people,people
Mandatory,average,good,average,0,23991478,0,,good,3,PS300,"I took this course in Vienna and it was his first time teaching it alone. I became an WWI expert in about 10 days of class. I had a midterm, final, and 12 page paper. In my opinion, it was way too much to do in less than a month. However, it was an amazing opportunity to present our papers at the Schloss Leopardskron aka 'Sound of Music House.' ",12/08/2014,4,4.0,,4,Really into it,3.5,3.5,1,Yes,N/A,1112,Yes,,N/A,,people,people
Mandatory,good,good,good,0,23987413,0,,good,5,PS300,"Professor Vasquez commands the classroom like no other professor I have had before at U of I. His ability to help explain the main arguments of assigned readings during class helps conceptualize difficult readings. Vasquez expects students to read all material, as is the norm in college, by doing so you are rewarded with a good grade",12/08/2014,4,4.0,,4,It's my life,4.5,4.5,1,Yes,N/A,1112,Yes,,A+,,people,people
N/A,good,average,good,0,23986397,0,,good,5,PS394,He is a really good and easy-going professor. And he is knowledgeable in his field of research and this course is really eyeopening! I really enjoyed it!,12/08/2014,3,3.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
Not Mandatory,good,average,good,0,23680858,1,,good,5,PS394,"He was THE best professor out of many I have taken courses with. His expectations on students are pretty high. He requires them to complete all the readings assigned before class, and asks questions and encourage lively discussions about the contents, which was really helpful and motivational. I strongly urge you to take this course, won't regret i",10/22/2014,3,3.0,,5,It's my life,5,5.0,1,No,N/A,1112,Yes,,A-,,person,people
Mandatory,average,good,average,0,22885236,0,,average,3,PS394,"After receiving 2 As and 2 A+s from the PS Department, I took this course but now have to drop it. Here's why: there's no slides offered to students , you have to jot down all notes purely by hearing. He always asks very detailed but not so important questions during the class. Though he was helpful after class, he didn't reply 2 out of 3 my emails",03/04/2014,4,4.0,,3,It's my life,3,3.0,1,Yes,N/A,1112,N/A,,WD,,people,people
N/A,good,good,good,2,22811264,0,,good,5,PS280,He's a good lecturer. I love PS280 and it is such an interesting class. He makes his lectures pretty interesting and he is very clear. The textbook is good too. Very straightforward.,02/01/2014,5,5.0,,3,It's my life,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,1,20198823,0,,good,4,PS280,"He's a really interesting guy, but sit in front of class because he's the type of talker who starts off his sentences loudly but ends in a whisper. The lectures can be a bit dry, but he's a funny person and is pretty clear on what he's looking for in exam responses. You'll survive if you do all the readings and go to lectures.",05/04/2012,3,3.0,,4,Sorta interested,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
