attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,good,poor,good,0,25833567,0,,good,5,SPED117,Easiest class ever. Just do the weekly homework to receive an A.,12/27/2015,1,1.0,,4,Really into it,4.5,4.5,1,No,Yes,1112,Yes,,A+,,people,people
N/A,good,poor,good,0,21271260,0,,good,5,SPED117,"Easy class. No attendance, although I attended every class because I was interested in the topic and often times there were guest speakers that were really interesting! There's no tests, just weekly online assignments and a couple projects here and there. The final is also a project. This class is awesome.",01/17/2013,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,21173696,0,,good,5,SPED117,"Probably one of the easiest class on campus, there are no attendance, no exams, and only meets once a week. All you have to do for the class is online weekly assignments, and three paper assignment and one final project. It is very easy, as long as you do the work that is required, and you will definitely receive an A for the class",12/27/2012,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,average,0,20815486,0,,good,4,SPED117,"Easy A, take it with Bentz.",11/12/2012,1,1.0,,3,Sorta interested,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,20198876,0,,good,5,SPED117,"Don't take SPED117 with any other professor. She is a super easy grader. There are ""pop"" quizzes, but she hints at when she'll give them. You don't need to read the book unless she tells you that it'll be covered on a pop quiz. Final project is easy.",05/04/2012,1,1.0,,3,Really into it,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,average,0,19410923,1,,average,4,SPED117,"i HATED this class. it was super easy, but it was so boring and such a waste of my time!",12/07/2011,1,1.0,,1,Sorta interested,2.5,2.5,1,No,N/A,1112,N/A,,N/A,,person,people
N/A,average,poor,average,0,19348170,0,,average,3,SPED117,She really doesnt even teach the class the class is based on guest speakers basically and it makes it pretty iteresting. The only thing is that it is so long and time seems to go by really slow in the class. There is a weekly assignment no exams just 3 papers basically and a final project.,12/01/2011,1,1.0,,2,It's my life,2.5,2.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,18199845,0,,good,5,SPED117,She is awesome.. EASY and nice teacher... Very passionate in what she is doing.. Easy A,02/01/2011,1,1.0,,3,It's my life,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,18034651,0,,good,5,SPED117,"This is one of those classes that you can sign up for and then forget about. You never do anything in class. No tests, quizzes, final...anything! There is one project that you need to do and three out of class assignments but you really never need to go to class. She is also always commenting about the weather. Just a fun fact.",12/23/2010,1,1.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,17925101,0,,good,5,SPED117,"Prof. Bentz is soo nice and really accomodating. It took me almost the entire semester to figure out you don't have to go to class. Only a few grades, and I feel like she just tells the TAs to give everyone an A. Very easy, no exams. Take this class!",12/13/2010,1,1.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,17642381,0,,good,5,SPED117,Easiest class ever. And we still learned something!,10/09/2010,1,1.0,,5,Low,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
