attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,good,good,0,14232926,0,,good,4,PS270,"Bright guy. Do the readings, even the long, obnoxious ones...TA usually grades harder than he does...you get a good basis in theory.  2 exams and 1 8 page paper.",04/02/2008,4,4.0,,4,It's my life,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,14049022,0,,good,5,PS372,tells you everything you need to know at office hours. really sweet!,01/28/2008,5,5.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,13873742,0,,average,3,PS270,"Very intelligent and knows what he is talking about, but has trouble communicating in a clear and consice manner.  Has trouble with managing class time.  Friendly and approachable.  Notes are not very strctured.",12/19/2007,3,3.0,,3,Really into it,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,13003399,0,,good,5,PS270,If you go to class you don't need to read he gives page numbers to refer to and his notes are pretty forward,04/12/2007,3,3.0,,5,Meh,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,12735230,0,,good,4,PS270,Prof. Allen is extremely knowledgeable about the course information and will provide you with all the help you need. The course covers everything from Plato to John Stuart Mills. Reading is necessary for a high grade and comprehension of subject matter. There is a reading of around 15-30 pages of classical text for each lecture.,01/07/2007,4,4.0,,5,Really into it,4.5,4.5,3,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12576268,0,,good,4,PS270,A lot more reading than I'd like. TA was harder midterm/paper grader than Allen.,12/12/2006,3,3.0,,4,Really into it,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,12562314,0,,good,3,PS270,"Professor Allen is very knowledgable and dryly funny. He'll pretty much give you any help you want but beware, the readings are long and arduous and you have to understand them to do well in the class. Although there are SparkNotes for most of the texts. A- professor.",12/10/2006,5,5.0,,4,Low,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,11327304,0,,average,3,PS270,"There is a huge amount of reading old political texts, and you need to do the reading to get a good grade.  misterm was really hard, final was easy because he gave us the questions.  i would not take this class if i were you . . .",01/09/2006,4,4.0,,3,Meh,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,11269972,0,,good,4,PS270,"If you are looking for a total joke class, do not take this.  Simple format though: 6 page paper, 2 tests.  You may run into trouble if you dont do the readings. Also, he gives you the questions for the final 3 weeks early, but does not tell you which ones he will ask. So with a small amount of effrt in preparing your essays b4hand, you can do well",12/28/2005,3,3.0,,5,Sorta interested,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,10632699,0,,poor,2,PS270,No Comments,10/24/2005,4,4.0,,2,Meh,2,2.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,3386714,0,,good,4,POLISCI296,Had him in 2003- he's easy if you listen and go to class!,02/23/2005,2,2.0,,5,Really into it,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,1753670,0,,good,5,260,Great course and great teacher,02/26/2004,1,1.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,1564931,0,,good,4,POLS260,"Hard grader for an intro-level course. Too soft-spoken and boring for an early-morning class. Very nice guy, though! Excellent choice of texts!",12/31/2003,4,4.0,,4,N/A,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,698828,0,,poor,1,POLYSCI,"Going to his class was comparable to 50 minutes in the gas chamber. By all means, give me the gas..",03/11/2003,4,4.0,,2,N/A,1.5,1.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,541654,0,,good,3,POLYSCI2,"a bit boring, but tried to keep it interesting",02/05/2003,2,2.0,,4,N/A,3.5,3.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
