attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,good,average,good,0,26488912,0,,good,5,RHET233,Jordan was one of them best teachers i have had at U of I so far. He was so passionate and always there to help his students. He was a fair grader and gave a ton of participation points. He was so understanding how much other work we had so for the last project he gave us all full credit. Take his class,05/06/2016,3,3.0,,5,N/A,5,5.0,1,No,N/A,1112,Yes,,A-,,people,people
Mandatory,average,good,average,1,25960973,0,,average,3,RHET105,"He might be a good lecturer and passionate about teaching. However, he is a really tough grader who may only give one A to the whole class. Even if you pay lots of effort , show up every class and work hard through all papers, you will probably end up getting a B which is unfair to your input. So if you wanna high GPA, keep away from him.",01/19/2016,5,5.0,,3,Meh,3,3.0,1,Yes,N/A,1112,Yes,,N/A,,people,person
Mandatory,average,average,average,2,25737401,0,,average,3,RHET105,Just feel too hard to get good grades even if I tried so many times.,12/17/2015,3,3.0,,3,Meh,3,3.0,1,No,N/A,1112,Yes,,C+,,people,people
Mandatory,good,good,good,2,25492353,0,,good,5,RHET105,"For those who have to pick class in RHET105, this might not be a good choice.",11/26/2015,5,5.0,,3,Low,4,4.0,1,No,N/A,1112,Yes,,B,,people,people
Mandatory,good,good,good,0,23656230,0,,good,4,208,"Just so eclectic in his teaching methods and really energetic.   I wrote a letter recommending him for a teaching award, and he went on to get it. He is that bad ass.",10/14/2014,4,4.0,,5,It's my life,4.5,4.5,1,Yes,N/A,1112,Yes,,A-,,people,people
N/A,good,good,good,0,21716558,0,,good,5,ENGL208,"Jordan Sellers was a great professor who clearly had an interest in the Victorian Era and displayed his passion during class. His classes were always interesting and discussion-based, but he never forced anyone to participate in discussion. The readings were not light, and there were pop-quizzes from time to time, but they were never boring.",05/09/2013,4,4.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,18581260,0,,good,5,ENGL207,"Very enthusiastic about the material he teaches. Go to his office hours! Don't fall behind on readings, he gives a lot of pop quizzes; the quizzes are really easy but still let him know if you read or not. He is a really tough grader, so write at least one first draft, get feedback, then final draft before submitting.",05/11/2011,4,4.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,1,18376894,1,,good,5,ENGL115,"What a wonderful class!! A very nice professor who teaches the material that you need to know for his tests. Which are easy by the way, so are the quizzes. His goal seems to be to make you enjoy learning the material. And he succeeded.",04/08/2011,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,person,person
N/A,good,average,good,1,18232033,1,,good,5,RHET233,Absolutely nothing bad to say about Jordan. His class has been my favorite at U of I. He's a genuinely nice guy and lets you write about pretty much whatever you want. I always looked forward to going to his class. The &quot;short writings&quot; were the best.,02/13/2011,2,2.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,person,person
N/A,good,average,good,0,18011186,1,,good,5,RHET233,Cant say enough of how great the teacher is and how great the class ends up being because of that. Great professor that makes the class fun and worth coming to every time. Your writing will improve greatly by him.,12/21/2010,2,2.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,person,people
N/A,good,average,good,0,16570623,1,,good,5,ENGL210,Loved loved loved his class.  Go to his office hours because he is so helpful.  He spent a lot of time on my writing and gave lots of feedback.  I really felt like he cared.,12/16/2009,2,2.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,good,average,good,0,16548823,0,,good,5,ENGL210,"I had him for discussion section.  Loved his portion of the class.  A nice guy and fair grader.  He is super clear and really goes out of his way to help. Overall, awesome class.",12/14/2009,2,2.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,1,16082559,2,,good,5,RHET233,One of my favorite things about Sellers' class is that it was the only class that I actually wanted to go to every day.  We actually had conversations in class instead of lectures and got to know everyone.  If you haven't had him sign up for whatever he's teaching.  It will be good.,07/31/2009,2,2.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
