attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,0,10174327,0,,good,5,ECON102,"Jose is amazing!  He is very clear, very concise, and there will never be surprises on the exams.  Don't take econ with any other professors if you have a chance to take it with Jose!",08/28/2005,2,2.0,,5,Really into it,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,3951883,0,,good,5,ECON102,"Great Professor. There are no supprises on the exams, especially if you go to review sessions and are in class before taking the exams.",06/02/2005,3,3.0,,5,Low,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,3924005,0,,good,4,ECON102,"I love Jose, and you will too. I think he actually might be associated with 202 next semester, but definitely give him a try. If his dressing doens't impress you enough, then maybe his teaching will! :)",05/25/2005,3,3.0,,5,Meh,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,3904842,0,,good,5,ECON102,"As everyone else said, he did dress rather well! For someone who had to take the class for a gen. ed., but hates numbers/econ, this was a great class. He explains things really well and grades fairly. If you can get Harry Tsang as your TA, he's really helpful (and a little crazy).",05/22/2005,2,2.0,,5,Low,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,3881373,0,,good,5,102,"Omg i love this guy Vasquez, one of the best professor in this univerity, he goes very easy on the exams, and the overall course is fairly student friendly so u won't be stressed out, highly recommended",05/18/2005,1,1.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,3837042,0,,good,4,ECON202,This is the guy you want to take. Much easier than Schultz.  You want to get in good with your TA becuase he might help your grade out in the end if your TA thinks you were deserving. Take Wen for a TA if you can. She rocks!,05/11/2005,3,3.0,,5,Low,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,3832480,0,,good,4,ECON102,"Jose is such an amazing guy! He's very skilled at economics! He's also pretty hunky! He dresses so nicely... I wish every guy dressed like him. And he's really easy to approach and talk to. He'll explain anything, and he gets back to every email he receives.",05/10/2005,3,3.0,,5,Really into it,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,3714980,0,,average,3,ECON102,"I've never actually gone to office hours or anything for him, but from lecture he's pretty clear.  Plus he's a snazzy dresser and man that accent whew.  Sorry I might need a moment.",04/26/2005,3,3.0,,3,Meh,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,average,0,3592983,0,,average,1,ECON202,"Vazquez was a nice guy, but his class is completely unorganized.  He used another teachers slides, and then posted different ones online.  He was all over the place and exams tested concepts that we never covered in class.  He made the class much more complicated than it should have been.",04/10/2005,3,3.0,,4,Really into it,2.5,2.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,3304599,0,,good,5,ECON102,Great teacher. Explains everything clearly. A tremendous imporvement on Baer or Gothiel. Has a great accent too. Dresses so sharply!,01/31/2005,2,2.0,,5,Low,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,3129342,0,,good,4,ECON302,"Though the class itself is difficult, Professor Vazquez really tries to make it more understandable. He is always willing to help and involves students in class discussion. I would recommend him if you have to take this course.",12/29/2004,3,3.0,,5,Sorta interested,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,3121507,0,,poor,2,ECON,"He was an okay professor but he has horrible organization. He used another teacher's course packet, lecture slides, and mallards and tested on random concepts from all over the place. If he had his class in order, it would have been a breeze.",12/27/2004,3,3.0,,2,Sorta interested,2,2.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,good,0,3085597,0,,good,3,ECON202,"Easy class, tests easy, just as long as you understand it.  He used his own stuff but made us buy the notepacket.  Don't get the textbook you dont need it.",12/21/2004,2,2.0,,5,Low,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,2686431,0,,good,5,ECON202,"Great Economic Statistics teacher.  Examples are to the point, and he makes even hard statistic concepts easy to understand.  Test reflect exactly what is taught and there are no surprises.  Good lecturer too, highly recommend choosing him for any econ classes you can.",11/09/2004,3,3.0,,4,Sorta interested,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
