attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,average,good,average,0,19048861,0,,poor,2,PS101,"This class turned me away from Political Science. It is by far the most demanding class and it will kill your GPA. He is a nice guy, but not too helpful. If you don't have at least 2hrs a night to spend on this class THEN GET OUT WHILE YOU CAN! Good luck everyone, pray for that 70%.",10/06/2011,5,5.0,,2,Meh,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,1,17956718,0,,poor,2,PS322,"NO, DON'T,RUNAWAY! I am praying on my hands and knees for a 70.00 in this class, all of the other students pretty much feel this same way. I have never in my life never understood a word the teacher was saying, and I went in for help many times. THIS WILL KILL YOUR GPA. Please listen, I wish I had. He never said anything constructive and definite.",12/15/2010,4,4.0,,2,Low,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,average,good,average,0,17035170,0,,poor,3,PS101,"Hinchliffe is a cool guy as a friend, just like to chill... but as a professor, he sucks. You pretty much have to do all the studying by yourslef, so BUY and READ the book.",04/21/2010,4,4.0,,1,Really into it,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,16768933,0,,average,2,PS101,"Professor Hinchliffe expects a lot out of his students. His lectures can be confusing, and he uses material on the exam that was not covered in class. However, he challenges his students, and if you do not mind having to work hard, then his class should benefit you in some way.",01/29/2010,4,4.0,,4,Low,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,16706965,0,,poor,1,PS101,"As an advisor, simply not helpful at all. Outwardly discourages students from pursuing competitive careers and is incapable of accommodating students needs if it requires he step outside his contrived thought process. If you plan on going into law or a Ph.D. program another advisor will be a thousand times more accommodating, helpful and insightful",01/11/2010,5,5.0,,1,Sorta interested,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,16626834,0,,poor,2,PS101,essay questions very wordy; uses questions at 200 level. Does not necessarily use information discussed in class on tests.,12/22/2009,3,3.0,,2,It's my life,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,16601020,0,,good,4,PS101,"A difficult teacher and not one recommended for froshoman to take, unless you want an difficult 101 class change sections. That being said, he is very knowledgeable of the material and can usually be pursuaded into giving aid. He makes the class a lot harder than other sections, but in the end the extra practice prepares you for harder classes.",12/19/2009,5,5.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,average,0,16434459,0,,average,4,PS101,"Unit 1 is tough but it gets easier, I promise! He is VERY passionate about politics and it shows in his lectures, very energetic and wants his students to love politics. Going to lecture is very important and so is doing the reading. Tough but manageable and interesting.",11/28/2009,4,4.0,,2,Really into it,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,16302598,0,,average,3,PS101,Does Not teach well; does not use material on tests talked about in lecture,11/02/2009,3,3.0,,2,It's my life,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,15959608,0,,good,2,PS101,"Very kind man who is extremely intelligent and helpful if you see  him outside of class. Unfortunately, lectures are incredibly dry and the tests are Very difficult- half M.C. half essay... essays usually are fine( broad topics) but the multiple choice is very tricky you need to read the book with a comb to get all of those correct.",06/14/2009,4,4.0,,5,Sorta interested,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
