attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,good,good,0,3622533,0,,good,5,ECON203,"If you have to take Econ 203, take prof. PETRY! He explains the material as every professor should in a very understandable and clear manner. Statistics is one of the hardest classes I've taken so far but the most enjoyable of all of them cause Petry is a very engaging speaker and lecturer. Never zz",04/13/2005,4,4.0,,5,Sorta interested,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,3592970,0,,good,5,ECON203,"Econ 203 is by no means an easy class, but Petry is a great professor who makes the material easy to learn.  He is very motivating and helpful; he made the class much more enjoyable.",04/10/2005,5,5.0,,5,Low,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,3496008,0,,good,4,ECON203,econ203,03/23/2005,5,5.0,,5,Meh,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,3221378,0,,good,5,ECON203,"Very nice guy. Hard class, but he explains clearly. You can be well prepared for tests if you study.",01/14/2005,3,3.0,,4,It's my life,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,average,0,3188781,0,,good,4,ECON203,This class is far from easy. Study your ass off!!! Petry is a nice guy and he is willing to help you out take advantage of it.,01/10/2005,5,5.0,,3,It's my life,3.5,3.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,3129325,0,,good,5,ECON203,"He was extremely helpful and really seemed to care about students. Everything was taught very clearly. Nice dresser, too!",12/29/2004,2,2.0,,5,Sorta interested,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,average,0,3123160,0,,good,4,FIN341,"Very motivating.  However, very challanging.  Lots of work, but all finance classes are.  Overall, a I would recomend taking this class with Prof. Petry.",12/28/2004,4,4.0,,3,Really into it,3.5,3.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,2751847,0,,good,5,ECON203OLD173,Professor Petry is a great guy.  He really knows his stuff and transmits it to you in a very easy to understand manner.  Highly reccomend taking him if you have the opportunity for 203.,11/16/2004,2,2.0,,5,Really into it,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,2635498,0,,good,5,ECON203,"Very intelligent, and explains things in a way that makes sense.  Great professor.",11/02/2004,3,3.0,,5,Sorta interested,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,2550033,0,,good,5,ECON203,"A great professor, and incredibly smart. Despite the difficulty of the subject matter, he speaks in a very clear and concise manner that helps you get a grip on it. Strongly recommended.",10/14/2004,3,3.0,,5,Low,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,2380486,0,,good,5,ECON173,He was a great teacher and very helpful.  Learned a lot.,08/10/2004,3,3.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,2116239,0,,poor,1,ECON173,he speaks in statistical lingo all the time,05/10/2004,5,5.0,,2,N/A,1.5,1.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,2071839,0,,good,4,ECON173,i think he takls too much.  if you are smart you will find him really repetitive and he talks too fast sometimes so it's like a merry-go-round.  but he'd help you if you needed it.,05/02/2004,2,2.0,,4,N/A,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,1300090,0,,good,5,ECON173,No Comments,11/11/2003,2,2.0,,5,N/A,5,5.0,3,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,1252397,0,,good,5,ECON173,"Great prof, really helps you out when you need it!",11/03/2003,3,3.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,1235171,0,,poor,2,ECON173,goes pretty fast - is very impressed with his own knowledge.,10/29/2003,4,4.0,,2,N/A,2,2.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,1163999,0,,good,4,ECON173,No Comments,10/01/2003,4,4.0,,5,N/A,4.5,4.5,3,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,981987,0,,good,5,ECON173,Very straightforward.  No trickiness,05/24/2003,2,2.0,,4,N/A,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
